Vocabulary Size:  27710
Total number of model parameters: 11.75M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 369.26 | loss  6.85 | ppl   939.27
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch 361.92 | loss  6.04 | ppl   421.01
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch 359.56 | loss  5.83 | ppl   341.29
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch 359.03 | loss  5.62 | ppl   276.66
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch 359.25 | loss  5.50 | ppl   245.50
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch 360.54 | loss  5.50 | ppl   244.56
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch 361.14 | loss  5.47 | ppl   236.52
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch 361.50 | loss  5.44 | ppl   231.59
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch 360.82 | loss  5.41 | ppl   223.64
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch 361.02 | loss  5.38 | ppl   217.42
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch 362.72 | loss  5.33 | ppl   206.24
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch 363.12 | loss  5.33 | ppl   205.90
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch 364.37 | loss  5.27 | ppl   195.11
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch 364.44 | loss  5.28 | ppl   195.43
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch 361.98 | loss  5.23 | ppl   186.21
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch 361.33 | loss  5.29 | ppl   198.45
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch 363.34 | loss  5.21 | ppl   182.70
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch 365.49 | loss  5.16 | ppl   173.31
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch 365.43 | loss  5.16 | ppl   173.96
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch 366.00 | loss  5.14 | ppl   170.77
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch 366.17 | loss  5.17 | ppl   176.65
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch 366.48 | loss  5.17 | ppl   176.53
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch 366.25 | loss  5.14 | ppl   170.49
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch 367.63 | loss  5.12 | ppl   167.87
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch 367.29 | loss  5.08 | ppl   161.05
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch 366.92 | loss  5.10 | ppl   164.38
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch 366.42 | loss  5.12 | ppl   168.15
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch 367.62 | loss  5.14 | ppl   170.65
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch 367.47 | loss  5.06 | ppl   157.45
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch 367.32 | loss  5.05 | ppl   155.41
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch 365.59 | loss  5.05 | ppl   156.72
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 5843.16s | valid loss  5.20 | valid ppl   181.78
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch 365.24 | loss  5.09 | ppl   162.89
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch 363.12 | loss  5.09 | ppl   163.07
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch 363.05 | loss  5.11 | ppl   164.86
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch 364.18 | loss  5.02 | ppl   152.09
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch 366.34 | loss  5.00 | ppl   148.31
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch 367.20 | loss  5.04 | ppl   154.71
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch 367.57 | loss  5.05 | ppl   156.54
