Vocabulary Size:  27710
Total number of model parameters: 11.60M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 343.87 | loss  9.36 | ppl 11659.57
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch 341.71 | loss  8.42 | ppl  4541.00
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch 338.81 | loss  8.40 | ppl  4463.57
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch 379.08 | loss  7.78 | ppl  2403.20
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch 372.00 | loss  7.55 | ppl  1894.19
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch 368.87 | loss  7.47 | ppl  1750.26
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch 355.27 | loss  7.43 | ppl  1680.16
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch 349.26 | loss  7.43 | ppl  1690.24
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch 340.51 | loss  7.43 | ppl  1677.78
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch 337.12 | loss  7.39 | ppl  1621.59
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch 334.21 | loss  7.33 | ppl  1531.61
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch 334.40 | loss  7.40 | ppl  1631.59
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch 333.61 | loss  7.34 | ppl  1544.25
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch 331.80 | loss  7.43 | ppl  1678.31
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch 330.80 | loss  7.29 | ppl  1472.12
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch 331.10 | loss  7.42 | ppl  1663.08
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch 330.64 | loss  7.34 | ppl  1546.10
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch 330.48 | loss  7.37 | ppl  1585.78
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch 329.88 | loss  7.35 | ppl  1556.85
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch 330.39 | loss  7.31 | ppl  1492.67
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch 329.24 | loss  7.36 | ppl  1571.93
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch 329.65 | loss  7.28 | ppl  1449.82
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch 330.56 | loss  7.30 | ppl  1481.18
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch 330.61 | loss  7.27 | ppl  1436.39
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch 332.39 | loss  7.30 | ppl  1483.35
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch 335.62 | loss  7.30 | ppl  1480.25
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch 341.07 | loss  7.34 | ppl  1535.87
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch 340.54 | loss  7.30 | ppl  1483.56
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch 340.55 | loss  7.26 | ppl  1419.46
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch 341.99 | loss  7.29 | ppl  1471.34
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch 341.44 | loss  7.26 | ppl  1425.40
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 5452.86s | valid loss  6.94 | valid ppl  1031.77
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch 334.42 | loss  7.34 | ppl  1540.58
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch 333.92 | loss  7.34 | ppl  1545.93
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch 328.68 | loss  7.32 | ppl  1516.65
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch 333.31 | loss  7.26 | ppl  1420.01
