Vocabulary Size:  27710
Total number of model parameters: 11.27M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 331.41 | loss 18.76 | ppl 139969355.96
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch 321.79 | loss 18.52 | ppl 110210037.48
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch 322.69 | loss 19.05 | ppl 186715207.32
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch 327.19 | loss 19.28 | ppl 237302804.09
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch 327.19 | loss 19.24 | ppl 227063390.98
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch 326.89 | loss 18.97 | ppl 172981989.15
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch 331.10 | loss 19.16 | ppl 209458812.25
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch 332.70 | loss 18.79 | ppl 144536014.59
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch 332.00 | loss 18.88 | ppl 158752226.19
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch 332.15 | loss 18.86 | ppl 154598469.01
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch 331.00 | loss 18.59 | ppl 118802439.58
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch 331.47 | loss 18.69 | ppl 130822310.45
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch 330.08 | loss 19.11 | ppl 198844464.77
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch 328.76 | loss 18.91 | ppl 162432882.56
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch 328.45 | loss 18.86 | ppl 155804314.18
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch 325.77 | loss 19.46 | ppl 282191823.78
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch 325.23 | loss 19.01 | ppl 180707142.02
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch 325.50 | loss 19.05 | ppl 188112531.37
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch 326.29 | loss 19.02 | ppl 182596731.21
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch 325.88 | loss 18.76 | ppl 139835574.07
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch 326.39 | loss 18.87 | ppl 157268714.16
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch 327.77 | loss 19.26 | ppl 232071012.31
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch 328.58 | loss 18.64 | ppl 124089389.49
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch 325.45 | loss 18.75 | ppl 138598386.79
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch 328.15 | loss 18.77 | ppl 141260154.72
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch 328.19 | loss 19.45 | ppl 280838583.56
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch 328.60 | loss 18.72 | ppl 134387308.31
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch 328.54 | loss 18.62 | ppl 122530773.24
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch 328.41 | loss 19.04 | ppl 185792737.50
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch 327.73 | loss 18.78 | ppl 143033779.57
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch 326.11 | loss 18.55 | ppl 113985083.11
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 5260.93s | valid loss 20.37 | valid ppl 700028418.12
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch 327.40 | loss 19.26 | ppl 232333175.46
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch 326.10 | loss 19.01 | ppl 179824079.60
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch 326.35 | loss 19.29 | ppl 238915376.99
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch 326.86 | loss 19.36 | ppl 256928372.93
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch 327.76 | loss 18.86 | ppl 155204124.60
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch 331.33 | loss 18.86 | ppl 154554774.39
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch 331.58 | loss 18.60 | ppl 119598516.46
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch 331.89 | loss 18.10 | ppl 72457517.77
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch 331.97 | loss 16.40 | ppl 13321469.79
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch 332.41 | loss 16.50 | ppl 14682579.36
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch 334.22 | loss 15.94 | ppl 8335549.99
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch 334.73 | loss 14.14 | ppl 1376631.26
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch 331.01 | loss 13.98 | ppl 1180087.00
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch 329.52 | loss 14.14 | ppl 1377273.93
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch 328.90 | loss 13.94 | ppl 1133609.93
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch 328.50 | loss 14.11 | ppl 1346443.98
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch 329.18 | loss 13.91 | ppl 1101997.62
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch 325.99 | loss 13.85 | ppl 1030020.60
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch 325.52 | loss 13.97 | ppl 1169580.08
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch 326.13 | loss 13.88 | ppl 1063333.80
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch 326.48 | loss 13.96 | ppl 1159942.89
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch 326.27 | loss 13.94 | ppl 1130688.86
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch 323.36 | loss 14.07 | ppl 1291642.92
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch 324.43 | loss 14.30 | ppl 1624319.68
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch 325.25 | loss 14.09 | ppl 1309929.13
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch 325.15 | loss 14.29 | ppl 1613283.18
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch 325.89 | loss 14.12 | ppl 1350394.96
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch 326.24 | loss 14.14 | ppl 1389436.78
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch 325.63 | loss 14.00 | ppl 1200525.68
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch 325.67 | loss 13.85 | ppl 1035823.71
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch 326.99 | loss 13.92 | ppl 1108098.85
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 5260.23s | valid loss 13.79 | valid ppl 974966.30
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch 326.87 | loss 13.74 | ppl 925124.25
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch 324.04 | loss 13.78 | ppl 967880.05
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch 325.32 | loss 13.89 | ppl 1077478.88
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch 331.62 | loss 13.80 | ppl 983708.55
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch 332.29 | loss 13.64 | ppl 835833.16
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch 333.93 | loss 13.81 | ppl 995342.28
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch 333.15 | loss 13.81 | ppl 997544.37
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch 330.49 | loss 13.79 | ppl 979349.65
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch 330.97 | loss 13.85 | ppl 1038494.70
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch 329.94 | loss 13.71 | ppl 900656.19
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch 328.60 | loss 13.72 | ppl 904715.51
