Vocabulary Size:  27710
Total number of model parameters: 28.46M
| epoch   1 |   500/15983 batches | lr 2.00 | ms/batch  4.76 | loss  9.66 | ppl 15710.80
| epoch   1 |  1000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  6.67 | ppl   784.57
| epoch   1 |  1500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  6.41 | ppl   604.92
| epoch   1 |  2000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  6.16 | ppl   471.80
| epoch   1 |  2500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.97 | ppl   392.20
| epoch   1 |  3000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.98 | ppl   395.96
| epoch   1 |  3500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.94 | ppl   381.02
| epoch   1 |  4000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.93 | ppl   374.39
| epoch   1 |  4500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.89 | ppl   362.00
| epoch   1 |  5000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.86 | ppl   349.71
| epoch   1 |  5500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.79 | ppl   327.18
| epoch   1 |  6000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.78 | ppl   323.43
| epoch   1 |  6500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.70 | ppl   298.40
| epoch   1 |  7000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.71 | ppl   302.65
| epoch   1 |  7500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.65 | ppl   283.46
| epoch   1 |  8000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.71 | ppl   300.73
| epoch   1 |  8500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.62 | ppl   275.37
| epoch   1 |  9000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.57 | ppl   262.57
| epoch   1 |  9500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.56 | ppl   260.44
| epoch   1 | 10000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.56 | ppl   259.50
| epoch   1 | 10500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.57 | ppl   262.01
| epoch   1 | 11000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.56 | ppl   259.76
| epoch   1 | 11500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.53 | ppl   251.15
| epoch   1 | 12000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.48 | ppl   240.87
