Vocabulary Size:  27710
Total number of model parameters: 31.56M
| epoch   1 |   500/15983 batches | lr 2.00 | ms/batch  4.95 | loss 11.59 | ppl 108319.48
| epoch   1 |  1000/15983 batches | lr 2.00 | ms/batch  4.88 | loss  6.64 | ppl   765.51
| epoch   1 |  1500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  6.38 | ppl   590.60
| epoch   1 |  2000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  6.15 | ppl   467.74
| epoch   1 |  2500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.96 | ppl   389.54
| epoch   1 |  3000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.97 | ppl   392.98
| epoch   1 |  3500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.94 | ppl   378.21
| epoch   1 |  4000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.92 | ppl   371.30
| epoch   1 |  4500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.88 | ppl   358.07
| epoch   1 |  5000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.85 | ppl   345.67
| epoch   1 |  5500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.78 | ppl   323.74
| epoch   1 |  6000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.77 | ppl   319.33
| epoch   1 |  6500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.69 | ppl   295.64
| epoch   1 |  7000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.70 | ppl   298.51
| epoch   1 |  7500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.63 | ppl   279.29
| epoch   1 |  8000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.69 | ppl   296.90
| epoch   1 |  8500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.61 | ppl   272.22
| epoch   1 |  9000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.56 | ppl   259.40
| epoch   1 |  9500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.55 | ppl   256.78
| epoch   1 | 10000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.54 | ppl   255.19
| epoch   1 | 10500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.55 | ppl   258.08
| epoch   1 | 11000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.55 | ppl   256.29
| epoch   1 | 11500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.51 | ppl   247.70
| epoch   1 | 12000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.47 | ppl   237.06
| epoch   1 | 12500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.43 | ppl   227.80
| epoch   1 | 13000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.45 | ppl   232.90
| epoch   1 | 13500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.48 | ppl   238.90
| epoch   1 | 14000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.50 | ppl   244.38
| epoch   1 | 14500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.39 | ppl   218.54
| epoch   1 | 15000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.36 | ppl   213.33
| epoch   1 | 15500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.39 | ppl   219.50
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 78.24s | valid loss  5.46 | valid ppl   234.65
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.44 | ppl   229.47
| epoch   2 |  1000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.43 | ppl   228.44
| epoch   2 |  1500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.49 | ppl   242.06
| epoch   2 |  2000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.39 | ppl   220.01
| epoch   2 |  2500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.31 | ppl   201.78
| epoch   2 |  3000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.38 | ppl   217.01
| epoch   2 |  3500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.40 | ppl   220.68
| epoch   2 |  4000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.41 | ppl   223.13
| epoch   2 |  4500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.41 | ppl   223.56
| epoch   2 |  5000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.40 | ppl   220.54
| epoch   2 |  5500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.38 | ppl   216.35
| epoch   2 |  6000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.39 | ppl   219.31
| epoch   2 |  6500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.34 | ppl   207.72
| epoch   2 |  7000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.34 | ppl   209.43
| epoch   2 |  7500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.30 | ppl   200.59
| epoch   2 |  8000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.38 | ppl   216.48
| epoch   2 |  8500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.30 | ppl   201.27
| epoch   2 |  9000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.26 | ppl   191.68
| epoch   2 |  9500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.26 | ppl   192.82
| epoch   2 | 10000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.27 | ppl   193.56
| epoch   2 | 10500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.30 | ppl   199.90
| epoch   2 | 11000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.30 | ppl   201.32
| epoch   2 | 11500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.27 | ppl   193.54
| epoch   2 | 12000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.25 | ppl   190.32
| epoch   2 | 12500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.21 | ppl   183.53
| epoch   2 | 13000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.23 | ppl   186.48
| epoch   2 | 13500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.26 | ppl   191.66
| epoch   2 | 14000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.28 | ppl   196.47
| epoch   2 | 14500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.19 | ppl   178.98
| epoch   2 | 15000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.17 | ppl   176.77
| epoch   2 | 15500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.20 | ppl   180.83
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 78.20s | valid loss  5.32 | valid ppl   203.46
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 2.00 | ms/batch  4.88 | loss  5.25 | ppl   190.29
| epoch   3 |  1000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.25 | ppl   189.71
| epoch   3 |  1500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.30 | ppl   200.43
| epoch   3 |  2000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.22 | ppl   184.10
| epoch   3 |  2500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.15 | ppl   172.49
| epoch   3 |  3000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.22 | ppl   184.95
| epoch   3 |  3500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.24 | ppl   188.36
| epoch   3 |  4000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.24 | ppl   189.03
| epoch   3 |  4500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.25 | ppl   190.02
| epoch   3 |  5000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.24 | ppl   189.12
| epoch   3 |  5500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.23 | ppl   186.61
