Vocabulary Size:  27710
Total number of model parameters: 37.94M
| epoch   1 |   500/15983 batches | lr 2.00 | ms/batch 10.54 | loss  7.63 | ppl  2051.38
| epoch   1 |  1000/15983 batches | lr 2.00 | ms/batch 10.48 | loss  6.66 | ppl   780.79
| epoch   1 |  1500/15983 batches | lr 2.00 | ms/batch 10.59 | loss  6.39 | ppl   598.75
| epoch   1 |  2000/15983 batches | lr 2.00 | ms/batch 10.47 | loss  6.15 | ppl   469.28
| epoch   1 |  2500/15983 batches | lr 2.00 | ms/batch 10.42 | loss  5.96 | ppl   389.14
| epoch   1 |  3000/15983 batches | lr 2.00 | ms/batch 10.54 | loss  5.97 | ppl   391.39
| epoch   1 |  3500/15983 batches | lr 2.00 | ms/batch 10.56 | loss  5.93 | ppl   375.85
| epoch   1 |  4000/15983 batches | lr 2.00 | ms/batch 10.49 | loss  5.91 | ppl   368.80
| epoch   1 |  4500/15983 batches | lr 2.00 | ms/batch 10.49 | loss  5.88 | ppl   356.26
| epoch   1 |  5000/15983 batches | lr 2.00 | ms/batch 10.48 | loss  5.84 | ppl   342.96
| epoch   1 |  5500/15983 batches | lr 2.00 | ms/batch 10.49 | loss  5.77 | ppl   320.39
| epoch   1 |  6000/15983 batches | lr 2.00 | ms/batch 10.51 | loss  5.76 | ppl   316.01
| epoch   1 |  6500/15983 batches | lr 2.00 | ms/batch 10.37 | loss  5.68 | ppl   292.57
| epoch   1 |  7000/15983 batches | lr 2.00 | ms/batch 10.43 | loss  5.69 | ppl   295.08
| epoch   1 |  7500/15983 batches | lr 2.00 | ms/batch 10.54 | loss  5.62 | ppl   275.26
| epoch   1 |  8000/15983 batches | lr 2.00 | ms/batch 10.49 | loss  5.68 | ppl   293.81
| epoch   1 |  8500/15983 batches | lr 2.00 | ms/batch 10.49 | loss  5.59 | ppl   268.34
| epoch   1 |  9000/15983 batches | lr 2.00 | ms/batch 10.60 | loss  5.55 | ppl   256.17
| epoch   1 |  9500/15983 batches | lr 2.00 | ms/batch 10.47 | loss  5.53 | ppl   253.10
| epoch   1 | 10000/15983 batches | lr 2.00 | ms/batch 10.55 | loss  5.53 | ppl   252.20
| epoch   1 | 10500/15983 batches | lr 2.00 | ms/batch 10.39 | loss  5.54 | ppl   254.49
| epoch   1 | 11000/15983 batches | lr 2.00 | ms/batch 10.58 | loss  5.53 | ppl   252.36
| epoch   1 | 11500/15983 batches | lr 2.00 | ms/batch 10.50 | loss  5.50 | ppl   244.44
| epoch   1 | 12000/15983 batches | lr 2.00 | ms/batch 10.55 | loss  5.45 | ppl   233.83
| epoch   1 | 12500/15983 batches | lr 2.00 | ms/batch 10.59 | loss  5.41 | ppl   224.54
| epoch   1 | 13000/15983 batches | lr 2.00 | ms/batch 10.42 | loss  5.44 | ppl   229.37
| epoch   1 | 13500/15983 batches | lr 2.00 | ms/batch 10.47 | loss  5.46 | ppl   235.83
| epoch   1 | 14000/15983 batches | lr 2.00 | ms/batch 10.47 | loss  5.48 | ppl   240.52
| epoch   1 | 14500/15983 batches | lr 2.00 | ms/batch 10.58 | loss  5.37 | ppl   215.40
| epoch   1 | 15000/15983 batches | lr 2.00 | ms/batch  8.94 | loss  5.35 | ppl   209.60
| epoch   1 | 15500/15983 batches | lr 2.00 | ms/batch 10.51 | loss  5.37 | ppl   215.91
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 168.12s | valid loss  5.45 | valid ppl   233.59
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 2.00 | ms/batch 10.58 | loss  5.42 | ppl   225.37
| epoch   2 |  1000/15983 batches | lr 2.00 | ms/batch 10.75 | loss  5.41 | ppl   224.37
| epoch   2 |  1500/15983 batches | lr 2.00 | ms/batch 10.49 | loss  5.47 | ppl   236.83
| epoch   2 |  2000/15983 batches | lr 2.00 | ms/batch 10.49 | loss  5.37 | ppl   215.34
| epoch   2 |  2500/15983 batches | lr 2.00 | ms/batch 10.50 | loss  5.29 | ppl   197.95
| epoch   2 |  3000/15983 batches | lr 2.00 | ms/batch 10.48 | loss  5.36 | ppl   212.79
| epoch   2 |  3500/15983 batches | lr 2.00 | ms/batch  9.06 | loss  5.38 | ppl   216.14
| epoch   2 |  4000/15983 batches | lr 2.00 | ms/batch 10.59 | loss  5.38 | ppl   217.97
| epoch   2 |  4500/15983 batches | lr 2.00 | ms/batch 10.49 | loss  5.39 | ppl   218.38
| epoch   2 |  5000/15983 batches | lr 2.00 | ms/batch  7.86 | loss  5.38 | ppl   216.14
| epoch   2 |  5500/15983 batches | lr 2.00 | ms/batch  8.73 | loss  5.36 | ppl   211.82
| epoch   2 |  6000/15983 batches | lr 2.00 | ms/batch 10.46 | loss  5.37 | ppl   214.94
| epoch   2 |  6500/15983 batches | lr 2.00 | ms/batch 10.57 | loss  5.31 | ppl   202.90
| epoch   2 |  7000/15983 batches | lr 2.00 | ms/batch 10.50 | loss  5.32 | ppl   204.90
| epoch   2 |  7500/15983 batches | lr 2.00 | ms/batch 10.41 | loss  5.28 | ppl   196.03
| epoch   2 |  8000/15983 batches | lr 2.00 | ms/batch 10.58 | loss  5.36 | ppl   211.70
| epoch   2 |  8500/15983 batches | lr 2.00 | ms/batch 10.41 | loss  5.28 | ppl   196.78
| epoch   2 |  9000/15983 batches | lr 2.00 | ms/batch 10.39 | loss  5.23 | ppl   187.39
| epoch   2 |  9500/15983 batches | lr 2.00 | ms/batch 10.50 | loss  5.24 | ppl   188.52
| epoch   2 | 10000/15983 batches | lr 2.00 | ms/batch 10.36 | loss  5.24 | ppl   187.80
| epoch   2 | 10500/15983 batches | lr 2.00 | ms/batch 10.50 | loss  5.27 | ppl   194.71
| epoch   2 | 11000/15983 batches | lr 2.00 | ms/batch 10.47 | loss  5.28 | ppl   196.81
| epoch   2 | 11500/15983 batches | lr 2.00 | ms/batch 10.44 | loss  5.24 | ppl   189.15
| epoch   2 | 12000/15983 batches | lr 2.00 | ms/batch 10.45 | loss  5.22 | ppl   185.61
| epoch   2 | 12500/15983 batches | lr 2.00 | ms/batch 10.46 | loss  5.19 | ppl   179.13
| epoch   2 | 13000/15983 batches | lr 2.00 | ms/batch 10.41 | loss  5.20 | ppl   181.68
| epoch   2 | 13500/15983 batches | lr 2.00 | ms/batch 10.37 | loss  5.23 | ppl   186.59
| epoch   2 | 14000/15983 batches | lr 2.00 | ms/batch 10.53 | loss  5.25 | ppl   191.14
| epoch   2 | 14500/15983 batches | lr 2.00 | ms/batch 10.50 | loss  5.16 | ppl   174.22
| epoch   2 | 15000/15983 batches | lr 2.00 | ms/batch 10.44 | loss  5.15 | ppl   171.85
| epoch   2 | 15500/15983 batches | lr 2.00 | ms/batch 10.65 | loss  5.17 | ppl   175.97
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 165.81s | valid loss  5.29 | valid ppl   198.01
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 2.00 | ms/batch 10.48 | loss  5.22 | ppl   184.52
| epoch   3 |  1000/15983 batches | lr 2.00 | ms/batch 10.45 | loss  5.22 | ppl   184.65
| epoch   3 |  1500/15983 batches | lr 2.00 | ms/batch 10.50 | loss  5.27 | ppl   193.59
| epoch   3 |  2000/15983 batches | lr 2.00 | ms/batch 10.52 | loss  5.18 | ppl   177.77
| epoch   3 |  2500/15983 batches | lr 2.00 | ms/batch 10.42 | loss  5.12 | ppl   167.10
