Vocabulary Size:  27710
Total number of model parameters: 41.22M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  5.79 | loss  7.19 | ppl  1324.42
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  5.70 | loss  6.67 | ppl   788.16
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  5.70 | loss  6.46 | ppl   640.24
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  5.69 | loss  6.23 | ppl   509.09
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  5.69 | loss  6.06 | ppl   427.71
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  5.69 | loss  6.07 | ppl   433.11
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  5.69 | loss  6.03 | ppl   417.04
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  5.69 | loss  6.02 | ppl   412.38
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.99 | ppl   399.24
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.96 | ppl   386.78
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.89 | ppl   362.95
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.88 | ppl   359.26
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.80 | ppl   331.84
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.82 | ppl   337.15
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.76 | ppl   316.28
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.81 | ppl   334.51
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.73 | ppl   306.74
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.68 | ppl   292.69
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.68 | ppl   292.62
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.67 | ppl   291.17
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  5.69 | loss  5.68 | ppl   293.52
