Vocabulary Size:  27710
Total number of model parameters: 37.13M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  7.26 | loss  7.14 | ppl  1259.70
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  5.90 | loss  6.50 | ppl   664.24
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  6.31 | ppl   549.90
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  5.90 | loss  6.10 | ppl   446.52
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  5.90 | loss  5.92 | ppl   374.09
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  5.90 | loss  5.95 | ppl   381.93
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  5.86 | loss  5.91 | ppl   367.67
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  5.89 | loss  5.89 | ppl   361.06
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  5.89 | loss  5.86 | ppl   350.08
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  5.89 | loss  5.83 | ppl   340.03
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  5.87 | loss  5.76 | ppl   317.78
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  5.89 | loss  5.75 | ppl   315.51
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  5.87 | loss  5.68 | ppl   292.75
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  5.88 | loss  5.70 | ppl   298.02
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  5.89 | loss  5.63 | ppl   279.18
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  5.86 | loss  5.69 | ppl   296.96
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  5.87 | loss  5.60 | ppl   271.35
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  5.87 | loss  5.56 | ppl   258.79
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  5.88 | loss  5.56 | ppl   258.63
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  5.88 | loss  5.56 | ppl   258.60
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  5.88 | loss  5.56 | ppl   260.89
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch  5.88 | loss  5.56 | ppl   258.88
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch  5.89 | loss  5.52 | ppl   249.19
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch  5.90 | loss  5.48 | ppl   239.17
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch  5.90 | loss  5.44 | ppl   229.98
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch  5.89 | loss  5.47 | ppl   237.03
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch  5.86 | loss  5.49 | ppl   243.26
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch  5.86 | loss  5.51 | ppl   247.77
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch  5.89 | loss  5.40 | ppl   222.05
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch  5.89 | loss  5.38 | ppl   216.16
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch  5.89 | loss  5.40 | ppl   222.12
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 95.26s | valid loss  5.47 | valid ppl   237.53
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.45 | ppl   233.00
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch  5.88 | loss  5.45 | ppl   233.42
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch  5.90 | loss  5.50 | ppl   245.19
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch  5.89 | loss  5.41 | ppl   223.30
