Vocabulary Size:  27710
Total number of model parameters: 11.59M
| epoch   1 |   500/15983 batches | lr 10.00 | ms/batch  4.23 | loss  7.01 | ppl  1112.90
| epoch   1 |  1000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  6.13 | ppl   459.20
| epoch   1 |  1500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.92 | ppl   372.24
| epoch   1 |  2000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.71 | ppl   301.73
| epoch   1 |  2500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.58 | ppl   264.46
| epoch   1 |  3000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.58 | ppl   265.28
| epoch   1 |  3500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.55 | ppl   256.03
| epoch   1 |  4000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.52 | ppl   249.76
| epoch   1 |  4500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.49 | ppl   241.90
| epoch   1 |  5000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.46 | ppl   235.12
| epoch   1 |  5500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.41 | ppl   223.30
| epoch   1 |  6000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.41 | ppl   223.41
| epoch   1 |  6500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.35 | ppl   210.96
| epoch   1 |  7000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.35 | ppl   210.84
| epoch   1 |  7500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.30 | ppl   200.38
| epoch   1 |  8000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.37 | ppl   214.23
| epoch   1 |  8500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.29 | ppl   198.57
| epoch   1 |  9000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.24 | ppl   188.42
| epoch   1 |  9500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.24 | ppl   188.73
| epoch   1 | 10000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.22 | ppl   185.23
| epoch   1 | 10500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.26 | ppl   192.41
| epoch   1 | 11000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.25 | ppl   191.47
| epoch   1 | 11500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.22 | ppl   184.83
| epoch   1 | 12000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.21 | ppl   182.77
| epoch   1 | 12500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.16 | ppl   174.80
| epoch   1 | 13000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.18 | ppl   178.17
| epoch   1 | 13500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.21 | ppl   182.54
| epoch   1 | 14000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.22 | ppl   184.77
| epoch   1 | 14500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.14 | ppl   171.04
| epoch   1 | 15000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.13 | ppl   169.69
| epoch   1 | 15500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.14 | ppl   171.55
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 63.71s | valid loss  5.26 | valid ppl   192.41
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 10.00 | ms/batch  3.97 | loss  5.18 | ppl   177.37
| epoch   2 |  1000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.18 | ppl   177.13
| epoch   2 |  1500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.19 | ppl   179.27
| epoch   2 |  2000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.11 | ppl   165.99
| epoch   2 |  2500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.08 | ppl   160.55
| epoch   2 |  3000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.12 | ppl   167.78
| epoch   2 |  3500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.13 | ppl   169.83
| epoch   2 |  4000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.13 | ppl   168.76
| epoch   2 |  4500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.13 | ppl   169.60
| epoch   2 |  5000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.13 | ppl   169.29
| epoch   2 |  5500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.12 | ppl   166.74
| epoch   2 |  6000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.13 | ppl   169.12
| epoch   2 |  6500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.09 | ppl   161.87
| epoch   2 |  7000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.10 | ppl   163.61
| epoch   2 |  7500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.06 | ppl   158.34
| epoch   2 |  8000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.13 | ppl   169.58
| epoch   2 |  8500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.07 | ppl   159.90
| epoch   2 |  9000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.03 | ppl   153.40
| epoch   2 |  9500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.05 | ppl   155.47
| epoch   2 | 10000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.03 | ppl   153.03
| epoch   2 | 10500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.07 | ppl   159.70
| epoch   2 | 11000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.07 | ppl   159.77
| epoch   2 | 11500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.05 | ppl   155.25
| epoch   2 | 12000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.04 | ppl   154.99
| epoch   2 | 12500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.00 | ppl   148.85
| epoch   2 | 13000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.03 | ppl   152.52
| epoch   2 | 13500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.05 | ppl   155.80
| epoch   2 | 14000/15983 batches | lr 10.00 | ms/batch  3.97 | loss  5.06 | ppl   157.82
| epoch   2 | 14500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.01 | ppl   149.28
| epoch   2 | 15000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.00 | ppl   148.18
| epoch   2 | 15500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.00 | ppl   148.70
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 63.66s | valid loss  5.17 | valid ppl   176.23
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  5.04 | ppl   155.03
| epoch   3 |  1000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.04 | ppl   155.07
| epoch   3 |  1500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.05 | ppl   156.80
| epoch   3 |  2000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  4.99 | ppl   147.20
| epoch   3 |  2500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  4.97 | ppl   144.74
| epoch   3 |  3000/15983 batches | lr 10.00 | ms/batch  4.20 | loss  5.01 | ppl   150.16
| epoch   3 |  3500/15983 batches | lr 10.00 | ms/batch  4.25 | loss  5.03 | ppl   152.42
| epoch   3 |  4000/15983 batches | lr 10.00 | ms/batch  7.15 | loss  5.02 | ppl   151.23
| epoch   3 |  4500/15983 batches | lr 10.00 | ms/batch  4.95 | loss  5.03 | ppl   152.50
| epoch   3 |  5000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.03 | ppl   152.26
| epoch   3 |  5500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.02 | ppl   151.56
| epoch   3 |  6000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.03 | ppl   153.22
| epoch   3 |  6500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  4.99 | ppl   147.41
| epoch   3 |  7000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  5.00 | ppl   149.09
| epoch   3 |  7500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.98 | ppl   144.91
| epoch   3 |  8000/15983 batches | lr 10.00 | ms/batch  4.18 | loss  5.04 | ppl   154.57
| epoch   3 |  8500/15983 batches | lr 10.00 | ms/batch  4.26 | loss  4.99 | ppl   146.72
| epoch   3 |  9000/15983 batches | lr 10.00 | ms/batch  7.31 | loss  4.95 | ppl   141.59
| epoch   3 |  9500/15983 batches | lr 10.00 | ms/batch  8.10 | loss  4.97 | ppl   143.96
| epoch   3 | 10000/15983 batches | lr 10.00 | ms/batch  8.10 | loss  4.95 | ppl   141.01
| epoch   3 | 10500/15983 batches | lr 10.00 | ms/batch  8.11 | loss  4.99 | ppl   147.51
| epoch   3 | 11000/15983 batches | lr 10.00 | ms/batch  8.10 | loss  5.00 | ppl   147.83
| epoch   3 | 11500/15983 batches | lr 10.00 | ms/batch  8.10 | loss  4.97 | ppl   143.91
| epoch   3 | 12000/15983 batches | lr 10.00 | ms/batch  8.10 | loss  4.97 | ppl   143.94
| epoch   3 | 12500/15983 batches | lr 10.00 | ms/batch  8.10 | loss  4.93 | ppl   138.56
| epoch   3 | 13000/15983 batches | lr 10.00 | ms/batch  8.10 | loss  4.96 | ppl   142.06
| epoch   3 | 13500/15983 batches | lr 10.00 | ms/batch  8.10 | loss  4.97 | ppl   144.51
| epoch   3 | 14000/15983 batches | lr 10.00 | ms/batch  8.10 | loss  4.99 | ppl   146.68
| epoch   3 | 14500/15983 batches | lr 10.00 | ms/batch  8.10 | loss  4.94 | ppl   139.80
| epoch   3 | 15000/15983 batches | lr 10.00 | ms/batch  8.10 | loss  4.93 | ppl   139.04
| epoch   3 | 15500/15983 batches | lr 10.00 | ms/batch  8.10 | loss  4.93 | ppl   138.81
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 95.39s | valid loss  5.12 | valid ppl   167.62
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.97 | ppl   144.65
| epoch   4 |  1000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.98 | ppl   144.78
| epoch   4 |  1500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  4.98 | ppl   146.09
| epoch   4 |  2000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.93 | ppl   138.14
| epoch   4 |  2500/15983 batches | lr 10.00 | ms/batch  3.99 | loss  4.92 | ppl   136.98
| epoch   4 |  3000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  4.95 | ppl   141.59
| epoch   4 |  3500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.96 | ppl   143.28
| epoch   4 |  4000/15983 batches | lr 10.00 | ms/batch  4.06 | loss  4.96 | ppl   142.27
| epoch   4 |  4500/15983 batches | lr 10.00 | ms/batch  4.25 | loss  4.97 | ppl   143.58
| epoch   4 |  5000/15983 batches | lr 10.00 | ms/batch  5.96 | loss  4.97 | ppl   143.55
| epoch   4 |  5500/15983 batches | lr 10.00 | ms/batch  6.39 | loss  4.96 | ppl   143.20
| epoch   4 |  6000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  4.98 | ppl   144.96
| epoch   4 |  6500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.94 | ppl   139.52
| epoch   4 |  7000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.95 | ppl   141.27
| epoch   4 |  7500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.92 | ppl   137.35
| epoch   4 |  8000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.99 | ppl   146.23
| epoch   4 |  8500/15983 batches | lr 10.00 | ms/batch  4.10 | loss  4.94 | ppl   139.55
| epoch   4 |  9000/15983 batches | lr 10.00 | ms/batch  4.22 | loss  4.91 | ppl   135.07
| epoch   4 |  9500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.92 | ppl   137.30
| epoch   4 | 10000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.90 | ppl   134.04
| epoch   4 | 10500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.95 | ppl   140.58
| epoch   4 | 11000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.95 | ppl   141.13
| epoch   4 | 11500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.92 | ppl   137.59
| epoch   4 | 12000/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.92 | ppl   137.40
| epoch   4 | 12500/15983 batches | lr 10.00 | ms/batch  3.96 | loss  4.89 | ppl   132.38
| epoch   4 | 13000/15983 batches | lr 10.00 | ms/batch  4.28 | loss  4.91 | ppl   136.00
| epoch   4 | 13500/15983 batches | lr 10.00 | ms/batch  4.65 | loss  4.93 | ppl   138.24
| epoch   4 | 14000/15983 batches | lr 10.00 | ms/batch  7.67 | loss  4.94 | ppl   140.40
| epoch   4 | 14500/15983 batches | lr 10.00 | ms/batch  3.95 | loss  4.90 | ppl   134.67
| epoch   4 | 15000/15983 batches | lr 10.00 | ms/batch  3.95 | loss  4.90 | ppl   133.79
