Vocabulary Size:  27710
Total number of model parameters: 11.59M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch 11.15 | loss  7.11 | ppl  1223.42
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch 10.32 | loss  6.78 | ppl   879.23
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  9.39 | loss  6.75 | ppl   853.47
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch 10.98 | loss  6.64 | ppl   761.29
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch 10.93 | loss  6.47 | ppl   646.40
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch 10.91 | loss  6.44 | ppl   626.85
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch 10.91 | loss  6.34 | ppl   568.49
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch 10.97 | loss  6.27 | ppl   528.02
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch 10.94 | loss  6.19 | ppl   487.30
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch 10.95 | loss  6.12 | ppl   455.66
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch 10.98 | loss  6.04 | ppl   419.20
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch 10.87 | loss  6.01 | ppl   408.08
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch 10.96 | loss  5.93 | ppl   376.20
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch 10.92 | loss  5.93 | ppl   377.89
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch 10.95 | loss  5.87 | ppl   353.19
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch 10.91 | loss  5.91 | ppl   369.30
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch 10.91 | loss  5.82 | ppl   337.44
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch 10.95 | loss  5.77 | ppl   320.89
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch 10.94 | loss  5.76 | ppl   316.38
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch 10.93 | loss  5.75 | ppl   314.31
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch 10.98 | loss  5.75 | ppl   313.02
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch 10.00 | loss  5.72 | ppl   305.95
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch 10.99 | loss  5.70 | ppl   299.55
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch 10.96 | loss  5.65 | ppl   284.17
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch 10.96 | loss  5.61 | ppl   272.99
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch 10.98 | loss  5.62 | ppl   276.69
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch  8.79 | loss  5.65 | ppl   284.36
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch 10.56 | loss  5.66 | ppl   288.22
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch 10.57 | loss  5.56 | ppl   258.63
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch 10.51 | loss  5.52 | ppl   249.89
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch  9.41 | loss  5.55 | ppl   257.25
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 172.02s | valid loss  5.62 | valid ppl   275.19
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch 10.98 | loss  5.59 | ppl   267.78
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch 10.92 | loss  5.59 | ppl   267.08
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch 10.88 | loss  5.65 | ppl   282.96
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch 10.91 | loss  5.55 | ppl   257.47
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch 10.91 | loss  5.46 | ppl   235.56
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch 10.94 | loss  5.54 | ppl   253.46
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch 10.98 | loss  5.54 | ppl   255.47
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch 10.96 | loss  5.56 | ppl   259.59
| epoch   2 |  4500/15983 batches | lr 1.00 | ms/batch 10.96 | loss  5.56 | ppl   259.99
| epoch   2 |  5000/15983 batches | lr 1.00 | ms/batch 10.91 | loss  5.55 | ppl   257.10
| epoch   2 |  5500/15983 batches | lr 1.00 | ms/batch 10.91 | loss  5.52 | ppl   249.85
| epoch   2 |  6000/15983 batches | lr 1.00 | ms/batch 10.94 | loss  5.53 | ppl   253.35
| epoch   2 |  6500/15983 batches | lr 1.00 | ms/batch 10.91 | loss  5.48 | ppl   240.84
| epoch   2 |  7000/15983 batches | lr 1.00 | ms/batch 10.93 | loss  5.50 | ppl   243.97
| epoch   2 |  7500/15983 batches | lr 1.00 | ms/batch 10.94 | loss  5.45 | ppl   232.88
| epoch   2 |  8000/15983 batches | lr 1.00 | ms/batch 10.96 | loss  5.52 | ppl   249.64
| epoch   2 |  8500/15983 batches | lr 1.00 | ms/batch 10.94 | loss  5.45 | ppl   232.55
| epoch   2 |  9000/15983 batches | lr 1.00 | ms/batch 10.93 | loss  5.41 | ppl   223.86
| epoch   2 |  9500/15983 batches | lr 1.00 | ms/batch 10.92 | loss  5.42 | ppl   225.04
| epoch   2 | 10000/15983 batches | lr 1.00 | ms/batch 10.89 | loss  5.41 | ppl   223.21
| epoch   2 | 10500/15983 batches | lr 1.00 | ms/batch 10.91 | loss  5.44 | ppl   229.42
| epoch   2 | 11000/15983 batches | lr 1.00 | ms/batch  9.99 | loss  5.44 | ppl   229.83
| epoch   2 | 11500/15983 batches | lr 1.00 | ms/batch 10.94 | loss  5.41 | ppl   223.77
| epoch   2 | 12000/15983 batches | lr 1.00 | ms/batch 10.93 | loss  5.38 | ppl   218.00
| epoch   2 | 12500/15983 batches | lr 1.00 | ms/batch 10.92 | loss  5.35 | ppl   209.79
| epoch   2 | 13000/15983 batches | lr 1.00 | ms/batch  9.63 | loss  5.37 | ppl   213.97
| epoch   2 | 13500/15983 batches | lr 1.00 | ms/batch 10.01 | loss  5.39 | ppl   219.90
| epoch   2 | 14000/15983 batches | lr 1.00 | ms/batch 10.92 | loss  5.42 | ppl   225.36
| epoch   2 | 14500/15983 batches | lr 1.00 | ms/batch 10.94 | loss  5.32 | ppl   205.13
| epoch   2 | 15000/15983 batches | lr 1.00 | ms/batch 10.90 | loss  5.30 | ppl   200.05
