Vocabulary Size:  27710
Total number of model parameters: 11.59M
| epoch   1 |   500/31966 batches | lr 7.00 | ms/batch 10.09 | loss  7.03 | ppl  1127.88
| epoch   1 |  1000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  6.18 | ppl   483.37
| epoch   1 |  1500/31966 batches | lr 7.00 | ms/batch 10.06 | loss  6.03 | ppl   413.74
| epoch   1 |  2000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.80 | ppl   328.98
| epoch   1 |  2500/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.65 | ppl   284.58
| epoch   1 |  3000/31966 batches | lr 7.00 | ms/batch 10.17 | loss  5.70 | ppl   299.12
| epoch   1 |  3500/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.68 | ppl   292.20
| epoch   1 |  4000/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.59 | ppl   266.97
| epoch   1 |  4500/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.57 | ppl   263.65
| epoch   1 |  5000/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.53 | ppl   252.82
| epoch   1 |  5500/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.55 | ppl   257.46
| epoch   1 |  6000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.52 | ppl   250.19
| epoch   1 |  6500/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.49 | ppl   241.44
| epoch   1 |  7000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.45 | ppl   231.97
| epoch   1 |  7500/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.36 | ppl   213.49
| epoch   1 |  8000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.49 | ppl   242.93
| epoch   1 |  8500/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.45 | ppl   232.66
| epoch   1 |  9000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.31 | ppl   203.34
| epoch   1 |  9500/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.33 | ppl   205.79
| epoch   1 | 10000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.26 | ppl   192.81
| epoch   1 | 10500/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.30 | ppl   200.61
| epoch   1 | 11000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.24 | ppl   189.40
| epoch   1 | 11500/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.31 | ppl   202.75
| epoch   1 | 12000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.27 | ppl   195.22
| epoch   1 | 12500/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.30 | ppl   200.89
| epoch   1 | 13000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.33 | ppl   207.15
| epoch   1 | 13500/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.32 | ppl   204.90
| epoch   1 | 14000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.33 | ppl   206.58
| epoch   1 | 14500/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.29 | ppl   198.78
| epoch   1 | 15000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.27 | ppl   195.26
| epoch   1 | 15500/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.26 | ppl   192.33
| epoch   1 | 16000/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.22 | ppl   185.44
| epoch   1 | 16500/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.26 | ppl   192.16
| epoch   1 | 17000/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.32 | ppl   204.60
| epoch   1 | 17500/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.26 | ppl   191.77
| epoch   1 | 18000/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.21 | ppl   182.84
| epoch   1 | 18500/31966 batches | lr 7.00 | ms/batch 10.07 | loss  5.24 | ppl   189.07
| epoch   1 | 19000/31966 batches | lr 7.00 | ms/batch 10.06 | loss  5.24 | ppl   188.58
