Vocabulary Size:  27710
Total number of model parameters: 11.75M
| epoch   1 |   500/31966 batches | lr 15.00 | ms/batch  7.67 | loss  6.92 | ppl  1012.18
| epoch   1 |  1000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  6.11 | ppl   450.08
| epoch   1 |  1500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.94 | ppl   380.98
| epoch   1 |  2000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.72 | ppl   303.90
| epoch   1 |  2500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.58 | ppl   264.08
| epoch   1 |  3000/31966 batches | lr 15.00 | ms/batch 10.15 | loss  5.63 | ppl   277.67
| epoch   1 |  3500/31966 batches | lr 15.00 | ms/batch 10.09 | loss  5.60 | ppl   271.27
| epoch   1 |  4000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.51 | ppl   247.93
| epoch   1 |  4500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.49 | ppl   241.99
| epoch   1 |  5000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.44 | ppl   231.39
| epoch   1 |  5500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.46 | ppl   236.18
| epoch   1 |  6000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.43 | ppl   229.22
| epoch   1 |  6500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.40 | ppl   221.82
| epoch   1 |  7000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.36 | ppl   213.67
| epoch   1 |  7500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.28 | ppl   196.63
| epoch   1 |  8000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.41 | ppl   224.75
| epoch   1 |  8500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.36 | ppl   213.66
| epoch   1 |  9000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.22 | ppl   184.86
| epoch   1 |  9500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.24 | ppl   188.91
| epoch   1 | 10000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.19 | ppl   178.64
| epoch   1 | 10500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.22 | ppl   184.06
| epoch   1 | 11000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.17 | ppl   176.62
| epoch   1 | 11500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.23 | ppl   187.47
| epoch   1 | 12000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.20 | ppl   180.58
| epoch   1 | 12500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.23 | ppl   187.08
| epoch   1 | 13000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.25 | ppl   191.52
| epoch   1 | 13500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.24 | ppl   189.23
| epoch   1 | 14000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.25 | ppl   191.39
| epoch   1 | 14500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.21 | ppl   183.71
| epoch   1 | 15000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.20 | ppl   180.46
| epoch   1 | 15500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.18 | ppl   177.69
| epoch   1 | 16000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.14 | ppl   170.93
| epoch   1 | 16500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.18 | ppl   177.63
| epoch   1 | 17000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.24 | ppl   189.02
| epoch   1 | 17500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.18 | ppl   177.30
| epoch   1 | 18000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.13 | ppl   169.65
| epoch   1 | 18500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.17 | ppl   176.67
| epoch   1 | 19000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.17 | ppl   175.31
| epoch   1 | 19500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.19 | ppl   179.09
| epoch   1 | 20000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.22 | ppl   184.53
| epoch   1 | 20500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.22 | ppl   184.48
| epoch   1 | 21000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.18 | ppl   177.63
| epoch   1 | 21500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.12 | ppl   166.86
| epoch   1 | 22000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.15 | ppl   173.05
| epoch   1 | 22500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.08 | ppl   161.24
| epoch   1 | 23000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.17 | ppl   176.68
| epoch   1 | 23500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.15 | ppl   172.50
| epoch   1 | 24000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.17 | ppl   175.29
| epoch   1 | 24500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.07 | ppl   159.44
| epoch   1 | 25000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.10 | ppl   163.39
| epoch   1 | 25500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.09 | ppl   162.61
| epoch   1 | 26000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.11 | ppl   166.46
| epoch   1 | 26500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.18 | ppl   177.65
| epoch   1 | 27000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.23 | ppl   185.91
| epoch   1 | 27500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.10 | ppl   163.37
| epoch   1 | 28000/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.10 | ppl   163.72
| epoch   1 | 28500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  4.99 | ppl   146.23
| epoch   1 | 29000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.02 | ppl   150.81
| epoch   1 | 29500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.07 | ppl   158.43
| epoch   1 | 30000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.09 | ppl   162.67
| epoch   1 | 30500/31966 batches | lr 15.00 | ms/batch  9.93 | loss  4.98 | ppl   144.87
| epoch   1 | 31000/31966 batches | lr 15.00 | ms/batch  9.72 | loss  4.97 | ppl   144.30
| epoch   1 | 31500/31966 batches | lr 15.00 | ms/batch 10.07 | loss  5.02 | ppl   150.77
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 322.05s | valid loss  5.27 | valid ppl   194.89
-----------------------------------------------------------------------------------------
| epoch   2 |   500/31966 batches | lr 15.00 | ms/batch  9.42 | loss  5.10 | ppl   163.71
| epoch   2 |  1000/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.06 | ppl   158.38
| epoch   2 |  1500/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.14 | ppl   170.82
| epoch   2 |  2000/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.04 | ppl   154.46
| epoch   2 |  2500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  4.96 | ppl   142.99
| epoch   2 |  3000/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.06 | ppl   157.13
| epoch   2 |  3500/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.08 | ppl   160.20
| epoch   2 |  4000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.05 | ppl   156.40
| epoch   2 |  4500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.05 | ppl   156.68
| epoch   2 |  5000/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.08 | ppl   160.36
| epoch   2 |  5500/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.13 | ppl   168.64
| epoch   2 |  6000/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.10 | ppl   164.78
| epoch   2 |  6500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.09 | ppl   162.12
| epoch   2 |  7000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.04 | ppl   154.22
| epoch   2 |  7500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  4.97 | ppl   144.46
| epoch   2 |  8000/31966 batches | lr 15.00 | ms/batch 10.08 | loss  5.13 | ppl   168.27
| epoch   2 |  8500/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.09 | ppl   161.75
| epoch   2 |  9000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  4.96 | ppl   143.21
| epoch   2 |  9500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.01 | ppl   149.93
| epoch   2 | 10000/31966 batches | lr 15.00 | ms/batch 10.05 | loss  4.95 | ppl   141.16
| epoch   2 | 10500/31966 batches | lr 15.00 | ms/batch 10.05 | loss  4.98 | ppl   146.17
| epoch   2 | 11000/31966 batches | lr 15.00 | ms/batch 10.06 | loss  4.95 | ppl   140.81
| epoch   2 | 11500/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.01 | ppl   149.40
| epoch   2 | 12000/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.00 | ppl   148.08
| epoch   2 | 12500/31966 batches | lr 15.00 | ms/batch 10.06 | loss  5.03 | ppl   153.54
| epoch   2 | 13000/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.05 | ppl   156.09
| epoch   2 | 13500/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.04 | ppl   155.08
| epoch   2 | 14000/31966 batches | lr 15.00 | ms/batch 10.05 | loss  5.04 | ppl   155.10
