Vocabulary Size:  27710
Total number of model parameters: 11.75M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  6.91 | loss  7.15 | ppl  1277.66
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  6.81 | loss  6.77 | ppl   874.20
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  6.75 | ppl   851.31
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  6.83 | loss  6.64 | ppl   768.85
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  6.74 | loss  6.57 | ppl   711.78
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  6.87 | loss  6.64 | ppl   762.49
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  6.89 | loss  6.64 | ppl   765.95
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  6.84 | loss  6.67 | ppl   789.38
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  6.84 | loss  6.67 | ppl   786.95
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  6.81 | loss  6.65 | ppl   770.16
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  6.87 | loss  6.56 | ppl   706.04
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  6.80 | loss  6.51 | ppl   670.43
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  6.82 | loss  6.40 | ppl   603.86
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  6.86 | loss  6.39 | ppl   595.21
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  6.88 | loss  6.31 | ppl   548.24
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  6.84 | loss  6.29 | ppl   539.83
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  6.87 | loss  6.18 | ppl   480.74
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  6.94 | loss  6.10 | ppl   444.00
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  6.85 | loss  6.07 | ppl   432.36
