Vocabulary Size:  27710
Total number of model parameters: 11.75M
| epoch   1 |   500/15983 batches | lr 10.00 | ms/batch  8.00 | loss  7.01 | ppl  1110.09
| epoch   1 |  1000/15983 batches | lr 10.00 | ms/batch  8.07 | loss  6.23 | ppl   505.84
| epoch   1 |  1500/15983 batches | lr 10.00 | ms/batch  8.00 | loss  5.99 | ppl   397.82
| epoch   1 |  2000/15983 batches | lr 10.00 | ms/batch  8.09 | loss  5.77 | ppl   319.39
| epoch   1 |  2500/15983 batches | lr 10.00 | ms/batch  8.03 | loss  5.62 | ppl   275.65
| epoch   1 |  3000/15983 batches | lr 10.00 | ms/batch  8.02 | loss  5.61 | ppl   272.04
| epoch   1 |  3500/15983 batches | lr 10.00 | ms/batch  8.06 | loss  5.56 | ppl   260.93
| epoch   1 |  4000/15983 batches | lr 10.00 | ms/batch  7.96 | loss  5.54 | ppl   253.47
| epoch   1 |  4500/15983 batches | lr 10.00 | ms/batch  8.09 | loss  5.50 | ppl   245.10
| epoch   1 |  5000/15983 batches | lr 10.00 | ms/batch  7.93 | loss  5.46 | ppl   235.41
| epoch   1 |  5500/15983 batches | lr 10.00 | ms/batch  8.07 | loss  5.40 | ppl   222.15
| epoch   1 |  6000/15983 batches | lr 10.00 | ms/batch  7.94 | loss  5.40 | ppl   221.15
| epoch   1 |  6500/15983 batches | lr 10.00 | ms/batch  8.07 | loss  5.34 | ppl   208.20
| epoch   1 |  7000/15983 batches | lr 10.00 | ms/batch  7.96 | loss  5.34 | ppl   208.05
| epoch   1 |  7500/15983 batches | lr 10.00 | ms/batch  8.04 | loss  5.28 | ppl   196.76
| epoch   1 |  8000/15983 batches | lr 10.00 | ms/batch  8.05 | loss  5.35 | ppl   209.97
| epoch   1 |  8500/15983 batches | lr 10.00 | ms/batch  7.99 | loss  5.26 | ppl   193.33
| epoch   1 |  9000/15983 batches | lr 10.00 | ms/batch  8.10 | loss  5.21 | ppl   182.94
| epoch   1 |  9500/15983 batches | lr 10.00 | ms/batch  8.00 | loss  5.21 | ppl   182.31
| epoch   1 | 10000/15983 batches | lr 10.00 | ms/batch  8.06 | loss  5.19 | ppl   179.15
| epoch   1 | 10500/15983 batches | lr 10.00 | ms/batch  8.02 | loss  5.23 | ppl   185.91
| epoch   1 | 11000/15983 batches | lr 10.00 | ms/batch  8.06 | loss  5.22 | ppl   185.02
| epoch   1 | 11500/15983 batches | lr 10.00 | ms/batch  8.08 | loss  5.18 | ppl   177.89
| epoch   1 | 12000/15983 batches | lr 10.00 | ms/batch  8.00 | loss  5.16 | ppl   174.35
| epoch   1 | 12500/15983 batches | lr 10.00 | ms/batch  8.12 | loss  5.12 | ppl   166.68
| epoch   1 | 13000/15983 batches | lr 10.00 | ms/batch  8.04 | loss  5.14 | ppl   170.12
| epoch   1 | 13500/15983 batches | lr 10.00 | ms/batch  8.07 | loss  5.16 | ppl   173.63
| epoch   1 | 14000/15983 batches | lr 10.00 | ms/batch  8.04 | loss  5.17 | ppl   175.73
| epoch   1 | 14500/15983 batches | lr 10.00 | ms/batch  8.02 | loss  5.09 | ppl   161.70
| epoch   1 | 15000/15983 batches | lr 10.00 | ms/batch  8.13 | loss  5.07 | ppl   159.95
| epoch   1 | 15500/15983 batches | lr 10.00 | ms/batch  8.00 | loss  5.09 | ppl   161.59
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 129.79s | valid loss  5.21 | valid ppl   182.97
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 10.00 | ms/batch  7.99 | loss  5.12 | ppl   168.12
| epoch   2 |  1000/15983 batches | lr 10.00 | ms/batch  8.11 | loss  5.12 | ppl   167.73
| epoch   2 |  1500/15983 batches | lr 10.00 | ms/batch  7.97 | loss  5.14 | ppl   170.63
| epoch   2 |  2000/15983 batches | lr 10.00 | ms/batch  8.05 | loss  5.06 | ppl   156.91
| epoch   2 |  2500/15983 batches | lr 10.00 | ms/batch  8.00 | loss  5.02 | ppl   151.72
| epoch   2 |  3000/15983 batches | lr 10.00 | ms/batch  8.00 | loss  5.07 | ppl   158.86
| epoch   2 |  3500/15983 batches | lr 10.00 | ms/batch  8.03 | loss  5.08 | ppl   160.94
| epoch   2 |  4000/15983 batches | lr 10.00 | ms/batch  7.99 | loss  5.08 | ppl   159.99
| epoch   2 |  4500/15983 batches | lr 10.00 | ms/batch  8.05 | loss  5.08 | ppl   160.19
| epoch   2 |  5000/15983 batches | lr 10.00 | ms/batch  7.98 | loss  5.08 | ppl   160.16
| epoch   2 |  5500/15983 batches | lr 10.00 | ms/batch  8.10 | loss  5.05 | ppl   156.80
| epoch   2 |  6000/15983 batches | lr 10.00 | ms/batch  7.97 | loss  5.07 | ppl   159.64
