Vocabulary Size:  27710
Total number of model parameters: 7.39M
| epoch   1 |   500/15983 batches | lr 15.00 | ms/batch  3.76 | loss  6.92 | ppl  1008.98
| epoch   1 |  1000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  6.11 | ppl   451.58
| epoch   1 |  1500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.90 | ppl   364.96
| epoch   1 |  2000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.70 | ppl   299.49
| epoch   1 |  2500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.58 | ppl   265.71
| epoch   1 |  3000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.59 | ppl   267.14
| epoch   1 |  3500/15983 batches | lr 15.00 | ms/batch  3.74 | loss  5.55 | ppl   258.24
| epoch   1 |  4000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.53 | ppl   252.33
| epoch   1 |  4500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.50 | ppl   244.99
| epoch   1 |  5000/15983 batches | lr 15.00 | ms/batch  3.92 | loss  5.47 | ppl   236.92
| epoch   1 |  5500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.42 | ppl   226.23
| epoch   1 |  6000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.42 | ppl   226.15
| epoch   1 |  6500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.37 | ppl   214.17
| epoch   1 |  7000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.37 | ppl   215.68
| epoch   1 |  7500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.32 | ppl   204.82
| epoch   1 |  8000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.39 | ppl   218.25
| epoch   1 |  8500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.31 | ppl   202.21
| epoch   1 |  9000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.26 | ppl   192.41
| epoch   1 |  9500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.26 | ppl   191.68
| epoch   1 | 10000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.25 | ppl   189.93
| epoch   1 | 10500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.28 | ppl   195.83
| epoch   1 | 11000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.28 | ppl   195.83
| epoch   1 | 11500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.24 | ppl   188.88
| epoch   1 | 12000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.23 | ppl   185.99
| epoch   1 | 12500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.18 | ppl   178.14
| epoch   1 | 13000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.20 | ppl   181.53
| epoch   1 | 13500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.22 | ppl   185.79
| epoch   1 | 14000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.24 | ppl   189.34
| epoch   1 | 14500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.16 | ppl   173.80
| epoch   1 | 15000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.15 | ppl   171.74
| epoch   1 | 15500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.16 | ppl   174.50
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 60.07s | valid loss  5.28 | valid ppl   195.86
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.20 | ppl   181.65
| epoch   2 |  1000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.20 | ppl   180.97
| epoch   2 |  1500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.22 | ppl   184.38
| epoch   2 |  2000/15983 batches | lr 15.00 | ms/batch  3.92 | loss  5.14 | ppl   170.51
| epoch   2 |  2500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.10 | ppl   164.36
| epoch   2 |  3000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.15 | ppl   172.86
| epoch   2 |  3500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.17 | ppl   175.28
| epoch   2 |  4000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.17 | ppl   175.47
| epoch   2 |  4500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.17 | ppl   175.42
| epoch   2 |  5000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.17 | ppl   175.77
| epoch   2 |  5500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.15 | ppl   172.50
| epoch   2 |  6000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.17 | ppl   175.49
| epoch   2 |  6500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.13 | ppl   168.36
| epoch   2 |  7000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.14 | ppl   170.40
| epoch   2 |  7500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.10 | ppl   164.38
| epoch   2 |  8000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.17 | ppl   176.71
| epoch   2 |  8500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.11 | ppl   165.72
| epoch   2 |  9000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.07 | ppl   158.96
| epoch   2 |  9500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.08 | ppl   160.82
| epoch   2 | 10000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.07 | ppl   159.60
| epoch   2 | 10500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.12 | ppl   166.63
| epoch   2 | 11000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.12 | ppl   167.34
| epoch   2 | 11500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.09 | ppl   161.71
| epoch   2 | 12000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.08 | ppl   161.41
| epoch   2 | 12500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.05 | ppl   155.35
| epoch   2 | 13000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.07 | ppl   158.77
| epoch   2 | 13500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.09 | ppl   162.35
| epoch   2 | 14000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.11 | ppl   166.03
| epoch   2 | 14500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.04 | ppl   154.90
| epoch   2 | 15000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.03 | ppl   153.62
| epoch   2 | 15500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.04 | ppl   154.68
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 60.06s | valid loss  5.19 | valid ppl   180.22
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 15.00 | ms/batch  3.92 | loss  5.09 | ppl   161.73
| epoch   3 |  1000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.09 | ppl   162.13
| epoch   3 |  1500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.11 | ppl   165.89
| epoch   3 |  2000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.04 | ppl   154.97
| epoch   3 |  2500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.02 | ppl   150.82
| epoch   3 |  3000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.06 | ppl   158.26
| epoch   3 |  3500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.08 | ppl   160.35
| epoch   3 |  4000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.08 | ppl   160.12
| epoch   3 |  4500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.08 | ppl   161.16
| epoch   3 |  5000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.09 | ppl   161.79
| epoch   3 |  5500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.07 | ppl   159.63
| epoch   3 |  6000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.09 | ppl   162.35
| epoch   3 |  6500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.05 | ppl   155.68
| epoch   3 |  7000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.06 | ppl   158.10
| epoch   3 |  7500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.03 | ppl   153.34
| epoch   3 |  8000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.10 | ppl   164.31
| epoch   3 |  8500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.04 | ppl   155.15
| epoch   3 |  9000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.00 | ppl   148.97
| epoch   3 |  9500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.02 | ppl   151.30
| epoch   3 | 10000/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.01 | ppl   149.78
| epoch   3 | 10500/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.05 | ppl   156.28
| epoch   3 | 11000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.06 | ppl   157.17
| epoch   3 | 11500/15983 batches | lr 15.00 | ms/batch  3.73 | loss  5.03 | ppl   152.73
| epoch   3 | 12000/15983 batches | lr 15.00 | ms/batch  3.72 | loss  5.03 | ppl   152.32
| epoch   3 | 12500/15983 batches | lr 15.00 | ms/batch  3.93 | loss  4.99 | ppl   146.77
| epoch   3 | 13000/15983 batches | lr 15.00 | ms/batch  3.92 | loss  5.01 | ppl   149.56
| epoch   3 | 13500/15983 batches | lr 15.00 | ms/batch  5.59 | loss  5.03 | ppl   153.55
| epoch   3 | 14000/15983 batches | lr 15.00 | ms/batch  7.11 | loss  5.05 | ppl   156.26
| epoch   3 | 14500/15983 batches | lr 15.00 | ms/batch  7.10 | loss  4.99 | ppl   147.38
| epoch   3 | 15000/15983 batches | lr 15.00 | ms/batch  7.11 | loss  4.98 | ppl   146.18
