Vocabulary Size:  27710
Total number of model parameters: 11.27M
| epoch   1 |   500/15983 batches | lr 0.20 | ms/batch  8.87 | loss  8.38 | ppl  4351.73
| epoch   1 |  1000/15983 batches | lr 0.20 | ms/batch  8.09 | loss  7.52 | ppl  1847.33
| epoch   1 |  1500/15983 batches | lr 0.20 | ms/batch  8.09 | loss  7.27 | ppl  1442.36
| epoch   1 |  2000/15983 batches | lr 0.20 | ms/batch  8.29 | loss  7.04 | ppl  1146.64
| epoch   1 |  2500/15983 batches | lr 0.20 | ms/batch  8.41 | loss  6.88 | ppl   969.13
| epoch   1 |  3000/15983 batches | lr 0.20 | ms/batch 12.15 | loss  6.88 | ppl   971.95
| epoch   1 |  3500/15983 batches | lr 0.20 | ms/batch 12.15 | loss  6.84 | ppl   934.07
| epoch   1 |  4000/15983 batches | lr 0.20 | ms/batch 12.15 | loss  6.83 | ppl   924.97
| epoch   1 |  4500/15983 batches | lr 0.20 | ms/batch 12.15 | loss  6.78 | ppl   879.75
| epoch   1 |  5000/15983 batches | lr 0.20 | ms/batch 12.15 | loss  6.74 | ppl   844.62
| epoch   1 |  5500/15983 batches | lr 0.20 | ms/batch 12.16 | loss  6.66 | ppl   781.31
| epoch   1 |  6000/15983 batches | lr 0.20 | ms/batch 12.15 | loss  6.63 | ppl   759.26
| epoch   1 |  6500/15983 batches | lr 0.20 | ms/batch 12.15 | loss  6.54 | ppl   694.96
| epoch   1 |  7000/15983 batches | lr 0.20 | ms/batch 12.15 | loss  6.55 | ppl   699.23
| epoch   1 |  7500/15983 batches | lr 0.20 | ms/batch  8.56 | loss  6.49 | ppl   661.68
| epoch   1 |  8000/15983 batches | lr 0.20 | ms/batch  5.92 | loss  6.52 | ppl   675.22
| epoch   1 |  8500/15983 batches | lr 0.20 | ms/batch  3.69 | loss  6.44 | ppl   626.97
| epoch   1 |  9000/15983 batches | lr 0.20 | ms/batch  3.69 | loss  6.38 | ppl   589.45
| epoch   1 |  9500/15983 batches | lr 0.20 | ms/batch  3.69 | loss  6.37 | ppl   582.15
| epoch   1 | 10000/15983 batches | lr 0.20 | ms/batch  3.69 | loss  6.36 | ppl   580.79
| epoch   1 | 10500/15983 batches | lr 0.20 | ms/batch  3.69 | loss  6.35 | ppl   570.60
| epoch   1 | 11000/15983 batches | lr 0.20 | ms/batch  3.69 | loss  6.31 | ppl   548.00
| epoch   1 | 11500/15983 batches | lr 0.20 | ms/batch  3.86 | loss  6.29 | ppl   538.58
| epoch   1 | 12000/15983 batches | lr 0.20 | ms/batch  4.00 | loss  6.22 | ppl   502.48
| epoch   1 | 12500/15983 batches | lr 0.20 | ms/batch  5.52 | loss  6.17 | ppl   478.18
| epoch   1 | 13000/15983 batches | lr 0.20 | ms/batch  8.05 | loss  6.19 | ppl   487.70
| epoch   1 | 13500/15983 batches | lr 0.20 | ms/batch  8.07 | loss  6.21 | ppl   497.09
| epoch   1 | 14000/15983 batches | lr 0.20 | ms/batch  8.07 | loss  6.22 | ppl   503.62
| epoch   1 | 14500/15983 batches | lr 0.20 | ms/batch  8.07 | loss  6.10 | ppl   444.63
| epoch   1 | 15000/15983 batches | lr 0.20 | ms/batch  8.07 | loss  6.07 | ppl   432.47
| epoch   1 | 15500/15983 batches | lr 0.20 | ms/batch  8.07 | loss  6.10 | ppl   444.27
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 129.84s | valid loss  6.12 | valid ppl   456.28
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 0.20 | ms/batch  8.26 | loss  6.14 | ppl   464.93
| epoch   2 |  1000/15983 batches | lr 0.20 | ms/batch  8.34 | loss  6.14 | ppl   464.76
| epoch   2 |  1500/15983 batches | lr 0.20 | ms/batch 12.02 | loss  6.19 | ppl   485.98
| epoch   2 |  2000/15983 batches | lr 0.20 | ms/batch 12.10 | loss  6.09 | ppl   441.00
| epoch   2 |  2500/15983 batches | lr 0.20 | ms/batch 12.11 | loss  6.00 | ppl   401.45
| epoch   2 |  3000/15983 batches | lr 0.20 | ms/batch 12.11 | loss  6.08 | ppl   435.61
| epoch   2 |  3500/15983 batches | lr 0.20 | ms/batch 12.10 | loss  6.09 | ppl   440.46
| epoch   2 |  4000/15983 batches | lr 0.20 | ms/batch 12.11 | loss  6.12 | ppl   454.37
| epoch   2 |  4500/15983 batches | lr 0.20 | ms/batch 12.11 | loss  6.12 | ppl   456.08
| epoch   2 |  5000/15983 batches | lr 0.20 | ms/batch 12.11 | loss  6.12 | ppl   453.44
| epoch   2 |  5500/15983 batches | lr 0.20 | ms/batch 12.11 | loss  6.08 | ppl   436.48
| epoch   2 |  6000/15983 batches | lr 0.20 | ms/batch 12.11 | loss  6.08 | ppl   438.81
| epoch   2 |  6500/15983 batches | lr 0.20 | ms/batch 12.11 | loss  6.02 | ppl   411.68
| epoch   2 |  7000/15983 batches | lr 0.20 | ms/batch 12.11 | loss  6.05 | ppl   424.58
