Vocabulary Size:  27710
Total number of model parameters: 11.27M
| epoch   1 |   500/31966 batches | lr 2.00 | ms/batch  3.42 | loss  7.79 | ppl  2424.99
| epoch   1 |  1000/31966 batches | lr 2.00 | ms/batch  3.55 | loss  6.70 | ppl   810.73
| epoch   1 |  1500/31966 batches | lr 2.00 | ms/batch  3.64 | loss  6.51 | ppl   671.00
| epoch   1 |  2000/31966 batches | lr 2.00 | ms/batch  7.15 | loss  6.21 | ppl   499.69
| epoch   1 |  2500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  6.05 | ppl   426.06
| epoch   1 |  3000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  6.13 | ppl   457.78
| epoch   1 |  3500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  6.11 | ppl   449.73
| epoch   1 |  4000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  6.02 | ppl   410.11
| epoch   1 |  4500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.99 | ppl   398.82
| epoch   1 |  5000/31966 batches | lr 2.00 | ms/batch 10.17 | loss  5.95 | ppl   382.73
| epoch   1 |  5500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.96 | ppl   385.83
| epoch   1 |  6000/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.92 | ppl   371.40
| epoch   1 |  6500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.87 | ppl   353.12
| epoch   1 |  7000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.86 | ppl   350.38
| epoch   1 |  7500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.78 | ppl   322.40
| epoch   1 |  8000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.91 | ppl   367.69
| epoch   1 |  8500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.85 | ppl   348.39
| epoch   1 |  9000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.75 | ppl   315.11
| epoch   1 |  9500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.74 | ppl   310.57
| epoch   1 | 10000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.67 | ppl   291.20
| epoch   1 | 10500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.69 | ppl   295.31
| epoch   1 | 11000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.64 | ppl   282.31
| epoch   1 | 11500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.71 | ppl   303.21
| epoch   1 | 12000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.65 | ppl   283.71
| epoch   1 | 12500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.67 | ppl   290.24
| epoch   1 | 13000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.71 | ppl   300.88
| epoch   1 | 13500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.73 | ppl   306.62
| epoch   1 | 14000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.74 | ppl   310.12
| epoch   1 | 14500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.65 | ppl   283.95
| epoch   1 | 15000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.62 | ppl   275.04
| epoch   1 | 15500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.61 | ppl   273.51
| epoch   1 | 16000/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.56 | ppl   260.07
| epoch   1 | 16500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.61 | ppl   271.96
| epoch   1 | 17000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.67 | ppl   291.14
| epoch   1 | 17500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.67 | ppl   290.61
| epoch   1 | 18000/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.61 | ppl   272.72
| epoch   1 | 18500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.55 | ppl   256.92
| epoch   1 | 19000/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.56 | ppl   260.92
| epoch   1 | 19500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.57 | ppl   261.26
| epoch   1 | 20000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.64 | ppl   282.18
| epoch   1 | 20500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.64 | ppl   280.94
| epoch   1 | 21000/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.59 | ppl   269.00
| epoch   1 | 21500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.54 | ppl   253.48
| epoch   1 | 22000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.56 | ppl   260.73
| epoch   1 | 22500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.48 | ppl   240.26
| epoch   1 | 23000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.56 | ppl   259.65
| epoch   1 | 23500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.52 | ppl   249.77
| epoch   1 | 24000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.54 | ppl   254.10
| epoch   1 | 24500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.44 | ppl   230.60
| epoch   1 | 25000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.45 | ppl   232.51
| epoch   1 | 25500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.46 | ppl   234.40
| epoch   1 | 26000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.51 | ppl   246.69
| epoch   1 | 26500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.55 | ppl   256.49
| epoch   1 | 27000/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.57 | ppl   262.64
| epoch   1 | 27500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.45 | ppl   232.54
| epoch   1 | 28000/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.44 | ppl   231.41
| epoch   1 | 28500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.35 | ppl   209.71
| epoch   1 | 29000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.36 | ppl   213.72
| epoch   1 | 29500/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.42 | ppl   225.23
| epoch   1 | 30000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.44 | ppl   230.42
| epoch   1 | 30500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.31 | ppl   202.57
| epoch   1 | 31000/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.31 | ppl   201.76
| epoch   1 | 31500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.38 | ppl   215.95
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 312.32s | valid loss  5.54 | valid ppl   254.22
-----------------------------------------------------------------------------------------
| epoch   2 |   500/31966 batches | lr 2.00 | ms/batch 10.08 | loss  5.47 | ppl   237.84
| epoch   2 |  1000/31966 batches | lr 2.00 | ms/batch 10.07 | loss  5.43 | ppl   227.37
| epoch   2 |  1500/31966 batches | lr 2.00 | ms/batch  9.59 | loss  5.51 | ppl   247.61
| epoch   2 |  2000/31966 batches | lr 2.00 | ms/batch  9.22 | loss  5.40 | ppl   222.23
| epoch   2 |  2500/31966 batches | lr 2.00 | ms/batch 10.05 | loss  5.33 | ppl   206.04
| epoch   2 |  3000/31966 batches | lr 2.00 | ms/batch 10.05 | loss  5.45 | ppl   233.54
| epoch   2 |  3500/31966 batches | lr 2.00 | ms/batch 10.05 | loss  5.50 | ppl   245.70
| epoch   2 |  4000/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.45 | ppl   232.75
| epoch   2 |  4500/31966 batches | lr 2.00 | ms/batch 10.05 | loss  5.46 | ppl   234.79
| epoch   2 |  5000/31966 batches | lr 2.00 | ms/batch 10.05 | loss  5.46 | ppl   235.82
| epoch   2 |  5500/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.50 | ppl   244.77
| epoch   2 |  6000/31966 batches | lr 2.00 | ms/batch 10.06 | loss  5.48 | ppl   239.75
