Vocabulary Size:  27710
Total number of model parameters: 5.61M
| epoch   1 |   500/15983 batches | lr 2.00 | ms/batch 11.01 | loss  7.50 | ppl  1803.21
| epoch   1 |  1000/15983 batches | lr 2.00 | ms/batch 10.95 | loss  6.77 | ppl   868.79
| epoch   1 |  1500/15983 batches | lr 2.00 | ms/batch 10.95 | loss  6.57 | ppl   712.65
| epoch   1 |  2000/15983 batches | lr 2.00 | ms/batch 10.96 | loss  6.32 | ppl   555.63
| epoch   1 |  2500/15983 batches | lr 2.00 | ms/batch 11.17 | loss  6.12 | ppl   456.28
| epoch   1 |  3000/15983 batches | lr 2.00 | ms/batch 12.50 | loss  6.14 | ppl   462.00
| epoch   1 |  3500/15983 batches | lr 2.00 | ms/batch 14.05 | loss  6.10 | ppl   443.93
| epoch   1 |  4000/15983 batches | lr 2.00 | ms/batch 14.05 | loss  6.09 | ppl   439.98
| epoch   1 |  4500/15983 batches | lr 2.00 | ms/batch 14.04 | loss  6.05 | ppl   424.31
| epoch   1 |  5000/15983 batches | lr 2.00 | ms/batch 12.86 | loss  6.02 | ppl   409.77
| epoch   1 |  5500/15983 batches | lr 2.00 | ms/batch 14.04 | loss  5.95 | ppl   384.07
| epoch   1 |  6000/15983 batches | lr 2.00 | ms/batch 14.05 | loss  5.94 | ppl   378.86
| epoch   1 |  6500/15983 batches | lr 2.00 | ms/batch 13.38 | loss  5.86 | ppl   350.20
| epoch   1 |  7000/15983 batches | lr 2.00 | ms/batch 14.05 | loss  5.87 | ppl   354.55
| epoch   1 |  7500/15983 batches | lr 2.00 | ms/batch 14.03 | loss  5.81 | ppl   333.05
| epoch   1 |  8000/15983 batches | lr 2.00 | ms/batch 14.02 | loss  5.86 | ppl   352.35
| epoch   1 |  8500/15983 batches | lr 2.00 | ms/batch 14.05 | loss  5.78 | ppl   324.50
| epoch   1 |  9000/15983 batches | lr 2.00 | ms/batch 14.01 | loss  5.74 | ppl   310.41
| epoch   1 |  9500/15983 batches | lr 2.00 | ms/batch 14.02 | loss  5.74 | ppl   310.05
| epoch   1 | 10000/15983 batches | lr 2.00 | ms/batch 14.05 | loss  5.74 | ppl   311.15
| epoch   1 | 10500/15983 batches | lr 2.00 | ms/batch 14.05 | loss  5.74 | ppl   311.55
| epoch   1 | 11000/15983 batches | lr 2.00 | ms/batch 14.02 | loss  5.73 | ppl   307.44
| epoch   1 | 11500/15983 batches | lr 2.00 | ms/batch 14.04 | loss  5.71 | ppl   301.09
| epoch   1 | 12000/15983 batches | lr 2.00 | ms/batch 14.05 | loss  5.66 | ppl   287.22
| epoch   1 | 12500/15983 batches | lr 2.00 | ms/batch 14.00 | loss  5.62 | ppl   275.47
| epoch   1 | 13000/15983 batches | lr 2.00 | ms/batch 14.01 | loss  5.65 | ppl   283.46
| epoch   1 | 13500/15983 batches | lr 2.00 | ms/batch 12.93 | loss  5.68 | ppl   293.94
| epoch   1 | 14000/15983 batches | lr 2.00 | ms/batch 14.02 | loss  5.70 | ppl   299.05
| epoch   1 | 14500/15983 batches | lr 2.00 | ms/batch 14.04 | loss  5.59 | ppl   268.14
| epoch   1 | 15000/15983 batches | lr 2.00 | ms/batch 14.23 | loss  5.57 | ppl   261.31
| epoch   1 | 15500/15983 batches | lr 2.00 | ms/batch 15.19 | loss  5.59 | ppl   268.60
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 219.68s | valid loss  5.61 | valid ppl   272.96
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 2.00 | ms/batch 17.13 | loss  5.65 | ppl   283.17
| epoch   2 |  1000/15983 batches | lr 2.00 | ms/batch 17.09 | loss  5.64 | ppl   282.17
| epoch   2 |  1500/15983 batches | lr 2.00 | ms/batch 17.10 | loss  5.69 | ppl   297.23
| epoch   2 |  2000/15983 batches | lr 2.00 | ms/batch 17.12 | loss  5.61 | ppl   272.79
| epoch   2 |  2500/15983 batches | lr 2.00 | ms/batch 17.13 | loss  5.52 | ppl   250.44
| epoch   2 |  3000/15983 batches | lr 2.00 | ms/batch 16.46 | loss  5.60 | ppl   270.14
| epoch   2 |  3500/15983 batches | lr 2.00 | ms/batch 17.09 | loss  5.62 | ppl   274.81
| epoch   2 |  4000/15983 batches | lr 2.00 | ms/batch 17.12 | loss  5.63 | ppl   278.94
| epoch   2 |  4500/15983 batches | lr 2.00 | ms/batch 17.07 | loss  5.64 | ppl   280.51
| epoch   2 |  5000/15983 batches | lr 2.00 | ms/batch 17.11 | loss  5.63 | ppl   277.69
| epoch   2 |  5500/15983 batches | lr 2.00 | ms/batch 16.00 | loss  5.60 | ppl   270.65
| epoch   2 |  6000/15983 batches | lr 2.00 | ms/batch 17.09 | loss  5.61 | ppl   274.13
| epoch   2 |  6500/15983 batches | lr 2.00 | ms/batch 16.52 | loss  5.56 | ppl   259.02
| epoch   2 |  7000/15983 batches | lr 2.00 | ms/batch 17.11 | loss  5.58 | ppl   264.58
| epoch   2 |  7500/15983 batches | lr 2.00 | ms/batch 17.13 | loss  5.53 | ppl   252.22
| epoch   2 |  8000/15983 batches | lr 2.00 | ms/batch 17.12 | loss  5.61 | ppl   272.84
| epoch   2 |  8500/15983 batches | lr 2.00 | ms/batch 17.11 | loss  5.54 | ppl   254.97
| epoch   2 |  9000/15983 batches | lr 2.00 | ms/batch 17.10 | loss  5.51 | ppl   246.37
| epoch   2 |  9500/15983 batches | lr 2.00 | ms/batch 17.11 | loss  5.51 | ppl   247.47
| epoch   2 | 10000/15983 batches | lr 2.00 | ms/batch 17.12 | loss  5.52 | ppl   249.28
| epoch   2 | 10500/15983 batches | lr 2.00 | ms/batch 17.10 | loss  5.54 | ppl   253.91
| epoch   2 | 11000/15983 batches | lr 2.00 | ms/batch 17.11 | loss  5.54 | ppl   254.88
| epoch   2 | 11500/15983 batches | lr 2.00 | ms/batch 17.11 | loss  5.51 | ppl   248.33
| epoch   2 | 12000/15983 batches | lr 2.00 | ms/batch 17.14 | loss  5.48 | ppl   240.68
| epoch   2 | 12500/15983 batches | lr 2.00 | ms/batch 17.13 | loss  5.45 | ppl   232.99
| epoch   2 | 13000/15983 batches | lr 2.00 | ms/batch 17.18 | loss  5.48 | ppl   238.67
| epoch   2 | 13500/15983 batches | lr 2.00 | ms/batch 16.75 | loss  5.51 | ppl   248.07
| epoch   2 | 14000/15983 batches | lr 2.00 | ms/batch 16.59 | loss  5.54 | ppl   254.10
| epoch   2 | 14500/15983 batches | lr 2.00 | ms/batch 17.49 | loss  5.44 | ppl   231.11
| epoch   2 | 15000/15983 batches | lr 2.00 | ms/batch 17.51 | loss  5.42 | ppl   226.45
| epoch   2 | 15500/15983 batches | lr 2.00 | ms/batch 16.66 | loss  5.45 | ppl   232.31
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 275.36s | valid loss  5.50 | valid ppl   244.03
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 2.00 | ms/batch 17.52 | loss  5.50 | ppl   245.47
| epoch   3 |  1000/15983 batches | lr 2.00 | ms/batch 17.49 | loss  5.51 | ppl   246.27
| epoch   3 |  1500/15983 batches | lr 2.00 | ms/batch 17.50 | loss  5.56 | ppl   260.86
| epoch   3 |  2000/15983 batches | lr 2.00 | ms/batch 17.50 | loss  5.48 | ppl   239.99
| epoch   3 |  2500/15983 batches | lr 2.00 | ms/batch 17.48 | loss  5.41 | ppl   224.05
| epoch   3 |  3000/15983 batches | lr 2.00 | ms/batch 16.88 | loss  5.49 | ppl   241.33
| epoch   3 |  3500/15983 batches | lr 2.00 | ms/batch 17.54 | loss  5.51 | ppl   246.10
