Vocabulary Size:  27710
Total number of model parameters: 11.27M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch 12.13 | loss  7.11 | ppl  1221.13
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch 12.10 | loss  6.75 | ppl   851.73
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch 12.11 | loss  6.60 | ppl   735.44
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch 12.11 | loss  6.36 | ppl   581.03
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch 12.10 | loss  6.16 | ppl   472.64
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch 12.11 | loss  6.15 | ppl   470.38
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch 12.11 | loss  6.11 | ppl   450.76
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch 12.11 | loss  6.10 | ppl   444.49
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch 12.11 | loss  6.06 | ppl   429.24
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch 12.11 | loss  6.03 | ppl   415.03
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.96 | ppl   387.54
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.95 | ppl   383.37
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.87 | ppl   355.56
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.89 | ppl   361.19
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.83 | ppl   339.04
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.88 | ppl   358.34
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.80 | ppl   329.09
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.75 | ppl   314.99
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.75 | ppl   313.64
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.75 | ppl   312.86
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.74 | ppl   312.40
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.73 | ppl   308.59
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch 11.08 | loss  5.71 | ppl   301.89
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch 12.10 | loss  5.66 | ppl   287.81
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch 12.10 | loss  5.63 | ppl   277.91
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.65 | ppl   283.58
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.68 | ppl   293.00
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch 12.10 | loss  5.70 | ppl   298.49
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.59 | ppl   267.24
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch 11.98 | loss  5.56 | ppl   259.28
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch 11.33 | loss  5.59 | ppl   267.20
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 194.47s | valid loss  5.65 | valid ppl   284.37
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch 12.11 | loss  5.64 | ppl   280.08
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.64 | ppl   280.84
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch 12.08 | loss  5.70 | ppl   297.83
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.61 | ppl   271.97
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.52 | ppl   248.43
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch 12.08 | loss  5.59 | ppl   267.51
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.60 | ppl   269.53
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.62 | ppl   274.88
| epoch   2 |  4500/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.62 | ppl   276.18
| epoch   2 |  5000/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.62 | ppl   274.81
| epoch   2 |  5500/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.59 | ppl   267.10
| epoch   2 |  6000/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.60 | ppl   270.87
| epoch   2 |  6500/15983 batches | lr 1.00 | ms/batch 12.07 | loss  5.55 | ppl   257.49
| epoch   2 |  7000/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.57 | ppl   261.18
| epoch   2 |  7500/15983 batches | lr 1.00 | ms/batch 12.07 | loss  5.52 | ppl   250.74
| epoch   2 |  8000/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.60 | ppl   270.03
| epoch   2 |  8500/15983 batches | lr 1.00 | ms/batch 12.07 | loss  5.53 | ppl   251.10
| epoch   2 |  9000/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.50 | ppl   243.86
| epoch   2 |  9500/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.50 | ppl   245.49
| epoch   2 | 10000/15983 batches | lr 1.00 | ms/batch 12.07 | loss  5.50 | ppl   245.13
| epoch   2 | 10500/15983 batches | lr 1.00 | ms/batch 12.07 | loss  5.52 | ppl   249.45
| epoch   2 | 11000/15983 batches | lr 1.00 | ms/batch 12.07 | loss  5.52 | ppl   249.43
| epoch   2 | 11500/15983 batches | lr 1.00 | ms/batch 11.11 | loss  5.49 | ppl   243.22
| epoch   2 | 12000/15983 batches | lr 1.00 | ms/batch 12.07 | loss  5.47 | ppl   236.76
| epoch   2 | 12500/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.44 | ppl   229.98
| epoch   2 | 13000/15983 batches | lr 1.00 | ms/batch 12.05 | loss  5.46 | ppl   234.44
| epoch   2 | 13500/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.48 | ppl   239.89
| epoch   2 | 14000/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.51 | ppl   246.30
| epoch   2 | 14500/15983 batches | lr 1.00 | ms/batch 12.06 | loss  5.41 | ppl   222.90
| epoch   2 | 15000/15983 batches | lr 1.00 | ms/batch 11.95 | loss  5.39 | ppl   218.23
| epoch   2 | 15500/15983 batches | lr 1.00 | ms/batch 11.35 | loss  5.42 | ppl   226.05
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 193.96s | valid loss  5.52 | valid ppl   248.65
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 1.00 | ms/batch 12.10 | loss  5.48 | ppl   238.96
| epoch   3 |  1000/15983 batches | lr 1.00 | ms/batch 12.08 | loss  5.48 | ppl   239.98
| epoch   3 |  1500/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.55 | ppl   256.69
| epoch   3 |  2000/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.46 | ppl   234.44
| epoch   3 |  2500/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.38 | ppl   217.82
| epoch   3 |  3000/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.46 | ppl   234.05
| epoch   3 |  3500/15983 batches | lr 1.00 | ms/batch 12.08 | loss  5.47 | ppl   237.81
| epoch   3 |  4000/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.48 | ppl   239.90
| epoch   3 |  4500/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.49 | ppl   241.58
| epoch   3 |  5000/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.48 | ppl   239.30
| epoch   3 |  5500/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.46 | ppl   235.78
| epoch   3 |  6000/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.48 | ppl   240.07
| epoch   3 |  6500/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.44 | ppl   229.91
| epoch   3 |  7000/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.45 | ppl   233.16
| epoch   3 |  7500/15983 batches | lr 1.00 | ms/batch 12.08 | loss  5.41 | ppl   223.45
| epoch   3 |  8000/15983 batches | lr 1.00 | ms/batch 12.08 | loss  5.49 | ppl   242.02
| epoch   3 |  8500/15983 batches | lr 1.00 | ms/batch 12.08 | loss  5.42 | ppl   225.43
| epoch   3 |  9000/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.38 | ppl   217.71
| epoch   3 |  9500/15983 batches | lr 1.00 | ms/batch 12.08 | loss  5.39 | ppl   218.89
| epoch   3 | 10000/15983 batches | lr 1.00 | ms/batch 12.09 | loss  5.39 | ppl   218.45
| epoch   3 | 10500/15983 batches | lr 1.00 | ms/batch 12.08 | loss  5.41 | ppl   224.71
| epoch   3 | 11000/15983 batches | lr 1.00 | ms/batch 12.08 | loss  5.42 | ppl   226.54
| epoch   3 | 11500/15983 batches | lr 1.00 | ms/batch 11.12 | loss  5.40 | ppl   220.76
| epoch   3 | 12000/15983 batches | lr 1.00 | ms/batch 12.08 | loss  5.38 | ppl   215.95
