Vocabulary Size:  27710
Total number of model parameters: 5.61M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch 14.09 | loss  7.08 | ppl  1184.00
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch 14.04 | loss  6.77 | ppl   871.01
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch 14.05 | loss  6.75 | ppl   852.38
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch 13.79 | loss  6.65 | ppl   771.51
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch 13.12 | loss  6.54 | ppl   695.40
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch 14.04 | loss  6.50 | ppl   663.71
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch 13.37 | loss  6.42 | ppl   613.77
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch 14.08 | loss  6.36 | ppl   577.90
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch 14.02 | loss  6.28 | ppl   533.17
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch 14.04 | loss  6.22 | ppl   500.69
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch 14.03 | loss  6.13 | ppl   459.15
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch 14.01 | loss  6.10 | ppl   447.52
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch 14.02 | loss  6.02 | ppl   411.19
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch 14.03 | loss  6.03 | ppl   414.37
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch 14.05 | loss  5.97 | ppl   390.16
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch 14.03 | loss  6.01 | ppl   408.23
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch 14.02 | loss  5.93 | ppl   375.11
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch 14.05 | loss  5.88 | ppl   356.84
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch 14.01 | loss  5.87 | ppl   355.05
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch 14.02 | loss  5.87 | ppl   355.68
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch 12.90 | loss  5.87 | ppl   354.49
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch 14.03 | loss  5.85 | ppl   348.09
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch 14.04 | loss  5.83 | ppl   342.06
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch 14.12 | loss  5.78 | ppl   324.21
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch 14.26 | loss  5.75 | ppl   312.99
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch 16.76 | loss  5.77 | ppl   320.72
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch 16.48 | loss  5.80 | ppl   330.33
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch 17.12 | loss  5.82 | ppl   335.47
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch 17.08 | loss  5.71 | ppl   300.57
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch 17.10 | loss  5.67 | ppl   290.29
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch 17.12 | loss  5.70 | ppl   300.36
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 236.25s | valid loss  5.74 | valid ppl   311.57
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch 17.12 | loss  5.75 | ppl   315.73
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch 17.09 | loss  5.75 | ppl   315.00
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch 17.10 | loss  5.81 | ppl   332.71
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch 17.10 | loss  5.72 | ppl   304.47
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch 16.24 | loss  5.63 | ppl   278.71
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch 16.86 | loss  5.70 | ppl   300.31
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch 16.50 | loss  5.72 | ppl   304.31
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch 17.11 | loss  5.74 | ppl   310.17
| epoch   2 |  4500/15983 batches | lr 1.00 | ms/batch 17.12 | loss  5.74 | ppl   310.50
| epoch   2 |  5000/15983 batches | lr 1.00 | ms/batch 17.12 | loss  5.73 | ppl   307.64
