Vocabulary Size:  27710
Total number of model parameters: 11.27M
| epoch   1 |   500/15983 batches | lr 0.20 | ms/batch  3.95 | loss  7.53 | ppl  1856.17
| epoch   1 |  1000/15983 batches | lr 0.20 | ms/batch  4.05 | loss  6.91 | ppl  1004.68
| epoch   1 |  1500/15983 batches | lr 0.20 | ms/batch  3.69 | loss  6.85 | ppl   945.23
| epoch   1 |  2000/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.72 | ppl   826.95
| epoch   1 |  2500/15983 batches | lr 0.20 | ms/batch  3.69 | loss  6.62 | ppl   747.10
| epoch   1 |  3000/15983 batches | lr 0.20 | ms/batch  3.69 | loss  6.65 | ppl   771.54
| epoch   1 |  3500/15983 batches | lr 0.20 | ms/batch  4.06 | loss  6.62 | ppl   747.05
| epoch   1 |  4000/15983 batches | lr 0.20 | ms/batch  3.69 | loss  6.60 | ppl   738.42
| epoch   1 |  4500/15983 batches | lr 0.20 | ms/batch  3.69 | loss  6.56 | ppl   706.80
| epoch   1 |  5000/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.52 | ppl   676.92
| epoch   1 |  5500/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.45 | ppl   630.23
| epoch   1 |  6000/15983 batches | lr 0.20 | ms/batch  4.05 | loss  6.42 | ppl   612.69
| epoch   1 |  6500/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.33 | ppl   559.37
| epoch   1 |  7000/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.33 | ppl   561.79
| epoch   1 |  7500/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.27 | ppl   528.78
| epoch   1 |  8000/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.30 | ppl   541.93
| epoch   1 |  8500/15983 batches | lr 0.20 | ms/batch  4.05 | loss  6.22 | ppl   501.08
| epoch   1 |  9000/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.16 | ppl   474.14
| epoch   1 |  9500/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.15 | ppl   469.57
| epoch   1 | 10000/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.15 | ppl   471.01
| epoch   1 | 10500/15983 batches | lr 0.20 | ms/batch  4.05 | loss  6.14 | ppl   464.86
| epoch   1 | 11000/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.12 | ppl   453.84
| epoch   1 | 11500/15983 batches | lr 0.20 | ms/batch  3.67 | loss  6.11 | ppl   449.49
| epoch   1 | 12000/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.05 | ppl   423.71
| epoch   1 | 12500/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.01 | ppl   407.63
| epoch   1 | 13000/15983 batches | lr 0.20 | ms/batch  4.05 | loss  6.04 | ppl   419.69
| epoch   1 | 13500/15983 batches | lr 0.20 | ms/batch  3.68 | loss  6.07 | ppl   431.20
| epoch   1 | 14000/15983 batches | lr 0.20 | ms/batch  3.67 | loss  6.08 | ppl   438.14
| epoch   1 | 14500/15983 batches | lr 0.20 | ms/batch  3.68 | loss  5.96 | ppl   388.95
| epoch   1 | 15000/15983 batches | lr 0.20 | ms/batch  3.67 | loss  5.93 | ppl   377.58
| epoch   1 | 15500/15983 batches | lr 0.20 | ms/batch  4.04 | loss  5.97 | ppl   391.71
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 60.60s | valid loss  6.00 | valid ppl   401.85
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 0.20 | ms/batch  3.67 | loss  6.02 | ppl   412.43
| epoch   2 |  1000/15983 batches | lr 0.20 | ms/batch  3.67 | loss  6.02 | ppl   411.83
| epoch   2 |  1500/15983 batches | lr 0.20 | ms/batch  3.67 | loss  6.07 | ppl   431.44
| epoch   2 |  2000/15983 batches | lr 0.20 | ms/batch  3.67 | loss  5.97 | ppl   393.32
| epoch   2 |  2500/15983 batches | lr 0.20 | ms/batch  3.67 | loss  5.88 | ppl   358.25
| epoch   2 |  3000/15983 batches | lr 0.20 | ms/batch  4.05 | loss  5.96 | ppl   388.22
| epoch   2 |  3500/15983 batches | lr 0.20 | ms/batch  3.67 | loss  5.97 | ppl   393.16
| epoch   2 |  4000/15983 batches | lr 0.20 | ms/batch  3.94 | loss  6.00 | ppl   405.28
| epoch   2 |  4500/15983 batches | lr 0.20 | ms/batch  3.88 | loss  6.01 | ppl   406.46
| epoch   2 |  5000/15983 batches | lr 0.20 | ms/batch  4.13 | loss  6.00 | ppl   404.85
| epoch   2 |  5500/15983 batches | lr 0.20 | ms/batch  3.93 | loss  5.97 | ppl   389.95
| epoch   2 |  6000/15983 batches | lr 0.20 | ms/batch  3.67 | loss  5.97 | ppl   393.38
| epoch   2 |  6500/15983 batches | lr 0.20 | ms/batch  3.68 | loss  5.91 | ppl   369.51
| epoch   2 |  7000/15983 batches | lr 0.20 | ms/batch  7.44 | loss  5.95 | ppl   382.29
| epoch   2 |  7500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.91 | ppl   366.98
| epoch   2 |  8000/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.96 | ppl   387.66
| epoch   2 |  8500/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.89 | ppl   362.21
| epoch   2 |  9000/15983 batches | lr 0.20 | ms/batch  8.02 | loss  5.86 | ppl   350.30
| epoch   2 |  9500/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.87 | ppl   352.48
| epoch   2 | 10000/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.88 | ppl   356.24
| epoch   2 | 10500/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.88 | ppl   357.46
| epoch   2 | 11000/15983 batches | lr 0.20 | ms/batch  7.66 | loss  5.87 | ppl   355.06
| epoch   2 | 11500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.87 | ppl   352.54
| epoch   2 | 12000/15983 batches | lr 0.20 | ms/batch  8.01 | loss  5.81 | ppl   334.97
| epoch   2 | 12500/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.79 | ppl   325.72
| epoch   2 | 13000/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.82 | ppl   336.65
| epoch   2 | 13500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.85 | ppl   347.10
| epoch   2 | 14000/15983 batches | lr 0.20 | ms/batch  7.89 | loss  5.88 | ppl   356.45
| epoch   2 | 14500/15983 batches | lr 0.20 | ms/batch  7.77 | loss  5.77 | ppl   319.41
| epoch   2 | 15000/15983 batches | lr 0.20 | ms/batch  8.01 | loss  5.74 | ppl   310.75
| epoch   2 | 15500/15983 batches | lr 0.20 | ms/batch  7.66 | loss  5.78 | ppl   323.41
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 99.80s | valid loss  5.82 | valid ppl   337.96
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 0.20 | ms/batch  7.66 | loss  5.84 | ppl   344.09
| epoch   3 |  1000/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.84 | ppl   344.69
| epoch   3 |  1500/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.90 | ppl   365.18
| epoch   3 |  2000/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.81 | ppl   334.31
| epoch   3 |  2500/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.72 | ppl   305.78
| epoch   3 |  3000/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.80 | ppl   331.74
| epoch   3 |  3500/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.82 | ppl   336.67
| epoch   3 |  4000/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.85 | ppl   346.94
| epoch   3 |  4500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.86 | ppl   349.58
| epoch   3 |  5000/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.85 | ppl   348.84
| epoch   3 |  5500/15983 batches | lr 0.20 | ms/batch  7.88 | loss  5.82 | ppl   337.84
| epoch   3 |  6000/15983 batches | lr 0.20 | ms/batch  7.78 | loss  5.84 | ppl   342.58
| epoch   3 |  6500/15983 batches | lr 0.20 | ms/batch  6.46 | loss  5.78 | ppl   323.42
| epoch   3 |  7000/15983 batches | lr 0.20 | ms/batch  3.68 | loss  5.81 | ppl   334.29
| epoch   3 |  7500/15983 batches | lr 0.20 | ms/batch  7.74 | loss  5.77 | ppl   320.43
| epoch   3 |  8000/15983 batches | lr 0.20 | ms/batch  7.95 | loss  5.83 | ppl   340.76
| epoch   3 |  8500/15983 batches | lr 0.20 | ms/batch  7.72 | loss  5.77 | ppl   319.21
| epoch   3 |  9000/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.74 | ppl   309.73
| epoch   3 |  9500/15983 batches | lr 0.20 | ms/batch  8.02 | loss  5.75 | ppl   313.29
| epoch   3 | 10000/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.75 | ppl   315.53
| epoch   3 | 10500/15983 batches | lr 0.20 | ms/batch  8.01 | loss  5.76 | ppl   317.24
| epoch   3 | 11000/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.76 | ppl   317.02
| epoch   3 | 11500/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.75 | ppl   313.05
| epoch   3 | 12000/15983 batches | lr 0.20 | ms/batch  8.01 | loss  5.70 | ppl   299.79
| epoch   3 | 12500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.68 | ppl   292.16
| epoch   3 | 13000/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.71 | ppl   301.18
| epoch   3 | 13500/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.74 | ppl   310.51
| epoch   3 | 14000/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.77 | ppl   320.03
| epoch   3 | 14500/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.66 | ppl   288.01
| epoch   3 | 15000/15983 batches | lr 0.20 | ms/batch  7.99 | loss  5.63 | ppl   279.91
| epoch   3 | 15500/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.68 | ppl   291.68
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 123.31s | valid loss  5.73 | valid ppl   306.85
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 0.20 | ms/batch  7.69 | loss  5.74 | ppl   311.30
| epoch   4 |  1000/15983 batches | lr 0.20 | ms/batch  8.03 | loss  5.74 | ppl   311.52
| epoch   4 |  1500/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.81 | ppl   332.60
| epoch   4 |  2000/15983 batches | lr 0.20 | ms/batch  7.99 | loss  5.72 | ppl   304.46
| epoch   4 |  2500/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.63 | ppl   278.72
| epoch   4 |  3000/15983 batches | lr 0.20 | ms/batch  7.99 | loss  5.71 | ppl   302.52
| epoch   4 |  3500/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.73 | ppl   307.24
| epoch   4 |  4000/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.76 | ppl   315.91
| epoch   4 |  4500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.77 | ppl   319.00
| epoch   4 |  5000/15983 batches | lr 0.20 | ms/batch  7.70 | loss  5.76 | ppl   318.27
| epoch   4 |  5500/15983 batches | lr 0.20 | ms/batch  8.01 | loss  5.73 | ppl   309.44
| epoch   4 |  6000/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.75 | ppl   314.48
| epoch   4 |  6500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.70 | ppl   297.48
| epoch   4 |  7000/15983 batches | lr 0.20 | ms/batch  6.43 | loss  5.72 | ppl   306.41
| epoch   4 |  7500/15983 batches | lr 0.20 | ms/batch  7.99 | loss  5.68 | ppl   293.84
| epoch   4 |  8000/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.75 | ppl   313.85
| epoch   4 |  8500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.68 | ppl   294.09
| epoch   4 |  9000/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.66 | ppl   285.72
| epoch   4 |  9500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.67 | ppl   289.57
| epoch   4 | 10000/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.67 | ppl   291.40
| epoch   4 | 10500/15983 batches | lr 0.20 | ms/batch  8.03 | loss  5.68 | ppl   293.31
| epoch   4 | 11000/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.68 | ppl   294.30
| epoch   4 | 11500/15983 batches | lr 0.20 | ms/batch  8.01 | loss  5.67 | ppl   289.51
| epoch   4 | 12000/15983 batches | lr 0.20 | ms/batch  8.01 | loss  5.63 | ppl   278.53
| epoch   4 | 12500/15983 batches | lr 0.20 | ms/batch  7.99 | loss  5.60 | ppl   271.55
| epoch   4 | 13000/15983 batches | lr 0.20 | ms/batch  7.64 | loss  5.63 | ppl   279.46
| epoch   4 | 13500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.66 | ppl   287.93
| epoch   4 | 14000/15983 batches | lr 0.20 | ms/batch  7.95 | loss  5.69 | ppl   297.27
| epoch   4 | 14500/15983 batches | lr 0.20 | ms/batch  7.70 | loss  5.59 | ppl   268.24
| epoch   4 | 15000/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.56 | ppl   260.41
| epoch   4 | 15500/15983 batches | lr 0.20 | ms/batch  8.01 | loss  5.60 | ppl   271.48
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 125.81s | valid loss  5.66 | valid ppl   286.70
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 0.20 | ms/batch  7.82 | loss  5.67 | ppl   289.13
| epoch   5 |  1000/15983 batches | lr 0.20 | ms/batch  7.89 | loss  5.67 | ppl   289.64
| epoch   5 |  1500/15983 batches | lr 0.20 | ms/batch  8.03 | loss  5.74 | ppl   310.70
| epoch   5 |  2000/15983 batches | lr 0.20 | ms/batch  8.02 | loss  5.65 | ppl   284.89
| epoch   5 |  2500/15983 batches | lr 0.20 | ms/batch  8.02 | loss  5.56 | ppl   260.35
| epoch   5 |  3000/15983 batches | lr 0.20 | ms/batch  7.67 | loss  5.64 | ppl   282.72
| epoch   5 |  3500/15983 batches | lr 0.20 | ms/batch  8.04 | loss  5.66 | ppl   287.37
| epoch   5 |  4000/15983 batches | lr 0.20 | ms/batch  8.02 | loss  5.69 | ppl   294.42
| epoch   5 |  4500/15983 batches | lr 0.20 | ms/batch  8.03 | loss  5.70 | ppl   297.95
| epoch   5 |  5000/15983 batches | lr 0.20 | ms/batch  8.04 | loss  5.69 | ppl   297.20
| epoch   5 |  5500/15983 batches | lr 0.20 | ms/batch  8.02 | loss  5.67 | ppl   290.06
| epoch   5 |  6000/15983 batches | lr 0.20 | ms/batch  8.04 | loss  5.69 | ppl   295.32
| epoch   5 |  6500/15983 batches | lr 0.20 | ms/batch  7.66 | loss  5.63 | ppl   279.51
| epoch   5 |  7000/15983 batches | lr 0.20 | ms/batch  6.75 | loss  5.66 | ppl   287.17
| epoch   5 |  7500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.62 | ppl   275.86
| epoch   5 |  8000/15983 batches | lr 0.20 | ms/batch  8.01 | loss  5.69 | ppl   294.75
| epoch   5 |  8500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.62 | ppl   276.50
| epoch   5 |  9000/15983 batches | lr 0.20 | ms/batch  8.26 | loss  5.59 | ppl   268.60
| epoch   5 |  9500/15983 batches | lr 0.20 | ms/batch  8.12 | loss  5.61 | ppl   272.62
| epoch   5 | 10000/15983 batches | lr 0.20 | ms/batch  8.37 | loss  5.61 | ppl   274.17
| epoch   5 | 10500/15983 batches | lr 0.20 | ms/batch  7.65 | loss  5.62 | ppl   276.67
| epoch   5 | 11000/15983 batches | lr 0.20 | ms/batch  8.36 | loss  5.63 | ppl   278.26
| epoch   5 | 11500/15983 batches | lr 0.20 | ms/batch  7.99 | loss  5.61 | ppl   272.42
