Vocabulary Size:  27710
Total number of model parameters: 25.31M
| epoch   1 |   500/15983 batches | lr 15.00 | ms/batch 18.47 | loss  7.10 | ppl  1216.88
| epoch   1 |  1000/15983 batches | lr 15.00 | ms/batch 18.88 | loss  6.43 | ppl   620.62
| epoch   1 |  1500/15983 batches | lr 15.00 | ms/batch 19.28 | loss  6.02 | ppl   413.64
| epoch   1 |  2000/15983 batches | lr 15.00 | ms/batch 19.30 | loss  5.77 | ppl   319.43
| epoch   1 |  2500/15983 batches | lr 15.00 | ms/batch 19.13 | loss  5.62 | ppl   277.00
| epoch   1 |  3000/15983 batches | lr 15.00 | ms/batch 18.93 | loss  5.60 | ppl   269.25
| epoch   1 |  3500/15983 batches | lr 15.00 | ms/batch 16.86 | loss  5.54 | ppl   254.13
| epoch   1 |  4000/15983 batches | lr 15.00 | ms/batch 15.27 | loss  5.49 | ppl   243.02
| epoch   1 |  4500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  5.45 | ppl   232.01
| epoch   1 |  5000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  5.39 | ppl   219.23
| epoch   1 |  5500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  5.33 | ppl   207.25
| epoch   1 |  6000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  5.32 | ppl   204.85
| epoch   1 |  6500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  5.26 | ppl   192.93
| epoch   1 |  7000/15983 batches | lr 15.00 | ms/batch 14.49 | loss  5.25 | ppl   191.34
| epoch   1 |  7500/15983 batches | lr 15.00 | ms/batch 15.30 | loss  5.20 | ppl   180.75
| epoch   1 |  8000/15983 batches | lr 15.00 | ms/batch 15.30 | loss  5.26 | ppl   191.74
| epoch   1 |  8500/15983 batches | lr 15.00 | ms/batch 15.31 | loss  5.17 | ppl   175.83
| epoch   1 |  9000/15983 batches | lr 15.00 | ms/batch 15.31 | loss  5.11 | ppl   166.34
| epoch   1 |  9500/15983 batches | lr 15.00 | ms/batch 15.31 | loss  5.11 | ppl   165.78
| epoch   1 | 10000/15983 batches | lr 15.00 | ms/batch 15.31 | loss  5.08 | ppl   161.06
| epoch   1 | 10500/15983 batches | lr 15.00 | ms/batch 15.30 | loss  5.12 | ppl   166.94
| epoch   1 | 11000/15983 batches | lr 15.00 | ms/batch 15.31 | loss  5.11 | ppl   166.40
| epoch   1 | 11500/15983 batches | lr 15.00 | ms/batch 15.31 | loss  5.07 | ppl   159.74
| epoch   1 | 12000/15983 batches | lr 15.00 | ms/batch 15.31 | loss  5.06 | ppl   157.23
| epoch   1 | 12500/15983 batches | lr 15.00 | ms/batch 15.30 | loss  5.00 | ppl   148.84
| epoch   1 | 13000/15983 batches | lr 15.00 | ms/batch 15.30 | loss  5.02 | ppl   151.85
| epoch   1 | 13500/15983 batches | lr 15.00 | ms/batch 15.30 | loss  5.04 | ppl   154.68
| epoch   1 | 14000/15983 batches | lr 15.00 | ms/batch 15.30 | loss  5.05 | ppl   156.35
| epoch   1 | 14500/15983 batches | lr 15.00 | ms/batch 15.31 | loss  4.97 | ppl   144.68
| epoch   1 | 15000/15983 batches | lr 15.00 | ms/batch 15.31 | loss  4.96 | ppl   142.66
| epoch   1 | 15500/15983 batches | lr 15.00 | ms/batch 15.31 | loss  4.97 | ppl   143.60
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 257.31s | valid loss  5.09 | valid ppl   162.18
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 15.00 | ms/batch 15.30 | loss  5.00 | ppl   147.67
| epoch   2 |  1000/15983 batches | lr 15.00 | ms/batch 15.25 | loss  5.00 | ppl   147.69
| epoch   2 |  1500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  5.00 | ppl   148.77
| epoch   2 |  2000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.92 | ppl   137.04
| epoch   2 |  2500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.89 | ppl   133.56
| epoch   2 |  3000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.93 | ppl   138.76
| epoch   2 |  3500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.94 | ppl   139.83
| epoch   2 |  4000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.93 | ppl   138.00
| epoch   2 |  4500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.93 | ppl   138.39
| epoch   2 |  5000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.93 | ppl   138.50
| epoch   2 |  5500/15983 batches | lr 15.00 | ms/batch 15.25 | loss  4.91 | ppl   136.25
| epoch   2 |  6000/15983 batches | lr 15.00 | ms/batch 15.25 | loss  4.92 | ppl   137.14
| epoch   2 |  6500/15983 batches | lr 15.00 | ms/batch 15.25 | loss  4.88 | ppl   131.45
| epoch   2 |  7000/15983 batches | lr 15.00 | ms/batch 14.46 | loss  4.89 | ppl   132.85
| epoch   2 |  7500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.85 | ppl   128.33
| epoch   2 |  8000/15983 batches | lr 15.00 | ms/batch 15.27 | loss  4.92 | ppl   136.69
| epoch   2 |  8500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.86 | ppl   128.86
| epoch   2 |  9000/15983 batches | lr 15.00 | ms/batch 15.25 | loss  4.82 | ppl   123.55
| epoch   2 |  9500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.83 | ppl   125.01
| epoch   2 | 10000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.80 | ppl   121.77
| epoch   2 | 10500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.85 | ppl   127.96
| epoch   2 | 11000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.86 | ppl   128.78
| epoch   2 | 11500/15983 batches | lr 15.00 | ms/batch 15.27 | loss  4.82 | ppl   124.14
| epoch   2 | 12000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.81 | ppl   123.32
| epoch   2 | 12500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.77 | ppl   118.26
| epoch   2 | 13000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.80 | ppl   121.58
| epoch   2 | 13500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.81 | ppl   123.08
| epoch   2 | 14000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.83 | ppl   125.40
| epoch   2 | 14500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.78 | ppl   119.14
| epoch   2 | 15000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.77 | ppl   118.10
| epoch   2 | 15500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.77 | ppl   117.69
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 244.87s | valid loss  4.96 | valid ppl   142.58
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 15.00 | ms/batch 15.29 | loss  4.80 | ppl   121.78
| epoch   3 |  1000/15983 batches | lr 15.00 | ms/batch 15.25 | loss  4.80 | ppl   121.93
| epoch   3 |  1500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.82 | ppl   123.54
| epoch   3 |  2000/15983 batches | lr 15.00 | ms/batch 15.25 | loss  4.75 | ppl   115.17
| epoch   3 |  2500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.74 | ppl   114.58
| epoch   3 |  3000/15983 batches | lr 15.00 | ms/batch 15.27 | loss  4.77 | ppl   118.40
| epoch   3 |  3500/15983 batches | lr 15.00 | ms/batch 15.27 | loss  4.79 | ppl   119.76
| epoch   3 |  4000/15983 batches | lr 15.00 | ms/batch 15.25 | loss  4.77 | ppl   118.05
| epoch   3 |  4500/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.78 | ppl   119.00
| epoch   3 |  5000/15983 batches | lr 15.00 | ms/batch 15.26 | loss  4.78 | ppl   119.26
| epoch   3 |  5500/15983 batches | lr 15.00 | ms/batch 15.27 | loss  4.78 | ppl   118.89
| epoch   3 |  6000/15983 batches | lr 15.00 | ms/batch 15.25 | loss  4.78 | ppl   119.25
| epoch   3 |  6500/15983 batches | lr 15.00 | ms/batch 15.27 | loss  4.74 | ppl   114.99
| epoch   3 |  7000/15983 batches | lr 15.00 | ms/batch 13.50 | loss  4.76 | ppl   116.49
| epoch   3 |  7500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.73 | ppl   112.89
| epoch   3 |  8000/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.79 | ppl   119.89
| epoch   3 |  8500/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.74 | ppl   114.09
| epoch   3 |  9000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.70 | ppl   110.01
| epoch   3 |  9500/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.72 | ppl   111.65
| epoch   3 | 10000/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.69 | ppl   108.67
| epoch   3 | 10500/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.74 | ppl   114.63
| epoch   3 | 11000/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.75 | ppl   115.26
| epoch   3 | 11500/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.71 | ppl   111.52
| epoch   3 | 12000/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.71 | ppl   111.06
| epoch   3 | 12500/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.67 | ppl   106.70
| epoch   3 | 13000/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.70 | ppl   110.00
| epoch   3 | 13500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.71 | ppl   111.06
| epoch   3 | 14000/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.73 | ppl   113.11
| epoch   3 | 14500/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.69 | ppl   108.62
| epoch   3 | 15000/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.68 | ppl   108.25
| epoch   3 | 15500/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.68 | ppl   107.33
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 168.15s | valid loss  4.91 | valid ppl   135.66
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 15.00 | ms/batch  6.87 | loss  4.71 | ppl   111.14
| epoch   4 |  1000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.71 | ppl   111.05
| epoch   4 |  1500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.72 | ppl   112.24
| epoch   4 |  2000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.66 | ppl   105.55
| epoch   4 |  2500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.66 | ppl   105.20
| epoch   4 |  3000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.69 | ppl   108.91
| epoch   4 |  3500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.70 | ppl   110.12
| epoch   4 |  4000/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.69 | ppl   108.38
| epoch   4 |  4500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.70 | ppl   109.52
| epoch   4 |  5000/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.70 | ppl   109.92
| epoch   4 |  5500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.70 | ppl   110.00
| epoch   4 |  6000/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.71 | ppl   110.76
| epoch   4 |  6500/15983 batches | lr 15.00 | ms/batch  6.85 | loss  4.67 | ppl   106.84
| epoch   4 |  7000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.68 | ppl   108.15
| epoch   4 |  7500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.66 | ppl   105.12
| epoch   4 |  8000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.71 | ppl   111.35
| epoch   4 |  8500/15983 batches | lr 15.00 | ms/batch  6.87 | loss  4.67 | ppl   106.35
| epoch   4 |  9000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.63 | ppl   102.83
| epoch   4 |  9500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.65 | ppl   104.33
| epoch   4 | 10000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.62 | ppl   101.48
