Vocabulary Size:  27710
Total number of model parameters: 25.31M
| epoch   1 |   500/15983 batches | lr 15.00 | ms/batch  7.01 | loss  6.98 | ppl  1077.68
| epoch   1 |  1000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  6.10 | ppl   446.23
| epoch   1 |  1500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.88 | ppl   357.05
| epoch   1 |  2000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.66 | ppl   286.68
| epoch   1 |  2500/15983 batches | lr 15.00 | ms/batch  6.93 | loss  5.51 | ppl   247.07
| epoch   1 |  3000/15983 batches | lr 15.00 | ms/batch  6.93 | loss  5.48 | ppl   240.09
| epoch   1 |  3500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.43 | ppl   227.58
| epoch   1 |  4000/15983 batches | lr 15.00 | ms/batch  6.93 | loss  5.39 | ppl   218.90
| epoch   1 |  4500/15983 batches | lr 15.00 | ms/batch  6.93 | loss  5.34 | ppl   208.17
| epoch   1 |  5000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.29 | ppl   198.90
| epoch   1 |  5500/15983 batches | lr 15.00 | ms/batch  6.93 | loss  5.24 | ppl   188.02
| epoch   1 |  6000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.22 | ppl   185.72
| epoch   1 |  6500/15983 batches | lr 15.00 | ms/batch  6.93 | loss  5.16 | ppl   174.38
| epoch   1 |  7000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.16 | ppl   173.48
| epoch   1 |  7500/15983 batches | lr 15.00 | ms/batch  6.93 | loss  5.10 | ppl   164.22
| epoch   1 |  8000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.16 | ppl   173.88
| epoch   1 |  8500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.07 | ppl   159.69
| epoch   1 |  9000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.02 | ppl   151.27
| epoch   1 |  9500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.02 | ppl   150.95
| epoch   1 | 10000/15983 batches | lr 15.00 | ms/batch  6.93 | loss  4.99 | ppl   146.52
| epoch   1 | 10500/15983 batches | lr 15.00 | ms/batch  6.93 | loss  5.02 | ppl   152.12
| epoch   1 | 11000/15983 batches | lr 15.00 | ms/batch  6.93 | loss  5.02 | ppl   151.54
| epoch   1 | 11500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  4.98 | ppl   145.29
| epoch   1 | 12000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  4.96 | ppl   142.94
| epoch   1 | 12500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  4.91 | ppl   136.00
| epoch   1 | 13000/15983 batches | lr 15.00 | ms/batch  6.93 | loss  4.93 | ppl   138.79
| epoch   1 | 13500/15983 batches | lr 15.00 | ms/batch  6.93 | loss  4.95 | ppl   141.54
| epoch   1 | 14000/15983 batches | lr 15.00 | ms/batch  6.93 | loss  4.96 | ppl   142.18
| epoch   1 | 14500/15983 batches | lr 15.00 | ms/batch  6.93 | loss  4.89 | ppl   132.65
| epoch   1 | 15000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  4.88 | ppl   131.57
| epoch   1 | 15500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  4.88 | ppl   131.29
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 111.51s | valid loss  5.10 | valid ppl   163.61
-----------------------------------------------------------------------------------------
