Vocabulary Size:  27710
Total number of model parameters: 25.31M
| epoch   1 |   500/15983 batches | lr 15.00 | ms/batch  7.00 | loss  7.08 | ppl  1189.74
| epoch   1 |  1000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  6.38 | ppl   590.16
| epoch   1 |  1500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  6.02 | ppl   411.25
| epoch   1 |  2000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.79 | ppl   326.30
| epoch   1 |  2500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.64 | ppl   280.67
| epoch   1 |  3000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.61 | ppl   273.55
| epoch   1 |  3500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.56 | ppl   260.77
| epoch   1 |  4000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.52 | ppl   249.32
| epoch   1 |  4500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.47 | ppl   238.21
| epoch   1 |  5000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.43 | ppl   227.30
| epoch   1 |  5500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.37 | ppl   214.64
| epoch   1 |  6000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.36 | ppl   213.32
| epoch   1 |  6500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.30 | ppl   200.89
| epoch   1 |  7000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.30 | ppl   200.26
| epoch   1 |  7500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.24 | ppl   189.26
| epoch   1 |  8000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.30 | ppl   201.34
| epoch   1 |  8500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.22 | ppl   184.81
| epoch   1 |  9000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.17 | ppl   175.49
| epoch   1 |  9500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.16 | ppl   174.53
| epoch   1 | 10000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.14 | ppl   170.95
| epoch   1 | 10500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.17 | ppl   176.49
| epoch   1 | 11000/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.17 | ppl   175.60
| epoch   1 | 11500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  5.13 | ppl   169.32
| epoch   1 | 12000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.11 | ppl   166.39
| epoch   1 | 12500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.07 | ppl   158.62
| epoch   1 | 13000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.08 | ppl   161.55
| epoch   1 | 13500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.11 | ppl   164.92
| epoch   1 | 14000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.12 | ppl   166.94
| epoch   1 | 14500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.04 | ppl   154.33
| epoch   1 | 15000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.03 | ppl   152.23
| epoch   1 | 15500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.03 | ppl   153.61
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 111.69s | valid loss  5.11 | valid ppl   166.47
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 15.00 | ms/batch  6.97 | loss  5.07 | ppl   158.74
| epoch   2 |  1000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.07 | ppl   158.56
| epoch   2 |  1500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.08 | ppl   160.82
| epoch   2 |  2000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.00 | ppl   148.19
| epoch   2 |  2500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.97 | ppl   144.01
| epoch   2 |  3000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.01 | ppl   149.85
| epoch   2 |  3500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.02 | ppl   151.25
| epoch   2 |  4000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.01 | ppl   149.88
| epoch   2 |  4500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.01 | ppl   150.36
| epoch   2 |  5000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.01 | ppl   150.36
| epoch   2 |  5500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.00 | ppl   147.95
| epoch   2 |  6000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.00 | ppl   149.14
| epoch   2 |  6500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.96 | ppl   143.00
| epoch   2 |  7000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.97 | ppl   144.68
| epoch   2 |  7500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.94 | ppl   139.63
| epoch   2 |  8000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  5.01 | ppl   149.63
| epoch   2 |  8500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.95 | ppl   140.89
| epoch   2 |  9000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.91 | ppl   135.08
| epoch   2 |  9500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.92 | ppl   136.76
| epoch   2 | 10000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.90 | ppl   134.03
| epoch   2 | 10500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.94 | ppl   140.11
| epoch   2 | 11000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.95 | ppl   141.01
| epoch   2 | 11500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.91 | ppl   136.24
| epoch   2 | 12000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.91 | ppl   135.91
| epoch   2 | 12500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.87 | ppl   129.89
| epoch   2 | 13000/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.89 | ppl   133.23
| epoch   2 | 13500/15983 batches | lr 15.00 | ms/batch  6.95 | loss  4.91 | ppl   136.15
