Vocabulary Size:  27710
Total number of model parameters: 18.10M
| epoch   1 |   500/15983 batches | lr 2.00 | ms/batch  5.00 | loss  7.79 | ppl  2427.74
| epoch   1 |  1000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  6.71 | ppl   817.40
| epoch   1 |  1500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  6.46 | ppl   639.74
| epoch   1 |  2000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  6.21 | ppl   497.29
| epoch   1 |  2500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  6.02 | ppl   410.17
| epoch   1 |  3000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  6.02 | ppl   409.90
| epoch   1 |  3500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.96 | ppl   389.46
| epoch   1 |  4000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.94 | ppl   380.08
| epoch   1 |  4500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.90 | ppl   365.45
| epoch   1 |  5000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.86 | ppl   350.68
| epoch   1 |  5500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.79 | ppl   326.60
| epoch   1 |  6000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.77 | ppl   321.42
| epoch   1 |  6500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.69 | ppl   295.17
| epoch   1 |  7000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.70 | ppl   297.80
| epoch   1 |  7500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.62 | ppl   277.16
| epoch   1 |  8000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.68 | ppl   293.56
| epoch   1 |  8500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.59 | ppl   267.51
| epoch   1 |  9000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.54 | ppl   254.84
| epoch   1 |  9500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.53 | ppl   250.95
| epoch   1 | 10000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.52 | ppl   248.51
| epoch   1 | 10500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.53 | ppl   251.65
| epoch   1 | 11000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.52 | ppl   249.67
| epoch   1 | 11500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.48 | ppl   240.93
| epoch   1 | 12000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.44 | ppl   230.44
| epoch   1 | 12500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.40 | ppl   221.28
| epoch   1 | 13000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.42 | ppl   224.90
| epoch   1 | 13500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.44 | ppl   230.37
| epoch   1 | 14000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.46 | ppl   235.16
| epoch   1 | 14500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.35 | ppl   210.65
| epoch   1 | 15000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.32 | ppl   205.26
| epoch   1 | 15500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.35 | ppl   211.04
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 78.92s | valid loss  5.45 | valid ppl   233.86
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 2.00 | ms/batch  4.93 | loss  5.39 | ppl   218.82
