Vocabulary Size:  27710
Total number of model parameters: 18.10M
| epoch   1 |   500/15983 batches | lr 2.00 | ms/batch  5.02 | loss 12.43 | ppl 249356.42
| epoch   1 |  1000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  6.43 | ppl   620.70
| epoch   1 |  1500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  6.20 | ppl   492.68
| epoch   1 |  2000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.98 | ppl   395.99
| epoch   1 |  2500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.80 | ppl   331.39
| epoch   1 |  3000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.81 | ppl   335.14
| epoch   1 |  3500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.77 | ppl   321.55
| epoch   1 |  4000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.75 | ppl   315.09
| epoch   1 |  4500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.72 | ppl   303.44
| epoch   1 |  5000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.67 | ppl   290.71
| epoch   1 |  5500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.61 | ppl   273.27
| epoch   1 |  6000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.60 | ppl   270.29
| epoch   1 |  6500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.52 | ppl   250.67
| epoch   1 |  7000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.53 | ppl   251.24
| epoch   1 |  7500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.46 | ppl   234.96
| epoch   1 |  8000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.53 | ppl   251.63
| epoch   1 |  8500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.44 | ppl   229.96
| epoch   1 |  9000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.39 | ppl   218.74
| epoch   1 |  9500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.37 | ppl   215.34
| epoch   1 | 10000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.36 | ppl   213.53
| epoch   1 | 10500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.39 | ppl   218.88
| epoch   1 | 11000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.39 | ppl   218.18
| epoch   1 | 11500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.34 | ppl   208.96
| epoch   1 | 12000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.31 | ppl   202.70
| epoch   1 | 12500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.27 | ppl   195.00
| epoch   1 | 13000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.28 | ppl   196.84
| epoch   1 | 13500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.31 | ppl   202.24
| epoch   1 | 14000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.33 | ppl   205.50
| epoch   1 | 14500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.23 | ppl   186.36
| epoch   1 | 15000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.22 | ppl   184.13
| epoch   1 | 15500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.23 | ppl   187.42
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 78.98s | valid loss  5.37 | valid ppl   214.57
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.27 | ppl   194.30
| epoch   2 |  1000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.26 | ppl   193.15
| epoch   2 |  1500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.31 | ppl   202.86
| epoch   2 |  2000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.22 | ppl   184.93
| epoch   2 |  2500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.15 | ppl   173.13
| epoch   2 |  3000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.22 | ppl   184.44
| epoch   2 |  3500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.23 | ppl   186.64
| epoch   2 |  4000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.23 | ppl   187.21
| epoch   2 |  4500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.23 | ppl   187.30
| epoch   2 |  5000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.22 | ppl   185.82
| epoch   2 |  5500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.23 | ppl   186.12
| epoch   2 |  6000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.23 | ppl   185.97
| epoch   2 |  6500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.17 | ppl   175.92
