Vocabulary Size:  27710
Total number of model parameters: 18.10M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  8.68 | loss  7.76 | ppl  2341.92
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  6.31 | loss  6.88 | ppl   968.97
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  8.28 | loss  6.67 | ppl   787.53
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  6.34 | loss  6.43 | ppl   617.81
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  7.64 | loss  6.22 | ppl   502.19
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  6.95 | loss  6.21 | ppl   499.74
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  7.92 | loss  6.16 | ppl   474.98
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  7.76 | loss  6.14 | ppl   465.71
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  5.26 | loss  6.10 | ppl   447.88
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  6.43 | loss  6.06 | ppl   429.29
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  8.29 | loss  5.99 | ppl   400.87
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  6.96 | loss  5.98 | ppl   395.31
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  7.84 | loss  5.89 | ppl   362.12
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  7.32 | loss  5.91 | ppl   366.89
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch 10.74 | loss  5.84 | ppl   343.27
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  7.07 | loss  5.89 | ppl   362.28
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  7.15 | loss  5.80 | ppl   330.43
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  7.30 | loss  5.75 | ppl   315.21
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  7.21 | loss  5.75 | ppl   312.71
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  6.69 | loss  5.74 | ppl   311.08
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  7.54 | loss  5.74 | ppl   310.94
