Vocabulary Size:  27710
Total number of model parameters: 38.92M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  6.21 | loss  7.18 | ppl  1313.10
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  6.71 | ppl   820.88
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  6.52 | ppl   676.74
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.27 | ppl   526.40
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  6.08 | ppl   439.17
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  6.09 | ppl   443.50
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  6.06 | ppl   427.35
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  6.04 | ppl   421.25
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  6.01 | ppl   406.17
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.97 | ppl   392.35
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.91 | ppl   367.79
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.89 | ppl   363.14
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.82 | ppl   335.81
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.83 | ppl   339.63
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.76 | ppl   317.70
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.82 | ppl   336.08
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.73 | ppl   308.40
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.68 | ppl   293.94
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.68 | ppl   292.48
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.67 | ppl   290.93
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.68 | ppl   292.63
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.67 | ppl   289.25
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.64 | ppl   281.02
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.59 | ppl   267.59
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.55 | ppl   258.20
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.58 | ppl   263.79
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.59 | ppl   268.47
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.61 | ppl   273.10
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.50 | ppl   245.38
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.48 | ppl   239.39
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.51 | ppl   246.80
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 98.62s | valid loss  5.61 | valid ppl   273.71
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.56 | ppl   258.78
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.54 | ppl   254.54
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.59 | ppl   268.59
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.49 | ppl   243.24
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.42 | ppl   225.98
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.49 | ppl   241.79
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.50 | ppl   245.20
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.52 | ppl   249.56
| epoch   2 |  4500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.52 | ppl   248.55
| epoch   2 |  5000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.52 | ppl   248.69
| epoch   2 |  5500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.48 | ppl   240.20
| epoch   2 |  6000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.50 | ppl   245.22
| epoch   2 |  6500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.45 | ppl   232.74
| epoch   2 |  7000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.45 | ppl   233.86
| epoch   2 |  7500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.41 | ppl   223.34
| epoch   2 |  8000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.49 | ppl   241.31
| epoch   2 |  8500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.41 | ppl   223.58
| epoch   2 |  9000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.36 | ppl   213.24
| epoch   2 |  9500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.37 | ppl   215.56
| epoch   2 | 10000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.37 | ppl   214.80
| epoch   2 | 10500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.40 | ppl   221.18
| epoch   2 | 11000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.40 | ppl   221.97
| epoch   2 | 11500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.37 | ppl   214.36
| epoch   2 | 12000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.34 | ppl   209.35
| epoch   2 | 12500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.31 | ppl   202.06
| epoch   2 | 13000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.33 | ppl   206.64
| epoch   2 | 13500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.35 | ppl   211.07
| epoch   2 | 14000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.38 | ppl   217.46
| epoch   2 | 14500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.28 | ppl   197.34
| epoch   2 | 15000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.27 | ppl   194.47
| epoch   2 | 15500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.29 | ppl   198.59
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 98.44s | valid loss  5.44 | valid ppl   230.77
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.35 | ppl   210.07
| epoch   3 |  1000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.34 | ppl   208.65
| epoch   3 |  1500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.39 | ppl   218.45
| epoch   3 |  2000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.30 | ppl   200.36
| epoch   3 |  2500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.24 | ppl   188.69
| epoch   3 |  3000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.31 | ppl   202.03
| epoch   3 |  3500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.33 | ppl   205.70
| epoch   3 |  4000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.34 | ppl   208.02
| epoch   3 |  4500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.35 | ppl   210.00
| epoch   3 |  5000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.35 | ppl   209.97
| epoch   3 |  5500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.32 | ppl   204.66
| epoch   3 |  6000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.34 | ppl   209.03
| epoch   3 |  6500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.29 | ppl   198.28
| epoch   3 |  7000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.30 | ppl   200.60
| epoch   3 |  7500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.26 | ppl   192.40
| epoch   3 |  8000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.34 | ppl   209.33
| epoch   3 |  8500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.27 | ppl   195.22
| epoch   3 |  9000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.22 | ppl   185.37
| epoch   3 |  9500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.24 | ppl   189.32
| epoch   3 | 10000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.24 | ppl   189.15
| epoch   3 | 10500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.27 | ppl   195.39
| epoch   3 | 11000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.29 | ppl   198.98
| epoch   3 | 11500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.26 | ppl   191.97
| epoch   3 | 12000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.24 | ppl   189.11
| epoch   3 | 12500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.20 | ppl   181.56
| epoch   3 | 13000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.23 | ppl   186.84
| epoch   3 | 13500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.25 | ppl   190.27
| epoch   3 | 14000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.27 | ppl   195.22
| epoch   3 | 14500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.18 | ppl   176.88
| epoch   3 | 15000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.17 | ppl   175.10
| epoch   3 | 15500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.19 | ppl   179.05
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 98.68s | valid loss  5.38 | valid ppl   217.20
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.25 | ppl   189.97
| epoch   4 |  1000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.24 | ppl   189.17
| epoch   4 |  1500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.28 | ppl   197.08
| epoch   4 |  2000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.19 | ppl   180.24
| epoch   4 |  2500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.14 | ppl   171.42
| epoch   4 |  3000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.21 | ppl   183.77
| epoch   4 |  3500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.23 | ppl   185.98
| epoch   4 |  4000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.24 | ppl   187.90
| epoch   4 |  4500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.24 | ppl   189.47
| epoch   4 |  5000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.25 | ppl   190.89
| epoch   4 |  5500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.24 | ppl   188.10
| epoch   4 |  6000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.25 | ppl   190.57
| epoch   4 |  6500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.19 | ppl   180.29
| epoch   4 |  7000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.21 | ppl   182.46
| epoch   4 |  7500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.17 | ppl   175.64
| epoch   4 |  8000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.25 | ppl   191.47
| epoch   4 |  8500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.18 | ppl   178.06
| epoch   4 |  9000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.13 | ppl   169.51
| epoch   4 |  9500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.15 | ppl   172.13
| epoch   4 | 10000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.14 | ppl   170.68
| epoch   4 | 10500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.18 | ppl   177.73
| epoch   4 | 11000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.19 | ppl   179.87
| epoch   4 | 11500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.15 | ppl   173.07
| epoch   4 | 12000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.15 | ppl   172.02
| epoch   4 | 12500/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.11 | ppl   165.09
| epoch   4 | 13000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.13 | ppl   169.46
| epoch   4 | 13500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.15 | ppl   172.10
| epoch   4 | 14000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.18 | ppl   177.05
| epoch   4 | 14500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.09 | ppl   162.81
| epoch   4 | 15000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.08 | ppl   160.88
| epoch   4 | 15500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.10 | ppl   163.24
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 98.57s | valid loss  5.31 | valid ppl   202.15
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 1.00 | ms/batch  6.16 | loss  5.15 | ppl   172.91
| epoch   5 |  1000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.16 | ppl   174.51
| epoch   5 |  1500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.20 | ppl   180.50
| epoch   5 |  2000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.12 | ppl   166.64
| epoch   5 |  2500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.07 | ppl   158.94
| epoch   5 |  3000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.13 | ppl   168.87
| epoch   5 |  3500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.15 | ppl   171.69
| epoch   5 |  4000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.15 | ppl   171.93
| epoch   5 |  4500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.16 | ppl   174.79
| epoch   5 |  5000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.17 | ppl   175.37
| epoch   5 |  5500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.15 | ppl   173.14
| epoch   5 |  6000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.18 | ppl   177.50
| epoch   5 |  6500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.12 | ppl   167.67
| epoch   5 |  7000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.13 | ppl   169.43
| epoch   5 |  7500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.10 | ppl   163.59
| epoch   5 |  8000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.18 | ppl   177.09
| epoch   5 |  8500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.11 | ppl   165.52
| epoch   5 |  9000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.06 | ppl   158.38
| epoch   5 |  9500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.08 | ppl   161.17
| epoch   5 | 10000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.07 | ppl   159.66
| epoch   5 | 10500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.11 | ppl   165.70
| epoch   5 | 11000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.13 | ppl   168.39
| epoch   5 | 11500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.09 | ppl   163.16
| epoch   5 | 12000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.09 | ppl   162.47
| epoch   5 | 12500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.05 | ppl   155.42
| epoch   5 | 13000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.07 | ppl   158.55
| epoch   5 | 13500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.08 | ppl   161.52
| epoch   5 | 14000/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.11 | ppl   165.55
| epoch   5 | 14500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.04 | ppl   153.80
| epoch   5 | 15000/15983 batches | lr 1.00 | ms/batch  6.12 | loss  5.02 | ppl   151.39
| epoch   5 | 15500/15983 batches | lr 1.00 | ms/batch  6.13 | loss  5.03 | ppl   153.63
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 98.73s | valid loss  5.27 | valid ppl   193.94
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 1.00 | ms/batch  6.16 | loss  5.09 | ppl   162.41
| epoch   6 |  1000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.09 | ppl   162.77
| epoch   6 |  1500/15983 batches | lr 1.00 | ms/batch  6.16 | loss  5.13 | ppl   168.45
| epoch   6 |  2000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.05 | ppl   156.52
| epoch   6 |  2500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.01 | ppl   150.04
| epoch   6 |  3000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.07 | ppl   158.86
| epoch   6 |  3500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.09 | ppl   161.65
| epoch   6 |  4000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.09 | ppl   162.05
| epoch   6 |  4500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.10 | ppl   164.14
| epoch   6 |  5000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.11 | ppl   165.69
| epoch   6 |  5500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.10 | ppl   163.82
| epoch   6 |  6000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.12 | ppl   167.65
| epoch   6 |  6500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.06 | ppl   158.18
| epoch   6 |  7000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.08 | ppl   160.27
| epoch   6 |  7500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.05 | ppl   155.87
| epoch   6 |  8000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.12 | ppl   167.75
| epoch   6 |  8500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.05 | ppl   156.64
| epoch   6 |  9000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.01 | ppl   149.73
| epoch   6 |  9500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.02 | ppl   152.00
| epoch   6 | 10000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.02 | ppl   150.89
| epoch   6 | 10500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.06 | ppl   156.97
| epoch   6 | 11000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.07 | ppl   159.22
| epoch   6 | 11500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.04 | ppl   154.09
| epoch   6 | 12000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.04 | ppl   154.22
| epoch   6 | 12500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  4.99 | ppl   147.48
| epoch   6 | 13000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.02 | ppl   150.69
| epoch   6 | 13500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.03 | ppl   153.17
| epoch   6 | 14000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.06 | ppl   157.96
| epoch   6 | 14500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  4.99 | ppl   147.12
| epoch   6 | 15000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  4.98 | ppl   145.12
| epoch   6 | 15500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  4.98 | ppl   146.16
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 98.81s | valid loss  5.38 | valid ppl   217.85
-----------------------------------------------------------------------------------------
| epoch   7 |   500/15983 batches | lr 0.25 | ms/batch  6.15 | loss  5.04 | ppl   154.11
| epoch   7 |  1000/15983 batches | lr 0.25 | ms/batch  6.14 | loss  5.04 | ppl   153.88
| epoch   7 |  1500/15983 batches | lr 0.25 | ms/batch  6.14 | loss  5.07 | ppl   159.44
| epoch   7 |  2000/15983 batches | lr 0.25 | ms/batch  6.14 | loss  4.99 | ppl   147.03
| epoch   7 |  2500/15983 batches | lr 0.25 | ms/batch  6.14 | loss  4.94 | ppl   140.46
| epoch   7 |  3000/15983 batches | lr 0.25 | ms/batch  6.14 | loss  5.00 | ppl   149.02
| epoch   7 |  3500/15983 batches | lr 0.25 | ms/batch  6.14 | loss  5.01 | ppl   150.55
| epoch   7 |  4000/15983 batches | lr 0.25 | ms/batch  6.14 | loss  5.02 | ppl   150.78
| epoch   7 |  4500/15983 batches | lr 0.25 | ms/batch  6.14 | loss  5.03 | ppl   152.61
| epoch   7 |  5000/15983 batches | lr 0.25 | ms/batch  6.14 | loss  5.04 | ppl   154.45
| epoch   7 |  5500/15983 batches | lr 0.25 | ms/batch  6.14 | loss  5.03 | ppl   152.25
| epoch   7 |  6000/15983 batches | lr 0.25 | ms/batch  6.14 | loss  5.05 | ppl   156.38
| epoch   7 |  6500/15983 batches | lr 0.25 | ms/batch  6.14 | loss  4.99 | ppl   147.50
| epoch   7 |  7000/15983 batches | lr 0.25 | ms/batch  6.13 | loss  5.00 | ppl   149.14
| epoch   7 |  7500/15983 batches | lr 0.25 | ms/batch  6.14 | loss  4.97 | ppl   144.56
| epoch   7 |  8000/15983 batches | lr 0.25 | ms/batch  6.14 | loss  5.05 | ppl   156.28
| epoch   7 |  8500/15983 batches | lr 0.25 | ms/batch  6.14 | loss  4.98 | ppl   146.10
| epoch   7 |  9000/15983 batches | lr 0.25 | ms/batch  6.14 | loss  4.94 | ppl   139.35
| epoch   7 |  9500/15983 batches | lr 0.25 | ms/batch  6.14 | loss  4.95 | ppl   141.87
| epoch   7 | 10000/15983 batches | lr 0.25 | ms/batch  6.14 | loss  4.95 | ppl   140.96
