Vocabulary Size:  27710
Total number of model parameters: 38.92M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  6.22 | loss  7.23 | ppl  1375.21
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.68 | ppl   794.59
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.47 | ppl   643.11
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.25 | ppl   518.31
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.09 | ppl   439.55
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.11 | ppl   448.83
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.08 | ppl   435.30
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.07 | ppl   432.84
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  6.04 | ppl   419.56
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  6.01 | ppl   407.70
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.95 | ppl   382.59
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.94 | ppl   380.26
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.87 | ppl   352.61
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.88 | ppl   356.81
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.82 | ppl   336.91
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.88 | ppl   356.21
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.79 | ppl   326.33
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.74 | ppl   312.35
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.74 | ppl   311.93
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.74 | ppl   310.75
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.75 | ppl   313.31
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.73 | ppl   308.86
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.71 | ppl   300.92
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.66 | ppl   288.51
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.63 | ppl   278.44
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.66 | ppl   285.87
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch  6.14 | loss  5.68 | ppl   292.10
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch  6.16 | loss  5.70 | ppl   298.33
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.58 | ppl   265.40
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.56 | ppl   259.24
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.59 | ppl   268.65
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 98.83s | valid loss  5.63 | valid ppl   279.04
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch  6.17 | loss  5.65 | ppl   283.58
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.64 | ppl   281.77
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.70 | ppl   297.75
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.59 | ppl   267.83
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.51 | ppl   247.07
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.59 | ppl   268.45
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.60 | ppl   271.25
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.62 | ppl   276.34
