Vocabulary Size:  27710
Total number of model parameters: 42.42M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  9.89 | loss  7.14 | ppl  1260.13
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  6.36 | ppl   575.67
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  6.16 | ppl   474.70
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.95 | ppl   384.17
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.79 | ppl   325.53
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.81 | ppl   332.25
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.77 | ppl   320.07
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.76 | ppl   315.98
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.73 | ppl   306.71
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.69 | ppl   297.16
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.63 | ppl   279.52
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.63 | ppl   277.69
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.56 | ppl   259.04
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.57 | ppl   262.23
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.50 | ppl   245.48
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.57 | ppl   261.52
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.48 | ppl   239.03
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.43 | ppl   227.53
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.42 | ppl   226.38
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.42 | ppl   225.40
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.44 | ppl   229.88
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.43 | ppl   228.44
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.39 | ppl   218.82
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.36 | ppl   211.94
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.31 | ppl   203.30
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.34 | ppl   207.71
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.36 | ppl   213.04
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.38 | ppl   216.23
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.28 | ppl   195.67
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.25 | ppl   191.34
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.28 | ppl   195.42
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 138.44s | valid loss  5.37 | valid ppl   214.85
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch  8.62 | loss  5.31 | ppl   203.36
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.32 | ppl   203.62
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.36 | ppl   211.76
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.26 | ppl   192.64
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.19 | ppl   179.90
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.26 | ppl   192.05
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.27 | ppl   194.53
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.27 | ppl   194.24
| epoch   2 |  4500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.28 | ppl   195.99
| epoch   2 |  5000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.27 | ppl   194.64
| epoch   2 |  5500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.25 | ppl   190.78
| epoch   2 |  6000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.27 | ppl   193.63
| epoch   2 |  6500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.21 | ppl   183.51
| epoch   2 |  7000/15983 batches | lr 1.00 | ms/batch  8.54 | loss  5.23 | ppl   185.99
| epoch   2 |  7500/15983 batches | lr 1.00 | ms/batch  8.54 | loss  5.18 | ppl   177.95
| epoch   2 |  8000/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.26 | ppl   191.62
| epoch   2 |  8500/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.18 | ppl   177.84
| epoch   2 |  9000/15983 batches | lr 1.00 | ms/batch  8.54 | loss  5.13 | ppl   169.59
| epoch   2 |  9500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.15 | ppl   172.03
| epoch   2 | 10000/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.14 | ppl   171.42
| epoch   2 | 10500/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.18 | ppl   178.08
| epoch   2 | 11000/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.19 | ppl   178.86
| epoch   2 | 11500/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.14 | ppl   171.39
| epoch   2 | 12000/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.13 | ppl   168.58
| epoch   2 | 12500/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.09 | ppl   162.20
| epoch   2 | 13000/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.11 | ppl   166.27
| epoch   2 | 13500/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.14 | ppl   169.95
| epoch   2 | 14000/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.16 | ppl   173.66
| epoch   2 | 14500/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.08 | ppl   160.50
| epoch   2 | 15000/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.06 | ppl   158.19
| epoch   2 | 15500/15983 batches | lr 1.00 | ms/batch  8.53 | loss  5.08 | ppl   160.44
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 137.47s | valid loss  5.23 | valid ppl   186.82
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 1.00 | ms/batch  8.61 | loss  5.12 | ppl   167.50
| epoch   3 |  1000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.13 | ppl   169.07
| epoch   3 |  1500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.16 | ppl   174.10
| epoch   3 |  2000/15983 batches | lr 1.00 | ms/batch  8.61 | loss  5.08 | ppl   161.08
| epoch   3 |  2500/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.03 | ppl   153.23
| epoch   3 |  3000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.09 | ppl   163.01
| epoch   3 |  3500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.10 | ppl   164.60
| epoch   3 |  4000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.10 | ppl   164.04
| epoch   3 |  4500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.11 | ppl   165.77
| epoch   3 |  5000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.11 | ppl   166.20
| epoch   3 |  5500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.10 | ppl   163.77
| epoch   3 |  6000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.11 | ppl   166.25
| epoch   3 |  6500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.06 | ppl   157.92
| epoch   3 |  7000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.08 | ppl   160.36
| epoch   3 |  7500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.04 | ppl   153.97
| epoch   3 |  8000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.11 | ppl   165.69
| epoch   3 |  8500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.04 | ppl   154.99
