Vocabulary Size:  27710
Total number of model parameters: 42.42M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch 19.33 | loss  7.19 | ppl  1320.00
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch 16.60 | loss  6.56 | ppl   705.04
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch 16.61 | loss  6.36 | ppl   580.77
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch 16.60 | loss  6.16 | ppl   472.20
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch 16.60 | loss  5.98 | ppl   397.07
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch 16.60 | loss  6.00 | ppl   404.72
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.96 | ppl   388.31
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch 16.60 | loss  5.95 | ppl   384.48
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch 16.60 | loss  5.92 | ppl   372.40
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch 16.03 | loss  5.89 | ppl   360.79
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.82 | ppl   336.97
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.81 | ppl   334.77
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.74 | ppl   310.10
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch 16.60 | loss  5.75 | ppl   314.83
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.69 | ppl   294.98
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.75 | ppl   313.22
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch 16.60 | loss  5.66 | ppl   286.11
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.61 | ppl   272.81
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.61 | ppl   272.71
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.61 | ppl   272.38
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch 16.60 | loss  5.61 | ppl   274.11
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch 16.60 | loss  5.60 | ppl   271.75
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.57 | ppl   262.35
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch 16.60 | loss  5.53 | ppl   250.90
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch 16.60 | loss  5.49 | ppl   241.80
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch 16.60 | loss  5.52 | ppl   248.40
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.54 | ppl   254.46
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch 16.60 | loss  5.56 | ppl   259.41
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.45 | ppl   232.27
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.42 | ppl   225.87
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch 16.61 | loss  5.45 | ppl   232.48
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 267.81s | valid loss  5.50 | valid ppl   244.62
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch 16.65 | loss  5.50 | ppl   243.98
