Vocabulary Size:  27710
Total number of model parameters: 42.42M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  9.86 | loss  7.19 | ppl  1330.44
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  6.56 | ppl   707.85
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  6.37 | ppl   583.18
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  6.16 | ppl   473.13
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.99 | ppl   398.36
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  6.01 | ppl   405.83
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.96 | ppl   389.23
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.95 | ppl   384.95
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.92 | ppl   372.25
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  8.61 | loss  5.89 | ppl   360.02
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.82 | ppl   336.19
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.81 | ppl   333.65
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.73 | ppl   308.66
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.75 | ppl   313.31
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.68 | ppl   293.56
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.74 | ppl   311.30
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.65 | ppl   284.16
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.60 | ppl   270.64
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.60 | ppl   270.62
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  8.62 | loss  5.60 | ppl   270.17
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.60 | ppl   271.50
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.60 | ppl   269.46
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.56 | ppl   259.95
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.52 | ppl   248.73
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.48 | ppl   239.19
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.50 | ppl   245.64
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.53 | ppl   251.78
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.55 | ppl   256.79
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.44 | ppl   229.65
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.41 | ppl   223.36
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.44 | ppl   229.55
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 138.74s | valid loss  5.49 | valid ppl   242.96
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch  8.66 | loss  5.48 | ppl   241.05
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch  8.61 | loss  5.49 | ppl   241.65
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch  8.61 | loss  5.54 | ppl   253.90
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch  8.61 | loss  5.44 | ppl   230.20
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.36 | ppl   212.14
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.43 | ppl   227.90
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.44 | ppl   230.87
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.45 | ppl   232.90
| epoch   2 |  4500/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.46 | ppl   235.31
| epoch   2 |  5000/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.45 | ppl   233.42
| epoch   2 |  5500/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.43 | ppl   227.16
| epoch   2 |  6000/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.44 | ppl   230.58
| epoch   2 |  6500/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.38 | ppl   217.74
| epoch   2 |  7000/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.40 | ppl   221.70
| epoch   2 |  7500/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.35 | ppl   211.63
| epoch   2 |  8000/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.43 | ppl   228.23
| epoch   2 |  8500/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.35 | ppl   210.95
| epoch   2 |  9000/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.31 | ppl   201.94
| epoch   2 |  9500/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.32 | ppl   204.61
| epoch   2 | 10000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.32 | ppl   205.34
| epoch   2 | 10500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.35 | ppl   211.03
| epoch   2 | 11000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.36 | ppl   211.74
| epoch   2 | 11500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.32 | ppl   203.50
| epoch   2 | 12000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.29 | ppl   198.82
| epoch   2 | 12500/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.25 | ppl   191.33
| epoch   2 | 13000/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.28 | ppl   196.55
| epoch   2 | 13500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.31 | ppl   201.75
| epoch   2 | 14000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.33 | ppl   206.93
| epoch   2 | 14500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.24 | ppl   188.36
| epoch   2 | 15000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.22 | ppl   184.89
| epoch   2 | 15500/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.24 | ppl   189.22
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 137.72s | valid loss  5.33 | valid ppl   206.86
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 1.00 | ms/batch  8.62 | loss  5.30 | ppl   199.41
| epoch   3 |  1000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.30 | ppl   201.24
