Vocabulary Size:  27710
Total number of model parameters: 19.54M
| epoch   1 |   500/15983 batches | lr 15.00 | ms/batch  5.41 | loss  6.69 | ppl   805.69
| epoch   1 |  1000/15983 batches | lr 15.00 | ms/batch  5.30 | loss  5.90 | ppl   364.12
| epoch   1 |  1500/15983 batches | lr 15.00 | ms/batch  5.30 | loss  5.68 | ppl   293.04
| epoch   1 |  2000/15983 batches | lr 15.00 | ms/batch  5.30 | loss  5.48 | ppl   238.84
| epoch   1 |  2500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.36 | ppl   212.82
| epoch   1 |  3000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.35 | ppl   211.30
| epoch   1 |  3500/15983 batches | lr 15.00 | ms/batch  5.30 | loss  5.32 | ppl   204.48
| epoch   1 |  4000/15983 batches | lr 15.00 | ms/batch  5.30 | loss  5.30 | ppl   199.44
| epoch   1 |  4500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.26 | ppl   192.87
| epoch   1 |  5000/15983 batches | lr 15.00 | ms/batch  5.30 | loss  5.23 | ppl   186.92
| epoch   1 |  5500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.18 | ppl   178.41
| epoch   1 |  6000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.18 | ppl   177.26
| epoch   1 |  6500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.12 | ppl   166.97
| epoch   1 |  7000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.12 | ppl   166.77
| epoch   1 |  7500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.07 | ppl   158.47
| epoch   1 |  8000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.13 | ppl   168.55
| epoch   1 |  8500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.06 | ppl   156.86
| epoch   1 |  9000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.00 | ppl   148.30
| epoch   1 |  9500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.00 | ppl   148.46
| epoch   1 | 10000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.97 | ppl   144.33
| epoch   1 | 10500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.02 | ppl   150.76
| epoch   1 | 11000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  5.01 | ppl   150.49
| epoch   1 | 11500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.98 | ppl   144.81
| epoch   1 | 12000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.97 | ppl   143.34
| epoch   1 | 12500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.92 | ppl   136.72
| epoch   1 | 13000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.94 | ppl   139.54
| epoch   1 | 13500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.96 | ppl   142.03
| epoch   1 | 14000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.97 | ppl   143.96
| epoch   1 | 14500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.91 | ppl   135.35
| epoch   1 | 15000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.90 | ppl   133.82
| epoch   1 | 15500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.89 | ppl   133.60
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 85.05s | valid loss  5.10 | valid ppl   163.67
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 15.00 | ms/batch  5.30 | loss  4.92 | ppl   137.15
| epoch   2 |  1000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.92 | ppl   136.69
| epoch   2 |  1500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.92 | ppl   136.37
| epoch   2 |  2000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.84 | ppl   126.72
| epoch   2 |  2500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.83 | ppl   124.77
| epoch   2 |  3000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.86 | ppl   128.86
| epoch   2 |  3500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.86 | ppl   129.63
| epoch   2 |  4000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.85 | ppl   128.16
| epoch   2 |  4500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.86 | ppl   128.58
| epoch   2 |  5000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.85 | ppl   128.31
| epoch   2 |  5500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.85 | ppl   128.16
| epoch   2 |  6000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.85 | ppl   128.30
| epoch   2 |  6500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.81 | ppl   122.98
| epoch   2 |  7000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.82 | ppl   123.90
| epoch   2 |  7500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.78 | ppl   119.69
| epoch   2 |  8000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.85 | ppl   127.43
| epoch   2 |  8500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.80 | ppl   121.10
| epoch   2 |  9000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.76 | ppl   116.30
| epoch   2 |  9500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.77 | ppl   117.76
| epoch   2 | 10000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.74 | ppl   114.62
| epoch   2 | 10500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.80 | ppl   121.15
| epoch   2 | 11000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.80 | ppl   122.01
| epoch   2 | 11500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.77 | ppl   118.01
| epoch   2 | 12000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.77 | ppl   117.42
| epoch   2 | 12500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.73 | ppl   112.96
| epoch   2 | 13000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.75 | ppl   116.03
| epoch   2 | 13500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.76 | ppl   117.23
| epoch   2 | 14000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.78 | ppl   119.60
| epoch   2 | 14500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.75 | ppl   115.39
| epoch   2 | 15000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.74 | ppl   114.63
| epoch   2 | 15500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.73 | ppl   113.13
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 84.97s | valid loss  5.01 | valid ppl   149.91
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 15.00 | ms/batch  5.30 | loss  4.76 | ppl   116.58
| epoch   3 |  1000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.76 | ppl   116.84
| epoch   3 |  1500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.76 | ppl   116.62
| epoch   3 |  2000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.70 | ppl   109.66
| epoch   3 |  2500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.70 | ppl   109.75
| epoch   3 |  3000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.73 | ppl   113.02
| epoch   3 |  3500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.74 | ppl   114.11
| epoch   3 |  4000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.72 | ppl   111.91
| epoch   3 |  4500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.73 | ppl   112.73
| epoch   3 |  5000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.72 | ppl   112.49
| epoch   3 |  5500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.74 | ppl   114.08
| epoch   3 |  6000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.75 | ppl   115.02
| epoch   3 |  6500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.70 | ppl   110.15
| epoch   3 |  7000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.71 | ppl   110.94
| epoch   3 |  7500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.68 | ppl   107.25
| epoch   3 |  8000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.73 | ppl   113.64
| epoch   3 |  8500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.69 | ppl   108.84
| epoch   3 |  9000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.66 | ppl   105.38
| epoch   3 |  9500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.67 | ppl   106.88
| epoch   3 | 10000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.64 | ppl   103.97
| epoch   3 | 10500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.70 | ppl   110.14
| epoch   3 | 11000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.71 | ppl   111.09
| epoch   3 | 11500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.68 | ppl   107.85
| epoch   3 | 12000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.67 | ppl   107.05
| epoch   3 | 12500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.64 | ppl   103.71
| epoch   3 | 13000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.66 | ppl   106.12
| epoch   3 | 13500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.67 | ppl   106.96
| epoch   3 | 14000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.69 | ppl   109.24
| epoch   3 | 14500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.67 | ppl   106.87
| epoch   3 | 15000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.66 | ppl   106.16
| epoch   3 | 15500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.65 | ppl   104.46
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 84.98s | valid loss  4.98 | valid ppl   145.50
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 15.00 | ms/batch  5.30 | loss  4.68 | ppl   107.32
| epoch   4 |  1000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.68 | ppl   107.39
| epoch   4 |  1500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.67 | ppl   107.11
| epoch   4 |  2000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.62 | ppl   101.01
| epoch   4 |  2500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.62 | ppl   101.83
| epoch   4 |  3000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.65 | ppl   104.99
| epoch   4 |  3500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.66 | ppl   105.81
| epoch   4 |  4000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.64 | ppl   103.56
| epoch   4 |  4500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.65 | ppl   104.53
| epoch   4 |  5000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.65 | ppl   105.00
| epoch   4 |  5500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.67 | ppl   106.89
| epoch   4 |  6000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.68 | ppl   107.67
| epoch   4 |  6500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.64 | ppl   103.41
| epoch   4 |  7000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.64 | ppl   103.48
| epoch   4 |  7500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.61 | ppl   100.62
| epoch   4 |  8000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.66 | ppl   106.15
| epoch   4 |  8500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.62 | ppl   101.90
| epoch   4 |  9000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.60 | ppl    99.26
| epoch   4 |  9500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.61 | ppl   100.90
| epoch   4 | 10000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.79
| epoch   4 | 10500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.64 | ppl   103.97
| epoch   4 | 11000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.65 | ppl   104.36
| epoch   4 | 11500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.62 | ppl   101.70
| epoch   4 | 12000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.62 | ppl   101.18
| epoch   4 | 12500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.59 | ppl    98.27
| epoch   4 | 13000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.61 | ppl   100.58
| epoch   4 | 13500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.62 | ppl   101.16
| epoch   4 | 14000/15983 batches | lr 15.00 | ms/batch  5.28 | loss  4.63 | ppl   102.99
| epoch   4 | 14500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.62 | ppl   101.35
| epoch   4 | 15000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.61 | ppl   100.95
| epoch   4 | 15500/15983 batches | lr 15.00 | ms/batch  5.28 | loss  4.59 | ppl    98.92
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 84.92s | valid loss  4.97 | valid ppl   144.57
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 15.00 | ms/batch  5.30 | loss  4.62 | ppl   101.63
| epoch   5 |  1000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.62 | ppl   101.57
| epoch   5 |  1500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.62 | ppl   101.14
| epoch   5 |  2000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.56 | ppl    95.75
| epoch   5 |  2500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.25
| epoch   5 |  3000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.61 | ppl   100.20
| epoch   5 |  3500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.61 | ppl   100.70
| epoch   5 |  4000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.59 | ppl    98.53
| epoch   5 |  4500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.60 | ppl    99.48
| epoch   5 |  5000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.61 | ppl   100.40
| epoch   5 |  5500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.63 | ppl   102.27
| epoch   5 |  6000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.63 | ppl   102.99
| epoch   5 |  6500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.59 | ppl    98.83
| epoch   5 |  7000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.59 | ppl    98.97
| epoch   5 |  7500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.56 | ppl    95.90
| epoch   5 |  8000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.62 | ppl   101.53
| epoch   5 |  8500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.81
| epoch   5 |  9000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.56 | ppl    95.21
| epoch   5 |  9500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.57 | ppl    96.91
| epoch   5 | 10000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.54 | ppl    93.90
| epoch   5 | 10500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.60 | ppl    99.57
| epoch   5 | 11000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.61 | ppl   100.30
| epoch   5 | 11500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.92
| epoch   5 | 12000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.29
| epoch   5 | 12500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.55 | ppl    94.77
| epoch   5 | 13000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.57 | ppl    96.88
| epoch   5 | 13500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.17
| epoch   5 | 14000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.60 | ppl    99.18
| epoch   5 | 14500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.58
| epoch   5 | 15000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.06
| epoch   5 | 15500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.56 | ppl    95.21
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 84.98s | valid loss  4.96 | valid ppl   142.73
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 15.00 | ms/batch  5.30 | loss  4.58 | ppl    97.82
| epoch   6 |  1000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.68
| epoch   6 |  1500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.18
| epoch   6 |  2000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.52 | ppl    92.19
| epoch   6 |  2500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.54 | ppl    93.84
| epoch   6 |  3000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.57 | ppl    96.48
| epoch   6 |  3500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.19
| epoch   6 |  4000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.55 | ppl    94.91
| epoch   6 |  4500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.56 | ppl    95.91
| epoch   6 |  5000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.20
| epoch   6 |  5500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.60 | ppl    99.34
| epoch   6 |  6000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.60 | ppl    99.68
| epoch   6 |  6500/15983 batches | lr 15.00 | ms/batch  5.30 | loss  4.56 | ppl    95.90
| epoch   6 |  7000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.56 | ppl    95.65
| epoch   6 |  7500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.53 | ppl    92.81
| epoch   6 |  8000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.59 | ppl    98.02
| epoch   6 |  8500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.55 | ppl    94.56
| epoch   6 |  9000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.53 | ppl    92.60
| epoch   6 |  9500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.55 | ppl    94.31
| epoch   6 | 10000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.51 | ppl    91.19
| epoch   6 | 10500/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.57 | ppl    96.70
| epoch   6 | 11000/15983 batches | lr 15.00 | ms/batch  5.29 | loss  4.58 | ppl    97.21
