Vocabulary Size:  27710
Total number of model parameters: 25.31M
| epoch   1 |   500/15983 batches | lr 15.00 | ms/batch  6.93 | loss  7.09 | ppl  1195.08
| epoch   1 |  1000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  6.35 | ppl   574.14
| epoch   1 |  1500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.97 | ppl   390.76
| epoch   1 |  2000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.72 | ppl   304.46
| epoch   1 |  2500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.56 | ppl   259.22
| epoch   1 |  3000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.52 | ppl   249.49
| epoch   1 |  3500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.46 | ppl   234.95
| epoch   1 |  4000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.41 | ppl   223.41
| epoch   1 |  4500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.36 | ppl   212.35
| epoch   1 |  5000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.31 | ppl   201.60
| epoch   1 |  5500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.25 | ppl   189.98
| epoch   1 |  6000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.23 | ppl   187.46
| epoch   1 |  6500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.17 | ppl   175.73
| epoch   1 |  7000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.16 | ppl   174.99
| epoch   1 |  7500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.11 | ppl   165.17
| epoch   1 |  8000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.16 | ppl   174.58
| epoch   1 |  8500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.08 | ppl   161.01
| epoch   1 |  9000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.03 | ppl   152.34
| epoch   1 |  9500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.02 | ppl   151.68
| epoch   1 | 10000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.99 | ppl   147.19
| epoch   1 | 10500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.03 | ppl   152.92
| epoch   1 | 11000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  5.02 | ppl   152.00
| epoch   1 | 11500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.99 | ppl   146.23
| epoch   1 | 12000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.97 | ppl   143.76
| epoch   1 | 12500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.92 | ppl   136.60
| epoch   1 | 13000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.93 | ppl   138.93
| epoch   1 | 13500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.95 | ppl   141.56
| epoch   1 | 14000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.96 | ppl   142.76
| epoch   1 | 14500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.89 | ppl   133.05
| epoch   1 | 15000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.88 | ppl   131.53
| epoch   1 | 15500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.88 | ppl   131.64
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 110.29s | valid loss  5.06 | valid ppl   158.30
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 15.00 | ms/batch  6.87 | loss  4.91 | ppl   135.55
| epoch   2 |  1000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.91 | ppl   135.17
| epoch   2 |  1500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.91 | ppl   135.54
| epoch   2 |  2000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.83 | ppl   125.29
| epoch   2 |  2500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.81 | ppl   123.00
| epoch   2 |  3000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.85 | ppl   127.12
| epoch   2 |  3500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.85 | ppl   127.49
| epoch   2 |  4000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.83 | ppl   125.56
| epoch   2 |  4500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.84 | ppl   126.11
| epoch   2 |  5000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.84 | ppl   125.98
| epoch   2 |  5500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.83 | ppl   124.81
| epoch   2 |  6000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.83 | ppl   124.69
| epoch   2 |  6500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.78 | ppl   119.48
| epoch   2 |  7000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.80 | ppl   120.92
| epoch   2 |  7500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.76 | ppl   116.75
| epoch   2 |  8000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.82 | ppl   124.14
| epoch   2 |  8500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.77 | ppl   117.88
| epoch   2 |  9000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.73 | ppl   113.10
| epoch   2 |  9500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.74 | ppl   114.09
| epoch   2 | 10000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.71 | ppl   110.83
| epoch   2 | 10500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.76 | ppl   116.60
| epoch   2 | 11000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.76 | ppl   117.21
| epoch   2 | 11500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.73 | ppl   113.66
| epoch   2 | 12000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.73 | ppl   112.94
| epoch   2 | 12500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.68 | ppl   107.75
| epoch   2 | 13000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.71 | ppl   110.88
| epoch   2 | 13500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.72 | ppl   112.39
| epoch   2 | 14000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.74 | ppl   114.47
| epoch   2 | 14500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.69 | ppl   109.33
| epoch   2 | 15000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.69 | ppl   108.49
| epoch   2 | 15500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.68 | ppl   107.88
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 110.25s | valid loss  4.94 | valid ppl   139.23
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.71 | ppl   111.31
| epoch   3 |  1000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.72 | ppl   111.70
| epoch   3 |  1500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.72 | ppl   111.65
| epoch   3 |  2000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.66 | ppl   105.44
| epoch   3 |  2500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.65 | ppl   104.65
| epoch   3 |  3000/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.68 | ppl   108.07
| epoch   3 |  3500/15983 batches | lr 15.00 | ms/batch  6.86 | loss  4.69 | ppl   109.09
| epoch   3 |  4000/15983 batches | lr 15.00 | ms/batch  7.00 | loss  4.67 | ppl   106.81
| epoch   3 |  4500/15983 batches | lr 15.00 | ms/batch  7.04 | loss  4.68 | ppl   107.95
| epoch   3 |  5000/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.69 | ppl   108.33
| epoch   3 |  5500/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.69 | ppl   108.71
| epoch   3 |  6000/15983 batches | lr 15.00 | ms/batch  6.87 | loss  4.69 | ppl   108.95
| epoch   3 |  6500/15983 batches | lr 15.00 | ms/batch  6.87 | loss  4.65 | ppl   104.82
| epoch   3 |  7000/15983 batches | lr 15.00 | ms/batch  6.90 | loss  4.66 | ppl   106.10
| epoch   3 |  7500/15983 batches | lr 15.00 | ms/batch  6.90 | loss  4.63 | ppl   102.43
| epoch   3 |  8000/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.69 | ppl   108.77
| epoch   3 |  8500/15983 batches | lr 15.00 | ms/batch  6.89 | loss  4.65 | ppl   104.21
| epoch   3 |  9000/15983 batches | lr 15.00 | ms/batch  6.89 | loss  4.61 | ppl   100.40
| epoch   3 |  9500/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.62 | ppl   101.72
| epoch   3 | 10000/15983 batches | lr 15.00 | ms/batch  6.87 | loss  4.59 | ppl    98.85
| epoch   3 | 10500/15983 batches | lr 15.00 | ms/batch  6.87 | loss  4.65 | ppl   104.15
| epoch   3 | 11000/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.65 | ppl   104.92
| epoch   3 | 11500/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.63 | ppl   102.01
| epoch   3 | 12000/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.62 | ppl   101.39
| epoch   3 | 12500/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.58 | ppl    97.39
| epoch   3 | 13000/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.61 | ppl   100.32
| epoch   3 | 13500/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.62 | ppl   101.54
| epoch   3 | 14000/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.64 | ppl   103.30
| epoch   3 | 14500/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.61 | ppl   100.02
| epoch   3 | 15000/15983 batches | lr 15.00 | ms/batch  6.88 | loss  4.60 | ppl    99.39
| epoch   3 | 15500/15983 batches | lr 15.00 | ms/batch  6.94 | loss  4.59 | ppl    98.24
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 110.72s | valid loss  4.89 | valid ppl   132.41
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 15.00 | ms/batch  6.90 | loss  4.62 | ppl   101.42
| epoch   4 |  1000/15983 batches | lr 15.00 | ms/batch  6.89 | loss  4.62 | ppl   101.40
| epoch   4 |  1500/15983 batches | lr 15.00 | ms/batch  6.89 | loss  4.62 | ppl   101.16
| epoch   4 |  2000/15983 batches | lr 15.00 | ms/batch  6.92 | loss  4.56 | ppl    95.93
| epoch   4 |  2500/15983 batches | lr 15.00 | ms/batch  7.59 | loss  4.57 | ppl    96.29
| epoch   4 |  3000/15983 batches | lr 15.00 | ms/batch 13.91 | loss  4.60 | ppl    99.43
| epoch   4 |  3500/15983 batches | lr 15.00 | ms/batch 15.45 | loss  4.61 | ppl   100.51
| epoch   4 |  4000/15983 batches | lr 15.00 | ms/batch 15.46 | loss  4.58 | ppl    97.89
| epoch   4 |  4500/15983 batches | lr 15.00 | ms/batch 15.51 | loss  4.60 | ppl    99.22
| epoch   4 |  5000/15983 batches | lr 15.00 | ms/batch 15.51 | loss  4.60 | ppl    99.70
| epoch   4 |  5500/15983 batches | lr 15.00 | ms/batch 15.50 | loss  4.61 | ppl   100.85
| epoch   4 |  6000/15983 batches | lr 15.00 | ms/batch 15.51 | loss  4.62 | ppl   101.15
| epoch   4 |  6500/15983 batches | lr 15.00 | ms/batch 15.50 | loss  4.58 | ppl    97.17
| epoch   4 |  7000/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.59 | ppl    98.53
| epoch   4 |  7500/15983 batches | lr 15.00 | ms/batch 15.45 | loss  4.56 | ppl    95.22
| epoch   4 |  8000/15983 batches | lr 15.00 | ms/batch 15.49 | loss  4.62 | ppl   101.20
| epoch   4 |  8500/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.57 | ppl    96.85
| epoch   4 |  9000/15983 batches | lr 15.00 | ms/batch 15.48 | loss  4.54 | ppl    93.92
| epoch   4 |  9500/15983 batches | lr 15.00 | ms/batch 15.45 | loss  4.56 | ppl    95.35
| epoch   4 | 10000/15983 batches | lr 15.00 | ms/batch 15.46 | loss  4.52 | ppl    92.12
| epoch   4 | 10500/15983 batches | lr 15.00 | ms/batch 15.48 | loss  4.58 | ppl    97.49
| epoch   4 | 11000/15983 batches | lr 15.00 | ms/batch 14.02 | loss  4.59 | ppl    98.24
| epoch   4 | 11500/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.56 | ppl    95.49
| epoch   4 | 12000/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.56 | ppl    95.28
| epoch   4 | 12500/15983 batches | lr 15.00 | ms/batch 15.46 | loss  4.52 | ppl    91.65
| epoch   4 | 13000/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.55 | ppl    94.62
| epoch   4 | 13500/15983 batches | lr 15.00 | ms/batch 15.46 | loss  4.56 | ppl    95.40
| epoch   4 | 14000/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.58 | ppl    97.12
| epoch   4 | 14500/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.55 | ppl    94.35
| epoch   4 | 15000/15983 batches | lr 15.00 | ms/batch 15.77 | loss  4.54 | ppl    94.06
| epoch   4 | 15500/15983 batches | lr 15.00 | ms/batch 16.02 | loss  4.53 | ppl    92.66
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 227.01s | valid loss  4.86 | valid ppl   129.17
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 15.00 | ms/batch 16.31 | loss  4.56 | ppl    95.67
| epoch   5 |  1000/15983 batches | lr 15.00 | ms/batch 16.23 | loss  4.56 | ppl    95.47
| epoch   5 |  1500/15983 batches | lr 15.00 | ms/batch 16.25 | loss  4.56 | ppl    95.24
| epoch   5 |  2000/15983 batches | lr 15.00 | ms/batch 16.15 | loss  4.50 | ppl    90.36
| epoch   5 |  2500/15983 batches | lr 15.00 | ms/batch 15.48 | loss  4.51 | ppl    90.99
| epoch   5 |  3000/15983 batches | lr 15.00 | ms/batch 13.73 | loss  4.54 | ppl    94.03
| epoch   5 |  3500/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.56 | ppl    95.23
| epoch   5 |  4000/15983 batches | lr 15.00 | ms/batch 15.48 | loss  4.53 | ppl    92.59
| epoch   5 |  4500/15983 batches | lr 15.00 | ms/batch 15.48 | loss  4.54 | ppl    93.90
| epoch   5 |  5000/15983 batches | lr 15.00 | ms/batch 15.48 | loss  4.55 | ppl    94.92
| epoch   5 |  5500/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.57 | ppl    96.08
| epoch   5 |  6000/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.57 | ppl    96.22
| epoch   5 |  6500/15983 batches | lr 15.00 | ms/batch 15.48 | loss  4.53 | ppl    92.64
| epoch   5 |  7000/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.54 | ppl    93.66
| epoch   5 |  7500/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.51 | ppl    90.64
| epoch   5 |  8000/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.56 | ppl    96.04
| epoch   5 |  8500/15983 batches | lr 15.00 | ms/batch 15.48 | loss  4.52 | ppl    92.29
| epoch   5 |  9000/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.50 | ppl    89.63
| epoch   5 |  9500/15983 batches | lr 15.00 | ms/batch 15.47 | loss  4.51 | ppl    91.12
| epoch   5 | 10000/15983 batches | lr 15.00 | ms/batch 15.48 | loss  4.48 | ppl    88.15
| epoch   5 | 10500/15983 batches | lr 15.00 | ms/batch 15.48 | loss  4.54 | ppl    93.44
