Vocabulary Size:  27710
Total number of model parameters: 2.82M
| epoch   1 |   500/15983 batches | lr 2.00 | ms/batch  2.53 | loss  7.94 | ppl  2808.62
| epoch   1 |  1000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  6.69 | ppl   803.51
| epoch   1 |  1500/15983 batches | lr 2.00 | ms/batch  2.44 | loss  6.47 | ppl   644.33
| epoch   1 |  2000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  6.25 | ppl   516.08
| epoch   1 |  2500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  6.08 | ppl   438.35
| epoch   1 |  3000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  6.10 | ppl   446.23
| epoch   1 |  3500/15983 batches | lr 2.00 | ms/batch  2.44 | loss  6.07 | ppl   431.82
| epoch   1 |  4000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  6.06 | ppl   427.16
| epoch   1 |  4500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  6.03 | ppl   415.43
| epoch   1 |  5000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  6.00 | ppl   404.24
| epoch   1 |  5500/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.94 | ppl   379.70
| epoch   1 |  6000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.93 | ppl   376.80
| epoch   1 |  6500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.86 | ppl   349.70
| epoch   1 |  7000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.87 | ppl   355.09
| epoch   1 |  7500/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.81 | ppl   334.82
| epoch   1 |  8000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.87 | ppl   355.75
| epoch   1 |  8500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.79 | ppl   328.42
| epoch   1 |  9000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.75 | ppl   315.56
| epoch   1 |  9500/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.76 | ppl   315.85
| epoch   1 | 10000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.76 | ppl   318.31
| epoch   1 | 10500/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.76 | ppl   318.86
| epoch   1 | 11000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.75 | ppl   315.37
| epoch   1 | 11500/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.73 | ppl   307.70
| epoch   1 | 12000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.69 | ppl   294.96
| epoch   1 | 12500/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.65 | ppl   283.64
| epoch   1 | 13000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.68 | ppl   291.61
| epoch   1 | 13500/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.71 | ppl   301.23
| epoch   1 | 14000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.73 | ppl   308.12
| epoch   1 | 14500/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.62 | ppl   276.12
| epoch   1 | 15000/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.60 | ppl   269.36
| epoch   1 | 15500/15983 batches | lr 2.00 | ms/batch  2.44 | loss  5.63 | ppl   278.42
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 39.37s | valid loss  5.64 | valid ppl   282.05
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.68 | ppl   291.73
| epoch   2 |  1000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.68 | ppl   292.74
| epoch   2 |  1500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.73 | ppl   308.09
| epoch   2 |  2000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.64 | ppl   282.81
| epoch   2 |  2500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.56 | ppl   259.70
| epoch   2 |  3000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.64 | ppl   281.15
| epoch   2 |  3500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.65 | ppl   285.44
| epoch   2 |  4000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.67 | ppl   291.14
| epoch   2 |  4500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.68 | ppl   291.76
| epoch   2 |  5000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.67 | ppl   288.70
| epoch   2 |  5500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.64 | ppl   282.48
| epoch   2 |  6000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.66 | ppl   286.61
| epoch   2 |  6500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.60 | ppl   270.89
| epoch   2 |  7000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.62 | ppl   275.21
| epoch   2 |  7500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.57 | ppl   263.42
| epoch   2 |  8000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.65 | ppl   284.32
| epoch   2 |  8500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.58 | ppl   265.96
| epoch   2 |  9000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.55 | ppl   258.11
| epoch   2 |  9500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.56 | ppl   260.30
| epoch   2 | 10000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.57 | ppl   261.84
| epoch   2 | 10500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.58 | ppl   265.90
| epoch   2 | 11000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.59 | ppl   266.77
| epoch   2 | 11500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.56 | ppl   259.24
| epoch   2 | 12000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.53 | ppl   252.66
| epoch   2 | 12500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.50 | ppl   244.67
| epoch   2 | 13000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.52 | ppl   249.43
| epoch   2 | 13500/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.55 | ppl   258.03
| epoch   2 | 14000/15983 batches | lr 2.00 | ms/batch  2.45 | loss  5.58 | ppl   265.50
