Vocabulary Size:  27710
Total number of model parameters: 39.91M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  6.83 | loss  7.20 | ppl  1337.12
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  6.69 | ppl   803.63
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  6.47 | ppl   648.24
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  6.23 | ppl   509.73
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  6.07 | ppl   432.47
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  6.09 | ppl   440.56
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  6.05 | ppl   424.08
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  6.04 | ppl   421.51
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  6.01 | ppl   407.31
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.98 | ppl   395.20
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.92 | ppl   370.68
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.91 | ppl   367.25
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.83 | ppl   340.55
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.85 | ppl   345.91
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.78 | ppl   323.70
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.84 | ppl   344.21
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.75 | ppl   315.10
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.71 | ppl   302.02
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.70 | ppl   300.29
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.69 | ppl   296.36
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.71 | ppl   301.92
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.70 | ppl   298.77
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.67 | ppl   290.92
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.63 | ppl   278.10
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.59 | ppl   267.34
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.60 | ppl   271.70
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.64 | ppl   280.53
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.66 | ppl   287.84
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.55 | ppl   256.91
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.52 | ppl   248.98
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.55 | ppl   256.85
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 108.93s | valid loss  5.64 | valid ppl   280.14
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch  6.79 | loss  5.59 | ppl   268.10
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.59 | ppl   267.68
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.63 | ppl   278.88
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.54 | ppl   255.31
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.47 | ppl   236.75
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.55 | ppl   256.25
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.54 | ppl   255.93
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.55 | ppl   258.43
| epoch   2 |  4500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.56 | ppl   259.40
| epoch   2 |  5000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.56 | ppl   260.02
| epoch   2 |  5500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.53 | ppl   251.40
| epoch   2 |  6000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.54 | ppl   255.23
| epoch   2 |  6500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.48 | ppl   240.96
| epoch   2 |  7000/15983 batches | lr 1.00 | ms/batch  6.75 | loss  5.50 | ppl   245.82
| epoch   2 |  7500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.46 | ppl   234.24
| epoch   2 |  8000/15983 batches | lr 1.00 | ms/batch  6.75 | loss  5.53 | ppl   253.30
| epoch   2 |  8500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.45 | ppl   233.79
| epoch   2 |  9000/15983 batches | lr 1.00 | ms/batch  6.75 | loss  5.42 | ppl   225.49
| epoch   2 |  9500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.44 | ppl   230.66
| epoch   2 | 10000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.43 | ppl   229.06
| epoch   2 | 10500/15983 batches | lr 1.00 | ms/batch  6.75 | loss  5.47 | ppl   236.87
| epoch   2 | 11000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.47 | ppl   238.34
| epoch   2 | 11500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.43 | ppl   229.27
| epoch   2 | 12000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.41 | ppl   222.84
| epoch   2 | 12500/15983 batches | lr 1.00 | ms/batch  6.75 | loss  5.37 | ppl   215.72
| epoch   2 | 13000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.39 | ppl   220.30
| epoch   2 | 13500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.42 | ppl   225.73
| epoch   2 | 14000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.44 | ppl   230.28
| epoch   2 | 14500/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.35 | ppl   210.50
| epoch   2 | 15000/15983 batches | lr 1.00 | ms/batch  6.76 | loss  5.32 | ppl   205.20
| epoch   2 | 15500/15983 batches | lr 1.00 | ms/batch  6.75 | loss  5.35 | ppl   210.43
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 108.76s | valid loss  5.46 | valid ppl   234.61
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.40 | ppl   221.52
| epoch   3 |  1000/15983 batches | lr 1.00 | ms/batch  6.79 | loss  5.40 | ppl   221.58
| epoch   3 |  1500/15983 batches | lr 1.00 | ms/batch  6.79 | loss  5.44 | ppl   230.90
| epoch   3 |  2000/15983 batches | lr 1.00 | ms/batch  6.79 | loss  5.35 | ppl   211.55
| epoch   3 |  2500/15983 batches | lr 1.00 | ms/batch  6.79 | loss  5.30 | ppl   200.11
| epoch   3 |  3000/15983 batches | lr 1.00 | ms/batch  6.79 | loss  5.37 | ppl   214.82
| epoch   3 |  3500/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.39 | ppl   218.26
| epoch   3 |  4000/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.40 | ppl   220.64
| epoch   3 |  4500/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.41 | ppl   224.53
| epoch   3 |  5000/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.40 | ppl   221.41
| epoch   3 |  5500/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.38 | ppl   216.48
| epoch   3 |  6000/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.40 | ppl   220.63
| epoch   3 |  6500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.35 | ppl   210.83
| epoch   3 |  7000/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.36 | ppl   213.19
| epoch   3 |  7500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.32 | ppl   204.24
| epoch   3 |  8000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.40 | ppl   222.26
| epoch   3 |  8500/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.33 | ppl   206.36
| epoch   3 |  9000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.28 | ppl   197.01
| epoch   3 |  9500/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.31 | ppl   201.45
| epoch   3 | 10000/15983 batches | lr 1.00 | ms/batch  6.77 | loss  5.30 | ppl   200.98
| epoch   3 | 10500/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.33 | ppl   207.12
| epoch   3 | 11000/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.34 | ppl   208.92
| epoch   3 | 11500/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.30 | ppl   201.10
| epoch   3 | 12000/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.29 | ppl   198.31
| epoch   3 | 12500/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.25 | ppl   190.60
| epoch   3 | 13000/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.27 | ppl   194.78
| epoch   3 | 13500/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.29 | ppl   199.02
| epoch   3 | 14000/15983 batches | lr 1.00 | ms/batch  6.91 | loss  5.32 | ppl   204.60
| epoch   3 | 14500/15983 batches | lr 1.00 | ms/batch  6.79 | loss  5.23 | ppl   187.31
| epoch   3 | 15000/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.22 | ppl   184.29
| epoch   3 | 15500/15983 batches | lr 1.00 | ms/batch  6.78 | loss  5.24 | ppl   188.14
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 109.17s | valid loss  5.38 | valid ppl   216.60
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 1.00 | ms/batch  6.86 | loss  5.30 | ppl   200.33
