Vocabulary Size:  27710
Total number of model parameters: 35.57M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch 10.71 | loss  7.11 | ppl  1229.75
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  9.19 | loss  6.49 | ppl   659.15
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  8.95 | loss  6.31 | ppl   550.25
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  9.13 | loss  6.11 | ppl   448.67
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  7.69 | loss  5.93 | ppl   376.78
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  8.89 | loss  5.95 | ppl   385.56
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  9.04 | loss  5.92 | ppl   370.87
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  9.13 | loss  5.91 | ppl   367.66
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  9.06 | loss  5.88 | ppl   356.20
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  9.37 | loss  5.85 | ppl   346.08
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  9.16 | loss  5.78 | ppl   323.58
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  9.02 | loss  5.78 | ppl   322.46
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  9.02 | loss  5.70 | ppl   298.19
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  9.15 | loss  5.72 | ppl   303.75
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  9.11 | loss  5.66 | ppl   286.30
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  9.09 | loss  5.72 | ppl   304.53
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  8.92 | loss  5.63 | ppl   278.84
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  9.30 | loss  5.58 | ppl   266.12
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  9.01 | loss  5.59 | ppl   266.73
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  9.23 | loss  5.59 | ppl   267.59
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  9.07 | loss  5.60 | ppl   270.37
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch  9.20 | loss  5.59 | ppl   267.97
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch  9.10 | loss  5.56 | ppl   259.35
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch  9.21 | loss  5.51 | ppl   248.17
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch  9.13 | loss  5.47 | ppl   238.61
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch  9.08 | loss  5.51 | ppl   246.73
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch  9.11 | loss  5.54 | ppl   254.08
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch  9.16 | loss  5.55 | ppl   257.96
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch  9.13 | loss  5.44 | ppl   230.98
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch  9.06 | loss  5.42 | ppl   225.78
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch  7.59 | loss  5.45 | ppl   232.12
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 145.85s | valid loss  5.53 | valid ppl   252.81
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch  9.00 | loss  5.50 | ppl   244.04
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch  4.68 | loss  5.50 | ppl   244.65
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch  8.39 | loss  5.55 | ppl   256.53
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch  9.28 | loss  5.46 | ppl   234.11
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch  9.17 | loss  5.37 | ppl   214.45
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch  9.16 | loss  5.45 | ppl   231.88
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch  8.96 | loss  5.46 | ppl   235.69
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch  9.25 | loss  5.47 | ppl   236.99
| epoch   2 |  4500/15983 batches | lr 1.00 | ms/batch  9.07 | loss  5.48 | ppl   238.97
| epoch   2 |  5000/15983 batches | lr 1.00 | ms/batch  9.02 | loss  5.48 | ppl   238.85
| epoch   2 |  5500/15983 batches | lr 1.00 | ms/batch  9.08 | loss  5.45 | ppl   231.89
| epoch   2 |  6000/15983 batches | lr 1.00 | ms/batch  9.02 | loss  5.46 | ppl   234.39
| epoch   2 |  6500/15983 batches | lr 1.00 | ms/batch  9.06 | loss  5.40 | ppl   222.33
| epoch   2 |  7000/15983 batches | lr 1.00 | ms/batch  9.02 | loss  5.42 | ppl   226.87
| epoch   2 |  7500/15983 batches | lr 1.00 | ms/batch  9.12 | loss  5.38 | ppl   216.76
| epoch   2 |  8000/15983 batches | lr 1.00 | ms/batch  9.08 | loss  5.45 | ppl   233.51
| epoch   2 |  8500/15983 batches | lr 1.00 | ms/batch  9.17 | loss  5.38 | ppl   217.29
| epoch   2 |  9000/15983 batches | lr 1.00 | ms/batch  9.07 | loss  5.34 | ppl   208.00
| epoch   2 |  9500/15983 batches | lr 1.00 | ms/batch  9.08 | loss  5.35 | ppl   210.36
| epoch   2 | 10000/15983 batches | lr 1.00 | ms/batch  8.93 | loss  5.36 | ppl   211.71
| epoch   2 | 10500/15983 batches | lr 1.00 | ms/batch  9.13 | loss  5.38 | ppl   217.92
| epoch   2 | 11000/15983 batches | lr 1.00 | ms/batch  9.17 | loss  5.39 | ppl   218.39
| epoch   2 | 11500/15983 batches | lr 1.00 | ms/batch  9.12 | loss  5.35 | ppl   209.94
| epoch   2 | 12000/15983 batches | lr 1.00 | ms/batch  7.98 | loss  5.32 | ppl   204.51
| epoch   2 | 12500/15983 batches | lr 1.00 | ms/batch  8.63 | loss  5.29 | ppl   197.65
| epoch   2 | 13000/15983 batches | lr 1.00 | ms/batch  9.10 | loss  5.32 | ppl   203.45
| epoch   2 | 13500/15983 batches | lr 1.00 | ms/batch  9.24 | loss  5.34 | ppl   209.45
| epoch   2 | 14000/15983 batches | lr 1.00 | ms/batch  9.12 | loss  5.36 | ppl   213.32
| epoch   2 | 14500/15983 batches | lr 1.00 | ms/batch  9.31 | loss  5.27 | ppl   194.89
| epoch   2 | 15000/15983 batches | lr 1.00 | ms/batch  9.04 | loss  5.25 | ppl   191.01
| epoch   2 | 15500/15983 batches | lr 1.00 | ms/batch  9.09 | loss  5.28 | ppl   195.80
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 142.81s | valid loss  5.40 | valid ppl   220.37
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 1.00 | ms/batch  9.14 | loss  5.33 | ppl   206.69
| epoch   3 |  1000/15983 batches | lr 1.00 | ms/batch  9.06 | loss  5.34 | ppl   208.21
| epoch   3 |  1500/15983 batches | lr 1.00 | ms/batch  8.99 | loss  5.39 | ppl   218.60
| epoch   3 |  2000/15983 batches | lr 1.00 | ms/batch  9.13 | loss  5.30 | ppl   200.01
| epoch   3 |  2500/15983 batches | lr 1.00 | ms/batch  9.02 | loss  5.23 | ppl   186.24
| epoch   3 |  3000/15983 batches | lr 1.00 | ms/batch  9.00 | loss  5.30 | ppl   200.43
| epoch   3 |  3500/15983 batches | lr 1.00 | ms/batch  9.09 | loss  5.32 | ppl   203.88
| epoch   3 |  4000/15983 batches | lr 1.00 | ms/batch  9.06 | loss  5.32 | ppl   204.18
| epoch   3 |  4500/15983 batches | lr 1.00 | ms/batch  9.12 | loss  5.33 | ppl   206.77
| epoch   3 |  5000/15983 batches | lr 1.00 | ms/batch  9.20 | loss  5.33 | ppl   207.00
| epoch   3 |  5500/15983 batches | lr 1.00 | ms/batch  9.17 | loss  5.31 | ppl   202.97
| epoch   3 |  6000/15983 batches | lr 1.00 | ms/batch  9.04 | loss  5.33 | ppl   205.92
| epoch   3 |  6500/15983 batches | lr 1.00 | ms/batch  9.02 | loss  5.27 | ppl   195.35
| epoch   3 |  7000/15983 batches | lr 1.00 | ms/batch  9.11 | loss  5.29 | ppl   198.93
| epoch   3 |  7500/15983 batches | lr 1.00 | ms/batch  9.11 | loss  5.25 | ppl   191.12
| epoch   3 |  8000/15983 batches | lr 1.00 | ms/batch  9.06 | loss  5.33 | ppl   205.46
| epoch   3 |  8500/15983 batches | lr 1.00 | ms/batch  9.10 | loss  5.26 | ppl   192.31
| epoch   3 |  9000/15983 batches | lr 1.00 | ms/batch  9.06 | loss  5.22 | ppl   184.35
| epoch   3 |  9500/15983 batches | lr 1.00 | ms/batch  9.13 | loss  5.23 | ppl   186.79
| epoch   3 | 10000/15983 batches | lr 1.00 | ms/batch  9.18 | loss  5.23 | ppl   187.33
| epoch   3 | 10500/15983 batches | lr 1.00 | ms/batch  7.66 | loss  5.27 | ppl   194.46
| epoch   3 | 11000/15983 batches | lr 1.00 | ms/batch  9.15 | loss  5.28 | ppl   195.72
| epoch   3 | 11500/15983 batches | lr 1.00 | ms/batch  9.08 | loss  5.23 | ppl   187.63
| epoch   3 | 12000/15983 batches | lr 1.00 | ms/batch  5.43 | loss  5.22 | ppl   184.32
| epoch   3 | 12500/15983 batches | lr 1.00 | ms/batch  6.59 | loss  5.18 | ppl   178.13
| epoch   3 | 13000/15983 batches | lr 1.00 | ms/batch  9.21 | loss  5.21 | ppl   182.79
| epoch   3 | 13500/15983 batches | lr 1.00 | ms/batch  9.02 | loss  5.23 | ppl   187.50
| epoch   3 | 14000/15983 batches | lr 1.00 | ms/batch  8.96 | loss  5.25 | ppl   191.12
| epoch   3 | 14500/15983 batches | lr 1.00 | ms/batch  9.02 | loss  5.18 | ppl   177.05
| epoch   3 | 15000/15983 batches | lr 1.00 | ms/batch  9.16 | loss  5.16 | ppl   174.30
| epoch   3 | 15500/15983 batches | lr 1.00 | ms/batch  9.10 | loss  5.18 | ppl   177.49
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 142.30s | valid loss  5.32 | valid ppl   204.32
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 1.00 | ms/batch  9.28 | loss  5.23 | ppl   186.94
| epoch   4 |  1000/15983 batches | lr 1.00 | ms/batch  9.14 | loss  5.24 | ppl   188.56
| epoch   4 |  1500/15983 batches | lr 1.00 | ms/batch  9.03 | loss  5.28 | ppl   197.01
| epoch   4 |  2000/15983 batches | lr 1.00 | ms/batch  9.25 | loss  5.20 | ppl   181.54
| epoch   4 |  2500/15983 batches | lr 1.00 | ms/batch  9.19 | loss  5.14 | ppl   171.10
| epoch   4 |  3000/15983 batches | lr 1.00 | ms/batch  9.19 | loss  5.21 | ppl   183.04
| epoch   4 |  3500/15983 batches | lr 1.00 | ms/batch  8.90 | loss  5.23 | ppl   186.12
| epoch   4 |  4000/15983 batches | lr 1.00 | ms/batch  8.98 | loss  5.23 | ppl   186.14
| epoch   4 |  4500/15983 batches | lr 1.00 | ms/batch  9.06 | loss  5.24 | ppl   188.33
| epoch   4 |  5000/15983 batches | lr 1.00 | ms/batch  9.12 | loss  5.24 | ppl   188.57
| epoch   4 |  5500/15983 batches | lr 1.00 | ms/batch  8.38 | loss  5.23 | ppl   185.96
| epoch   4 |  6000/15983 batches | lr 1.00 | ms/batch  8.26 | loss  5.24 | ppl   189.16
| epoch   4 |  6500/15983 batches | lr 1.00 | ms/batch  9.09 | loss  5.19 | ppl   180.01
| epoch   4 |  7000/15983 batches | lr 1.00 | ms/batch  9.14 | loss  5.21 | ppl   182.46
| epoch   4 |  7500/15983 batches | lr 1.00 | ms/batch  9.03 | loss  5.17 | ppl   175.59
| epoch   4 |  8000/15983 batches | lr 1.00 | ms/batch  9.05 | loss  5.24 | ppl   188.97
| epoch   4 |  8500/15983 batches | lr 1.00 | ms/batch  9.25 | loss  5.18 | ppl   177.34
| epoch   4 |  9000/15983 batches | lr 1.00 | ms/batch  9.23 | loss  5.13 | ppl   169.60
| epoch   4 |  9500/15983 batches | lr 1.00 | ms/batch  9.15 | loss  5.15 | ppl   172.25
| epoch   4 | 10000/15983 batches | lr 1.00 | ms/batch  9.08 | loss  5.15 | ppl   172.52
| epoch   4 | 10500/15983 batches | lr 1.00 | ms/batch  9.05 | loss  5.19 | ppl   180.06
| epoch   4 | 11000/15983 batches | lr 1.00 | ms/batch  9.06 | loss  5.20 | ppl   181.46
| epoch   4 | 11500/15983 batches | lr 1.00 | ms/batch  9.18 | loss  5.16 | ppl   174.49
| epoch   4 | 12000/15983 batches | lr 1.00 | ms/batch  9.03 | loss  5.15 | ppl   171.66
| epoch   4 | 12500/15983 batches | lr 1.00 | ms/batch  9.18 | loss  5.11 | ppl   165.75
| epoch   4 | 13000/15983 batches | lr 1.00 | ms/batch  9.07 | loss  5.14 | ppl   169.93
| epoch   4 | 13500/15983 batches | lr 1.00 | ms/batch  9.18 | loss  5.16 | ppl   173.98
| epoch   4 | 14000/15983 batches | lr 1.00 | ms/batch  9.12 | loss  5.18 | ppl   177.46
| epoch   4 | 14500/15983 batches | lr 1.00 | ms/batch  9.24 | loss  5.11 | ppl   165.31
| epoch   4 | 15000/15983 batches | lr 1.00 | ms/batch  9.19 | loss  5.10 | ppl   163.75
| epoch   4 | 15500/15983 batches | lr 1.00 | ms/batch  9.11 | loss  5.11 | ppl   165.74
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 145.70s | valid loss  5.27 | valid ppl   194.51
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 1.00 | ms/batch  9.19 | loss  5.16 | ppl   174.22
| epoch   5 |  1000/15983 batches | lr 1.00 | ms/batch  9.09 | loss  5.17 | ppl   175.64
