Vocabulary Size:  27710
Total number of model parameters: 42.42M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  9.91 | loss  7.15 | ppl  1273.71
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  6.50 | ppl   664.78
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  8.61 | loss  6.31 | ppl   550.16
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  6.10 | ppl   444.30
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.92 | ppl   372.31
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.94 | ppl   378.84
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.89 | ppl   362.74
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.88 | ppl   358.22
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.85 | ppl   346.47
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.81 | ppl   335.18
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.75 | ppl   313.42
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.74 | ppl   311.43
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.66 | ppl   288.50
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.68 | ppl   292.31
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.61 | ppl   273.52
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.67 | ppl   290.86
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  8.62 | loss  5.58 | ppl   265.28
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  8.62 | loss  5.53 | ppl   253.05
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  8.62 | loss  5.53 | ppl   252.31
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  8.61 | loss  5.53 | ppl   251.35
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  8.62 | loss  5.54 | ppl   254.34
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch  8.62 | loss  5.53 | ppl   252.12
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch  8.61 | loss  5.49 | ppl   242.53
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.45 | ppl   232.55
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.41 | ppl   223.82
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.44 | ppl   229.47
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.46 | ppl   235.17
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.48 | ppl   239.52
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.37 | ppl   214.94
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.34 | ppl   209.25
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.37 | ppl   214.69
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 138.76s | valid loss  5.44 | valid ppl   230.69
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.41 | ppl   224.69
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.42 | ppl   225.10
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.46 | ppl   236.18
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch  8.58 | loss  5.37 | ppl   214.19
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.29 | ppl   197.77
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.36 | ppl   211.97
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.37 | ppl   214.80
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.37 | ppl   215.81
| epoch   2 |  4500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.38 | ppl   217.90
| epoch   2 |  5000/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.38 | ppl   216.27
| epoch   2 |  5500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.35 | ppl   211.11
| epoch   2 |  6000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.37 | ppl   213.87
| epoch   2 |  6500/15983 batches | lr 1.00 | ms/batch  8.55 | loss  5.31 | ppl   202.56
| epoch   2 |  7000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.33 | ppl   205.80
| epoch   2 |  7500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.28 | ppl   196.49
| epoch   2 |  8000/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.35 | ppl   211.57
| epoch   2 |  8500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.28 | ppl   196.06
| epoch   2 |  9000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.23 | ppl   187.14
| epoch   2 |  9500/15983 batches | lr 1.00 | ms/batch  8.56 | loss  5.24 | ppl   189.57
| epoch   2 | 10000/15983 batches | lr 1.00 | ms/batch  8.57 | loss  5.25 | ppl   189.76
| epoch   2 | 10500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.28 | ppl   196.02
| epoch   2 | 11000/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.28 | ppl   196.65
| epoch   2 | 11500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.24 | ppl   188.75
| epoch   2 | 12000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.22 | ppl   184.56
| epoch   2 | 12500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.18 | ppl   177.76
| epoch   2 | 13000/15983 batches | lr 1.00 | ms/batch  8.62 | loss  5.21 | ppl   182.74
| epoch   2 | 13500/15983 batches | lr 1.00 | ms/batch  8.62 | loss  5.23 | ppl   186.95
