Vocabulary Size:  27710
Total number of model parameters: 11.60M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch 11.91 | loss  6.96 | ppl  1052.17
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  8.63 | loss  6.40 | ppl   602.71
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  6.25 | ppl   519.28
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  6.06 | ppl   427.86
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.89 | ppl   362.81
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.92 | ppl   373.29
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  8.59 | loss  5.89 | ppl   360.79
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  9.19 | loss  5.88 | ppl   357.47
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  9.62 | loss  5.85 | ppl   347.36
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.82 | ppl   337.26
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  8.60 | loss  5.76 | ppl   316.01
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  7.69 | loss  5.75 | ppl   314.80
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  8.63 | loss  5.68 | ppl   293.09
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  8.63 | loss  5.70 | ppl   297.80
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  8.64 | loss  5.64 | ppl   280.18
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  8.64 | loss  5.70 | ppl   297.83
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  8.65 | loss  5.61 | ppl   272.54
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  8.63 | loss  5.56 | ppl   260.27
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  8.63 | loss  5.57 | ppl   261.20
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  8.64 | loss  5.56 | ppl   260.52
