Vocabulary Size:  27710
Total number of model parameters: 5.69M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch 25.36 | loss  6.95 | ppl  1043.69
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch 16.48 | loss  6.41 | ppl   609.25
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch 17.12 | loss  6.27 | ppl   527.29
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch 17.08 | loss  6.08 | ppl   436.22
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch 17.10 | loss  5.92 | ppl   372.49
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch 17.13 | loss  5.95 | ppl   383.79
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch 16.87 | loss  5.92 | ppl   371.37
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch 16.73 | loss  5.91 | ppl   368.70
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch 17.08 | loss  5.88 | ppl   358.62
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch 17.10 | loss  5.85 | ppl   348.36
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch 17.09 | loss  5.79 | ppl   327.03
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch 16.93 | loss  5.79 | ppl   326.43
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch 16.16 | loss  5.72 | ppl   304.40
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch 16.77 | loss  5.73 | ppl   309.46
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch 16.85 | loss  5.68 | ppl   291.81
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch 17.11 | loss  5.73 | ppl   309.07
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch 17.14 | loss  5.65 | ppl   284.16
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch 17.11 | loss  5.60 | ppl   271.60
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch 17.10 | loss  5.61 | ppl   272.39
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch 17.12 | loss  5.61 | ppl   273.06
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch 17.10 | loss  5.62 | ppl   275.21
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch 17.10 | loss  5.61 | ppl   273.02
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch 17.11 | loss  5.58 | ppl   264.91
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch 17.11 | loss  5.54 | ppl   253.67
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch 17.11 | loss  5.50 | ppl   244.68
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch 17.13 | loss  5.53 | ppl   251.78
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch 17.17 | loss  5.56 | ppl   259.34
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch 17.19 | loss  5.58 | ppl   264.47
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch 16.14 | loss  5.47 | ppl   238.05
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch 17.27 | loss  5.44 | ppl   230.98
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch 17.49 | loss  5.47 | ppl   238.56
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 279.44s | valid loss  5.54 | valid ppl   254.41
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch 17.56 | loss  5.53 | ppl   251.00
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch 16.88 | loss  5.53 | ppl   251.09
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch 17.47 | loss  5.58 | ppl   264.01
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch 17.53 | loss  5.49 | ppl   241.64
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch 17.48 | loss  5.41 | ppl   222.66
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch 17.47 | loss  5.48 | ppl   239.17
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch 17.22 | loss  5.49 | ppl   243.04
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch 17.19 | loss  5.50 | ppl   245.00
| epoch   2 |  4500/15983 batches | lr 1.00 | ms/batch 17.54 | loss  5.51 | ppl   246.44
| epoch   2 |  5000/15983 batches | lr 1.00 | ms/batch 17.47 | loss  5.50 | ppl   245.74
| epoch   2 |  5500/15983 batches | lr 1.00 | ms/batch 17.51 | loss  5.48 | ppl   239.20
| epoch   2 |  6000/15983 batches | lr 1.00 | ms/batch 17.51 | loss  5.49 | ppl   243.20
| epoch   2 |  6500/15983 batches | lr 1.00 | ms/batch 16.69 | loss  5.44 | ppl   230.61
| epoch   2 |  7000/15983 batches | lr 1.00 | ms/batch 16.85 | loss  5.46 | ppl   235.32
| epoch   2 |  7500/15983 batches | lr 1.00 | ms/batch 17.30 | loss  5.42 | ppl   225.62
| epoch   2 |  8000/15983 batches | lr 1.00 | ms/batch 17.51 | loss  5.49 | ppl   242.17
| epoch   2 |  8500/15983 batches | lr 1.00 | ms/batch 17.50 | loss  5.42 | ppl   225.37
| epoch   2 |  9000/15983 batches | lr 1.00 | ms/batch 17.50 | loss  5.38 | ppl   216.65
| epoch   2 |  9500/15983 batches | lr 1.00 | ms/batch 17.50 | loss  5.39 | ppl   218.85
| epoch   2 | 10000/15983 batches | lr 1.00 | ms/batch 17.48 | loss  5.40 | ppl   220.48
| epoch   2 | 10500/15983 batches | lr 1.00 | ms/batch 17.50 | loss  5.42 | ppl   226.04
| epoch   2 | 11000/15983 batches | lr 1.00 | ms/batch 17.52 | loss  5.42 | ppl   226.70
| epoch   2 | 11500/15983 batches | lr 1.00 | ms/batch 17.49 | loss  5.39 | ppl   218.94
| epoch   2 | 12000/15983 batches | lr 1.00 | ms/batch 17.50 | loss  5.37 | ppl   214.00
| epoch   2 | 12500/15983 batches | lr 1.00 | ms/batch 17.52 | loss  5.33 | ppl   206.78
| epoch   2 | 13000/15983 batches | lr 1.00 | ms/batch 17.47 | loss  5.36 | ppl   212.33
| epoch   2 | 13500/15983 batches | lr 1.00 | ms/batch 17.52 | loss  5.39 | ppl   218.45
| epoch   2 | 14000/15983 batches | lr 1.00 | ms/batch 17.46 | loss  5.41 | ppl   223.73
| epoch   2 | 14500/15983 batches | lr 1.00 | ms/batch 17.48 | loss  5.32 | ppl   204.74
| epoch   2 | 15000/15983 batches | lr 1.00 | ms/batch 16.43 | loss  5.30 | ppl   200.44
| epoch   2 | 15500/15983 batches | lr 1.00 | ms/batch 17.51 | loss  5.33 | ppl   206.02
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 280.86s | valid loss  5.42 | valid ppl   224.77
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 1.00 | ms/batch 17.57 | loss  5.38 | ppl   217.34
| epoch   3 |  1000/15983 batches | lr 1.00 | ms/batch 16.93 | loss  5.39 | ppl   218.69
| epoch   3 |  1500/15983 batches | lr 1.00 | ms/batch 17.50 | loss  5.44 | ppl   229.90
| epoch   3 |  2000/15983 batches | lr 1.00 | ms/batch 17.54 | loss  5.36 | ppl   211.84
| epoch   3 |  2500/15983 batches | lr 1.00 | ms/batch 17.47 | loss  5.29 | ppl   197.92
| epoch   3 |  3000/15983 batches | lr 1.00 | ms/batch 17.50 | loss  5.36 | ppl   212.21
| epoch   3 |  3500/15983 batches | lr 1.00 | ms/batch 17.24 | loss  5.37 | ppl   215.43
| epoch   3 |  4000/15983 batches | lr 1.00 | ms/batch 17.20 | loss  5.38 | ppl   215.94
| epoch   3 |  4500/15983 batches | lr 1.00 | ms/batch 17.55 | loss  5.39 | ppl   218.54
| epoch   3 |  5000/15983 batches | lr 1.00 | ms/batch 17.64 | loss  5.39 | ppl   218.33
| epoch   3 |  5500/15983 batches | lr 1.00 | ms/batch 17.53 | loss  5.37 | ppl   214.12
| epoch   3 |  6000/15983 batches | lr 1.00 | ms/batch 17.42 | loss  5.38 | ppl   217.97
| epoch   3 |  6500/15983 batches | lr 1.00 | ms/batch 17.51 | loss  5.33 | ppl   207.15
| epoch   3 |  7000/15983 batches | lr 1.00 | ms/batch 15.95 | loss  5.35 | ppl   211.53
| epoch   3 |  7500/15983 batches | lr 1.00 | ms/batch 17.36 | loss  5.31 | ppl   203.20
| epoch   3 |  8000/15983 batches | lr 1.00 | ms/batch 17.53 | loss  5.38 | ppl   218.10
| epoch   3 |  8500/15983 batches | lr 1.00 | ms/batch 17.50 | loss  5.32 | ppl   204.07
| epoch   3 |  9000/15983 batches | lr 1.00 | ms/batch 17.46 | loss  5.28 | ppl   196.01
| epoch   3 |  9500/15983 batches | lr 1.00 | ms/batch 17.46 | loss  5.29 | ppl   199.01
| epoch   3 | 10000/15983 batches | lr 1.00 | ms/batch 17.53 | loss  5.30 | ppl   199.72
| epoch   3 | 10500/15983 batches | lr 1.00 | ms/batch 17.52 | loss  5.33 | ppl   206.59
