Vocabulary Size:  27710
Total number of model parameters: 11.60M
| epoch   1 |   500/15983 batches | lr 0.20 | ms/batch 19.39 | loss  7.44 | ppl  1694.91
| epoch   1 |  1000/15983 batches | lr 0.20 | ms/batch  8.00 | loss  6.75 | ppl   850.88
| epoch   1 |  1500/15983 batches | lr 0.20 | ms/batch  7.67 | loss  6.60 | ppl   737.06
| epoch   1 |  2000/15983 batches | lr 0.20 | ms/batch  7.73 | loss  6.40 | ppl   600.34
| epoch   1 |  2500/15983 batches | lr 0.20 | ms/batch  7.94 | loss  6.23 | ppl   507.79
| epoch   1 |  3000/15983 batches | lr 0.20 | ms/batch  7.65 | loss  6.26 | ppl   522.28
| epoch   1 |  3500/15983 batches | lr 0.20 | ms/batch  7.99 | loss  6.23 | ppl   506.61
| epoch   1 |  4000/15983 batches | lr 0.20 | ms/batch  7.66 | loss  6.23 | ppl   508.09
| epoch   1 |  4500/15983 batches | lr 0.20 | ms/batch  7.71 | loss  6.20 | ppl   493.71
| epoch   1 |  5000/15983 batches | lr 0.20 | ms/batch  7.95 | loss  6.18 | ppl   481.24
| epoch   1 |  5500/15983 batches | lr 0.20 | ms/batch  8.01 | loss  6.11 | ppl   450.59
| epoch   1 |  6000/15983 batches | lr 0.20 | ms/batch  7.64 | loss  6.10 | ppl   445.84
| epoch   1 |  6500/15983 batches | lr 0.20 | ms/batch  7.64 | loss  6.01 | ppl   409.27
| epoch   1 |  7000/15983 batches | lr 0.20 | ms/batch  8.00 | loss  6.04 | ppl   418.28
| epoch   1 |  7500/15983 batches | lr 0.20 | ms/batch  8.00 | loss  5.98 | ppl   395.96
| epoch   1 |  8000/15983 batches | lr 0.20 | ms/batch  7.67 | loss  6.03 | ppl   414.86
| epoch   1 |  8500/15983 batches | lr 0.20 | ms/batch  8.01 | loss  5.94 | ppl   379.59
| epoch   1 |  9000/15983 batches | lr 0.20 | ms/batch  7.67 | loss  5.89 | ppl   362.39
| epoch   1 |  9500/15983 batches | lr 0.20 | ms/batch  7.46 | loss  5.90 | ppl   364.56
