Vocabulary Size:  27710
Total number of model parameters: 38.92M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  6.90 | loss  7.16 | ppl  1282.64
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  6.16 | loss  6.66 | ppl   784.21
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.44 | ppl   628.48
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.20 | ppl   494.99
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.03 | ppl   417.08
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.04 | ppl   421.22
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  6.01 | ppl   405.86
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.99 | ppl   400.10
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.96 | ppl   386.09
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.92 | ppl   372.62
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.86 | ppl   349.17
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  6.16 | loss  5.84 | ppl   345.23
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.77 | ppl   320.00
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.78 | ppl   323.43
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.71 | ppl   302.72
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.77 | ppl   320.50
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.68 | ppl   294.22
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.63 | ppl   279.82
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.63 | ppl   279.65
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  6.15 | loss  5.62 | ppl   277.25
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  6.16 | loss  5.64 | ppl   280.10
